3,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Crest 3D White Multi-Care Whitening Oral Rinse 473ml,,,Home & Lifestyle->Oral Care->Oral Rinse,,7.99,,,,,,,HLOCOR001,HLOCOR001.JPG,,taxable,standard-rate
Crest Pro-Health WinterGreen Multi-Protection Oral Rinse 500ml,,,Home & Lifestyle->Oral Care->Oral Rinse,,4.99,,,,,,,HLOCOR002,HLOCOR002.JPG,,taxable,standard-rate
Crest Pro-Health Mint Multi-Protection Oral Rinse 500ml,,,Home & Lifestyle->Oral Care->Oral Rinse,,4.99,,,,,,,HLOCOR003,HLOCOR003.JPG,,taxable,standard-rate
Colgate Optic White Mint Oral Rinse 473ml,,,Home & Lifestyle->Oral Care->Oral Rinse,,5.99,,,,,,,HLOCOR004,HLOCOR004.JPG,,taxable,standard-rate
Colgate Optic White Mint Oral Rinse 236ml,,,Home & Lifestyle->Oral Care->Oral Rinse,,4.49,,,,,,,HLOCOR005,HLOCOR005.JPG,,taxable,standard-rate
Colgate Sensitive Mint Oral Rinse 489ml,,,Home & Lifestyle->Oral Care->Oral Rinse,,5.99,,,,,,,HLOCOR006,HLOCOR006.JPG,,taxable,standard-rate
Colgate Sensitive Mint Oral Rinse 250ml,,,Home & Lifestyle->Oral Care->Oral Rinse,,4.49,,,,,,,HLOCOR007,HLOCOR007.JPG,,taxable,standard-rate
TheraBreath Fresh Breath Oral Rinse 473ml,,,Home & Lifestyle->Oral Care->Oral Rinse,,13.99,,,,,,,HLOCOR008,HLOCOR008.JPG,,taxable,standard-rate
Crest Pro-Health Mint Multi-Protection Oral Rinse 1L,,,Home & Lifestyle->Oral Care->Oral Rinse,,7.99,,,,,,,HLOCOR009,HLOCOR009.JPG,,taxable,standard-rate
Scope DualBlast Mint Blast Oral Rinse 750ml,,,Home & Lifestyle->Oral Care->Oral Rinse,,5.79,,,,,,,HLOCOR010,HLOCOR010.JPG,,taxable,standard-rate
Scope Classic Peppermint Oral Rinse 1L,,,Home & Lifestyle->Oral Care->Oral Rinse,,5.49,,,,,,,HLOCOR011,HLOCOR011.JPG,,taxable,standard-rate
Compliments Peppermint Mouthwash Rince-Bouche 1L,,,Home & Lifestyle->Oral Care->Oral Rinse,,4.89,,,,,,,HLOCOR012,HLOCOR012.JPG,,taxable,standard-rate
Compliments Mint Mouthwash Rince-Bouche 1L,,,Home & Lifestyle->Oral Care->Oral Rinse,,4.89,,,,,,,HLOCOR013,HLOCOR013.JPG,,taxable,standard-rate
Scope Long Lasting Mint Outlast Oral Rinse 750ml,,,Home & Lifestyle->Oral Care->Oral Rinse,,4.99,,,,,,,HLOCOR015,HLOCOR015.JPG,,taxable,standard-rate
Scope Classic Mint Oral Rinse 1L,,,Home & Lifestyle->Oral Care->Oral Rinse,,5.49,,,,,,,HLOCOR016,HLOCOR016.JPG,,taxable,standard-rate
Listerine Total Care for Sensitive Teeth  1L,,,Home & Lifestyle->Oral Care->Oral Rinse,,8.59,,,,,,,HLOCOR017,HLOCOR017.JPG,,taxable,standard-rate
Listerine Fresh Burst 1L,,,Home & Lifestyle->Oral Care->Oral Rinse,,6.99,,,,,,,HLOCOR018,HLOCOR018.JPG,,taxable,standard-rate
Listerine Cool Mint 1L,,,Home & Lifestyle->Oral Care->Oral Rinse,,6.99,,,,,,,HLOCOR019,HLOCOR019.JPG,,taxable,standard-rate
Compliments Cool Blue Mint Mouthwash Rince-Bouche 1L,,,Home & Lifestyle->Oral Care->Oral Rinse,,4.89,,,,,,,HLOCOR020,HLOCOR020.JPG,,taxable,standard-rate
Crest Pro-Health Mint Multi-Protection Oral Rinse 1L,,,Home & Lifestyle->Oral Care->Oral Rinse,,7.99,,,,,,,HLOCOR021,HLOCOR021.JPG,,taxable,standard-rate
Crest Pro-Health WinterGreen Multi-Protection Oral Rinse 1L,,,Home & Lifestyle->Oral Care->Oral Rinse,,7.99,,,,,,,HLOCOR022,HLOCOR022.JPG,,taxable,standard-rate
Listerine UltraClean Anti-Cavity 1L,,,Home & Lifestyle->Oral Care->Oral Rinse,,9.49,,,,,,,HLOCOR023,HLOCOR023.JPG,,taxable,standard-rate
Listerine Dentist Clean 1L,,,Home & Lifestyle->Oral Care->Oral Rinse,,9.49,,,,,,,HLOCOR024,HLOCOR024.JPG,,taxable,standard-rate
Listerine UltraClean Dentist Clean 1L,,,Home & Lifestyle->Oral Care->Oral Rinse,,9.49,,,,,,,HLOCOR025,HLOCOR025.JPG,,taxable,standard-rate
Listerine Zero Alcohol Less Intensive 1L,,,Home & Lifestyle->Oral Care->Oral Rinse,,8.59,,,,,,,HLOCOR026,HLOCOR026.JPG,,taxable,standard-rate
Listerine Total Care Cleans And Protects 1L,,,Home & Lifestyle->Oral Care->Oral Rinse,,8.59,,,,,,,HLOCOR027,HLOCOR027.JPG,,taxable,standard-rate
Listerine Original 1L,,,Home & Lifestyle->Oral Care->Oral Rinse,,6.99,,,,,,,HLOCOR028,HLOCOR028.JPG,,taxable,standard-rate
Compliments Mouthwash Rince-Bouche 1L,,,Home & Lifestyle->Oral Care->Oral Rinse,,4.89,,,,,,,HLOCOR029,HLOCOR029.JPG,,taxable,standard-rate
