title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Friskies Pate Mariner's Catch 156g,,,Pet Care->Cat Foods,,0.79,,,,,,,PCCF001,PCCF001.JPG,,taxable,standard-rate
Friskies Shredded with Chicken in Gravy 156g,,,Pet Care->Cat Foods,,0.79,,,,,,,PCCF002,PCCF002.JPG,,taxable,standard-rate
Friskies Chunks Chicken Dinner in Gravy 156g,,,Pet Care->Cat Foods,,0.79,,,,,,,PCCF003,PCCF003.JPG,,taxable,standard-rate
Friskies Pate Whitefish & Tuna Dinner 156g,,,Pet Care->Cat Foods,,0.79,,,,,,,PCCF004,PCCF004.JPG,,taxable,standard-rate
Friskies Prime Filets Turkey Dinner in Gravy 156g,,,Pet Care->Cat Foods,,0.79,,,,,,,PCCF005,PCCF005.JPG,,taxable,standard-rate
Friskies Pate Chicken Dinner 156g,,,Pet Care->Cat Foods,,0.79,,,,,,,PCCF006,PCCF006.JPG,,taxable,standard-rate
Friskies Shredded with Ocean Whitefish & Tuna in Sauce 156g,,,Pet Care->Cat Foods,,0.79,,,,,,,PCCF007,PCCF007.JPG,,taxable,standard-rate
Friskies Pate Seafood Supreme 156g,,,Pet Care->Cat Foods,,0.79,,,,,,,PCCF008,PCCF008.JPG,,taxable,standard-rate
Friskies Shredded Turkey & Cheese Dinner in Gravy 156g,,,Pet Care->Cat Foods,,0.79,,,,,,,PCCF009,PCCF009.JPG,,taxable,standard-rate
Friskies Pate Chef's Dinner 156g,,,Pet Care->Cat Foods,,0.79,,,,,,,PCCF010,PCCF010.JPG,,taxable,standard-rate
Friskies Indoor Chats Chunky Chicken & Turkey Casserole with Garden Green in Gravy 156g,,,Pet Care->Cat Foods,,0.79,,,,,,,PCCF011,PCCF011.JPG,,taxable,standard-rate
Friskies Indoor Chats Saucy Seafood Bake with Garden Greens in Sauce 156g,,,Pet Care->Cat Foods,,0.79,,,,,,,PCCF012,PCCF012.JPG,,taxable,standard-rate
Friskies Senior Chicken & Turkey Dinner in Gravy 156g,,,Pet Care->Cat Foods,,0.79,,,,,,,PCCF013,PCCF013.JPG,,taxable,standard-rate
Friskies Shredded Chicken & Salmon Dinner in Gravy 156g,,,Pet Care->Cat Foods,,0.79,,,,,,,PCCF014,PCCF014.JPG,,taxable,standard-rate
Friskies Indoor Chats Flaked Ocean Whitefish Dinner with Garden Greens in Gravy 156g,,,Pet Care->Cat Foods,,0.79,,,,,,,PCCF015,PCCF015.JPG,,taxable,standard-rate
Friskies Indoor Chats Classic Pate Chicken Dinner with Garden Greens 156g,,,Pet Care->Cat Foods,,0.79,,,,,,,PCCF016,PCCF016.JPG,,taxable,standard-rate
Friskies Prime Filets with Chicken in Gravy 156g,,,Pet Care->Cat Foods,,0.79,,,,,,,PCCF017,PCCF017.JPG,,taxable,standard-rate
Friskies Pate Salmon Dinner 156g,,,Pet Care->Cat Foods,,0.79,,,,,,,PCCF018,PCCF018.JPG,,taxable,standard-rate
Friskies Indoor Classic Pate Chicken/Flaked Ocean Whitefish Dinner/Chunky Chicken & Turkey Casserole 12Pk,,,Pet Care->Cat Foods,,7.99,,,,,,,PCCF019,PCCF019.JPG,,taxable,standard-rate
Friskies Ocean Delights Whitefish & Tuna Dinner/Salmon Dinner/Seafood Supreme 12Pk,,,Pet Care->Cat Foods,,7.99,,,,,,,PCCF020,PCCF020.JPG,,taxable,standard-rate
Friskies Poultry Lovers Shredded Chicken & Salmon Dinner/Shredded Turkey & Cheese Dinner/Chunks Chicken Dinner 12Pk,,,Pet Care->Cat Foods,,7.99,,,,,,,PCCF021,PCCF021.JPG,,taxable,standard-rate
