title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Purina Beggin Strips Bacon Dog Snack Original 850g,,,Pet Care->Dog Foods ,,13.99,,,,,,,PCDF001,PCDF001.JPG,,taxable,standard-rate
Purina Beggin Thick Cut Bacon Dog Snack Hickory Smoked 170g,,,Pet Care->Dog Foods ,,3.29,,,,,,,PCDF002,PCDF002.JPG,,taxable,standard-rate
Purina Beggin Thick Cut Bacon Dog Snack Maple Flavour 170g,,,Pet Care->Dog Foods ,,3.29,,,,,,,PCDF003,PCDF003.JPG,,taxable,standard-rate
Purina Beggin Strips Bacon Dog Snack Original 170g,,,Pet Care->Dog Foods ,,3.29,,,,,,,PCDF004,PCDF004.JPG,,taxable,standard-rate
Purina Beggin Strips Bacon & Beef Flavours Dog Snack 170g,,,Pet Care->Dog Foods ,,3.29,,,,,,,PCDF005,PCDF005.JPG,,taxable,standard-rate
Purina Beggin Strips Bacon & Cheese Flavours Dog Snack 170g,,,Pet Care->Dog Foods ,,3.29,,,,,,,PCDF006,PCDF006.JPG,,taxable,standard-rate
Pup-peroni Lean Beef Flavour Omega-3 Dog Snacks 75g,,,Pet Care->Dog Foods ,,2.99,,,,,,,PCDF007,PCDF007.JPG,,taxable,standard-rate
Pedigree Denta Stix Clinically Proven Original for Medium Dog 441g 18Pk,,,Pet Care->Dog Foods ,,11.49,,,,,,,PCDF008,PCDF008.JPG,,taxable,standard-rate
Pedigree Denta Stix Clinically Proven Beef Flavour for Medium Dog 441g 18Pk,,,Pet Care->Dog Foods ,,11.49,,,,,,,PCDF009,PCDF009.JPG,,taxable,standard-rate
Pedigree Denta StixClinically Proven Original for Large Dog 155g 4Pk,,,Pet Care->Dog Foods ,,5.79,,,,,,,PCDF010,PCDF010.JPG,,taxable,standard-rate
Pedigree Denta Stix Clinically Proven Original for Medium Dog 172g 7Pk,,,Pet Care->Dog Foods ,,5.79,,,,,,,PCDF011,PCDF011.JPG,,taxable,standard-rate
Pedigree Denta Stix Clinically Proven Original for Small Dog 158g 10Pk,,,Pet Care->Dog Foods ,,5.79,,,,,,,PCDF012,PCDF012.JPG,,taxable,standard-rate
Pedigree Denta Stix Clinically Proven Original for Small Dog 63g 4Pk,,,Pet Care->Dog Foods ,,1.79,,,,,,,PCDF013,PCDF013.JPG,,taxable,standard-rate
Pedigree MarroBone with Real Bone Marrow Original 120g,,,Pet Care->Dog Foods ,,1.49,,,,,,,PCDF014,PCDF014.JPG,,taxable,standard-rate
Purina Busy Bone Dental for Large Dogs 226g 2Pk,,,Pet Care->Dog Foods ,,5.59,,,,,,,PCDF015,PCDF015.JPG,,taxable,standard-rate
Purina Busy Bone with Real Meat for Large dogs 198g 1Pk,,,Pet Care->Dog Foods ,,5.59,,,,,,,PCDF016,PCDF016.JPG,,taxable,standard-rate
Purina Busy Bone with Real Meat for Small & Medium Dogs 198g 2Pk,,,Pet Care->Dog Foods ,,5.59,,,,,,,PCDF017,PCDF017.JPG,,taxable,standard-rate
Purina Busy Bone with Real Meat for Small and Toy Breed Bogs 184g 4Pk,,,Pet Care->Dog Foods ,,5.49,,,,,,,PCDF018,PCDF018.JPG,,taxable,standard-rate
Purina Busy Chewnola 113g 2Pk,,,Pet Care->Dog Foods ,,5.49,,,,,,,PCDF019,PCDF019.JPG,,taxable,standard-rate
Purina Busy Rollhide Savoury Middle 113g 3Pk,,,Pet Care->Dog Foods ,,5.49,,,,,,,PCDF020,PCDF020.JPG,,taxable,standard-rate
Natural Defense Oral Care Dog Snack for Medium Dog 150g 3Pk,,,Pet Care->Dog Foods ,,4.49,,,,,,,PCDF021,PCDF021.JPG,,taxable,standard-rate
Natural Defense Digestive Premium Adult Dogs Snacks 400g,,,Pet Care->Dog Foods ,,4.79,,,,,,,PCDF022,PCDF022.JPG,,taxable,standard-rate
Pedigree Jumbone Oral Care Tartar Twist Large Size 125g 1Pk,,,Pet Care->Dog Foods ,,5.79,,,,,,,PCDF023,PCDF023.JPG,,taxable,standard-rate
Predigree Jumbone Oral Care Tartar Twist Mini Size 130g 8Pk,,,Pet Care->Dog Foods ,,5.79,,,,,,,PCDF024,PCDF024.JPG,,taxable,standard-rate
Predigree Jumbone Oral Care Tartar Twist Small Size 130g 2Pk,,,Pet Care->Dog Foods ,,5.79,,,,,,,PCDF025,PCDF025.JPG,,taxable,standard-rate
Milk-Bone Essentials Plus Dog Snacks Oral Care Crunchy Bites 198g 55Pk,,,Pet Care->Dog Foods ,,4.49,,,,,,,PCDF026,PCDF026.JPG,,taxable,standard-rate
Milk-Bone Essentials Plus Dog Snacks Hip & Joint Crunchu Bites 198g 55Pk,,,Pet Care->Dog Foods ,,4.49,,,,,,,PCDF027,PCDF027.JPG,,taxable,standard-rate
Milk-Bone 5 Flavour Small Dog Snacks Bacon/Beef/Chicken/Sausage/Turkey 800g,,,Pet Care->Dog Foods ,,4.99,,,,,,,PCDF028,PCDF028.JPG,,taxable,standard-rate
Pedigree Dog Snacks MarroBone with Real Bone Marrow for Small Dogs 250g,,,Pet Care->Dog Foods ,,3.79,,,,,,,PCDF029,PCDF029.JPG,,taxable,standard-rate
Pedigree Dog Snacks MarroBone with Real Bone Marrow Original 425g,,,Pet Care->Dog Foods ,,4.79,,,,,,,PCDF030,PCDF030.JPG,,taxable,standard-rate
Pedigree Dog Snacks MarroBone with Real Bone Marrow Original 737g,,,Pet Care->Dog Foods ,,5.79,,,,,,,PCDF031,PCDF031.JPG,,taxable,standard-rate
Pedigree Breath Buster Dog Snacks for Small Doags 500g,,,Pet Care->Dog Foods ,,5.29,,,,,,,PCDF032,PCDF032.JPG,,taxable,standard-rate
Milk-Bone Biscuits for Medium Dogs 900g,,,Pet Care->Dog Foods ,,4.99,,,,,,,PCDF033,PCDF033.JPG,,taxable,standard-rate
Pedigree Dog Snacks Marrobone with Real Bone Marrow Original 1.9Kg,,,Pet Care->Dog Foods ,,11.49,,,,,,,PCDF034,PCDF034.JPG,,taxable,standard-rate
Purina Alpo Chew-eez Tasty Beefhide Treats for All Size Dogs 454g,,,Pet Care->Dog Foods ,,12.39,,,,,,,PCDF035,PCDF035.JPG,,taxable,standard-rate
Milk-Bone Biscuits for Large Dogs 900g,,,Pet Care->Dog Foods ,,4.99,,,,,,,PCDF036,PCDF036.JPG,,taxable,standard-rate
Milk-Bone Biscuits for Large Dogs 2Kg,,,Pet Care->Dog Foods ,,6.99,,,,,,,PCDF037,PCDF037.JPG,,taxable,standard-rate
Purina Beneful Baked Delights Quacks Crispy Dog Snacks Cheese and Hickory Smoke 255g,,,Pet Care->Dog Foods ,,4.49,,,,,,,PCDF038,PCDF038.JPG,,taxable,standard-rate
Purina Beneful Baked Delights Stars Shortbread Bacon and Cheese 312g,,,Pet Care->Dog Foods ,,4.49,,,,,,,PCDF039,PCDF039.JPG,,taxable,standard-rate
Purina Beneful Baked Delights Hugs Crispy Snacks with Beef and Cheese 312g,,,Pet Care->Dog Foods ,,4.49,,,,,,,PCDF040,PCDF040.JPG,,taxable,standard-rate
Purina Beneful Baked Delights Snackers Oven-Baked with Peanut Butter and Cheese 354g,,,Pet Care->Dog Foods ,,4.49,,,,,,,PCDF041,PCDF041.JPG,,taxable,standard-rate
Purina Chewrific Dog Snack Bacon and Cheese Flavour 198g,,,Pet Care->Dog Foods ,,3.79,,,,,,,PCDF042,PCDF042.JPG,,taxable,standard-rate
Jerky Treats Beef Flavour Dog Snacks Original 170g,,,Pet Care->Dog Foods ,,3.29,,,,,,,PCDF043,PCDF043.JPG,,taxable,standard-rate
Snausages Dog Snacks Beef & Cheese Flavours In a Blanket 196g,,,Pet Care->Dog Foods ,,2.49,,,,,,,PCDF044,PCDF044.JPG,,taxable,standard-rate
Purina Tiny-Mini Filet Mignon Flavour Dog Snack 283g,,,Pet Care->Dog Foods ,,4.79,,,,,,,PCDF045,PCDF045.JPG,,taxable,standard-rate
Milk-Bone Soft & Chewy Dog Snack Chicken Recipe 113g,,,Pet Care->Dog Foods ,,2.49,,,,,,,PCDF046,PCDF046.JPG,,taxable,standard-rate
Iams ShakeAbles Dog Snacks Soft & Chewy Treats with Lamb 170g,,,Pet Care->Dog Foods ,,3.79,,,,,,,PCDF047,PCDF047.JPG,,taxable,standard-rate
Iams ShakeAbles Dog Snacks Soft & Chewy Treats with Chicken 170g,,,Pet Care->Dog Foods ,,3.79,,,,,,,PCDF048,PCDF048.JPG,,taxable,standard-rate
Pedigree Dentabone Oral Care Chew Large Size 200g 2Pk,,,Pet Care->Dog Foods ,,5.79,,,,,,,PCDF049,PCDF049.JPG,,taxable,standard-rate
Pedigree Dentabone Oral Care Chew Small Size 105g 3Pk,,,Pet Care->Dog Foods ,,3.79,,,,,,,PCDF050,PCDF050.JPG,,taxable,standard-rate
Pedigree Jumbone Meaty Chew Mini for Small and Toy Dogs 180g 10Pk,,,Pet Care->Dog Foods ,,4.79,,,,,,,PCDF051,PCDF051.JPG,,taxable,standard-rate
Pedigree Jumbone Meaty Chew Small Size 200g 2Pk,,,Pet Care->Dog Foods ,,5.79,,,,,,,PCDF052,PCDF052.JPG,,taxable,standard-rate
Comp Small 5-Flavoured Dog Biscuits 900g,,,Pet Care->Dog Foods ,,3.99,,,,,,,PCDF053,PCDF053.JPG,,taxable,standard-rate
Comp Small Dog Biscuits 900g,,,Pet Care->Dog Foods ,,3.99,,,,,,,PCDF054,PCDF054.JPG,,taxable,standard-rate
Comp Large Dog Biscuits 900g,,,Pet Care->Dog Foods ,,3.99,,,,,,,PCDF055,PCDF055.JPG,,taxable,standard-rate
Cesar Steak Tips and Grilled Chicken Meal for Small Dogs 1.2Kg 12Pk,,,Pet Care->Dog Foods ,,11.99,,,,,,,PCDF056,PCDF056.JPG,,taxable,standard-rate
Cesar Steak Florentine & Tuscan Style Stew with Beef Meal for Small Dogs 1.2Kg 12Pk,,,Pet Care->Dog Foods ,,11.99,,,,,,,PCDF057,PCDF057.JPG,,taxable,standard-rate
Cesar Grilled Chicken & Poterhouse Steak Entrees for Small Dogs 1.2Kg 12Pk,,,Pet Care->Dog Foods ,,11.99,,,,,,,PCDF058,PCDF058.JPG,,taxable,standard-rate
Cesar Filet Mignon & Chicken with Liver Entrees for Small Dogs 1.2Kg 12Pk,,,Pet Care->Dog Foods ,,11.99,,,,,,,PCDF059,PCDF059.JPG,,taxable,standard-rate
Cesar Turkey & Beef Entrees for Small Dogs 1.2Kg 12Pk,,,Pet Care->Dog Foods ,,11.99,,,,,,,PCDF060,PCDF060.JPG,,taxable,standard-rate
Cesar Pork Tenderloin & Top Sirloin Entrees for Small Dogs 1.2Kg 12Pk,,,Pet Care->Dog Foods ,,11.99,,,,,,,PCDF061,PCDF061.JPG,,taxable,standard-rate
Cesar Top Sirloin Flavour Small Dog Entrees 100g,,,Pet Care->Dog Foods ,,1.19,,,,,,,PCDF062,PCDF062.JPG,,taxable,standard-rate
Cesar Grilled Chicken Primavera Small Dog Entrees 100g,,,Pet Care->Dog Foods ,,1.19,,,,,,,PCDF063,PCDF063.JPG,,taxable,standard-rate
Cesar Filet Mignon Flavour Small Dog Entrees 100g,,,Pet Care->Dog Foods ,,1.19,,,,,,,PCDF064,PCDF064.JPG,,taxable,standard-rate
Cesar Chicken & Beef Flavour Small Dog Entrees 100g,,,Pet Care->Dog Foods ,,1.19,,,,,,,PCDF065,PCDF065.JPG,,taxable,standard-rate
Cesar Beef Flavour Small Dog Entrees 100g,,,Pet Care->Dog Foods ,,1.19,,,,,,,PCDF066,PCDF066.JPG,,taxable,standard-rate
Cesar Pork Tenderloin Flavour Small Dog Entrees 100g,,,Pet Care->Dog Foods ,,1.19,,,,,,,PCDF067,PCDF067.JPG,,taxable,standard-rate
Cesa New York Strip Flavour Small Dog Entrees 100g,,,Pet Care->Dog Foods ,,1.19,,,,,,,PCDF068,PCDF068.JPG,,taxable,standard-rate
Cesa Chicken & Veal Flavour Small Dog Entrees 100g,,,Pet Care->Dog Foods ,,1.19,,,,,,,PCDF069,PCDF069.JPG,,taxable,standard-rate
Cesa Grilled Chicken Flavour Small Dog Entrees 100g,,,Pet Care->Dog Foods ,,1.19,,,,,,,PCDF070,PCDF070.JPG,,taxable,standard-rate
Cesa Chicken & Liver Flavour Small Dog Entrees 100g,,,Pet Care->Dog Foods ,,1.19,,,,,,,PCDF071,PCDF071.JPG,,taxable,standard-rate
Cesa Turkey Flavour Small Dog Entrees 100g,,,Pet Care->Dog Foods ,,1.19,,,,,,,PCDF072,PCDF072.JPG,,taxable,standard-rate
"Purina Beneful Simmered Chicken Medley with Green Beans, Carrots & Wild Rice Dog Meal 283g",,,Pet Care->Dog Foods ,,3.29,,,,,,,PCDF073,PCDF073.JPG,,taxable,standard-rate
"Purina Beneful Savoury Turkey Recipe with Green Beans, Brown Rice & Potatoes Dog Meal 283g",,,Pet Care->Dog Foods ,,3.29,,,,,,,PCDF074,PCDF074.JPG,,taxable,standard-rate
Purina Beneful Savoury Rice & Lamb Stew with Peas & Carrots Dog Meal 283g,,,Pet Care->Dog Foods ,,3.29,,,,,,,PCDF075,PCDF075.JPG,,taxable,standard-rate
"Purina Beneful Simmered Beef Flavour with Carrots, Barley, Wild Rice & Spinach Dog Meal 283g",,,Pet Care->Dog Foods ,,3.29,,,,,,,PCDF076,PCDF076.JPG,,taxable,standard-rate
"Purina Beneful Beef Stew Flavour with Peas, Carrots, Rice & Barley Dog Meal 283g",,,Pet Care->Dog Foods ,,3.29,,,,,,,PCDF077,PCDF077.JPG,,taxable,standard-rate
"Pedigree Health Vitality Multipack Beef & Liver, Chicken, Beef 6Pk 3.7Kg",,,Pet Care->Dog Foods ,,10.99,,,,,,,PCDF078,PCDF078.JPG,,taxable,standard-rate
"Purina Beneful Dog Meal Simmered Chicken Medley, Roasted Turkey Medley and Savoury Rice & Lamb Stew 3.7Kg 6Pk",,,Pet Care->Dog Foods ,,15.99,,,,,,,PCDF079,PCDF079.JPG,,taxable,standard-rate
"Purina Beneful Dog Meal Simmered Chicken Flavour, Roasted Chicken Recipe and Savoury Turkey Recipe 6Pk",,,Pet Care->Dog Foods ,,12.99,,,,,,,PCDF080,PCDF080.JPG,,taxable,standard-rate
Pedigree Meaty Loaf with Real Chicken Dog Meal Can 630g,,,Pet Care->Dog Foods ,,2.29,,,,,,,PCDF081,PCDF081.JPG,,taxable,standard-rate
Pedigree Choice Cuts in Sauce with Real Chicken Dog Meal Can 630g,,,Pet Care->Dog Foods ,,2.29,,,,,,,PCDF082,PCDF082.JPG,,taxable,standard-rate
Comp Chicken & Lamb Dinner 624g,,,Pet Care->Dog Foods ,,2.29,,,,,,,PCDF083,PCDF083.JPG,,taxable,standard-rate
Comp Country Stew Cuts in Gravy 624g ,,,Pet Care->Dog Foods ,,1.79,,,,,,,PCDF084,PCDF084.JPG,,taxable,standard-rate
Comp with Chicken Cuts in Gravy 624g ,,,Pet Care->Dog Foods ,,1.79,,,,,,,PCDF085,PCDF085.JPG,,taxable,standard-rate
Comp with Beef Cuts in Gravy 624g,,,Pet Care->Dog Foods ,,1.79,,,,,,,PCDF086,PCDF086.JPG,,taxable,standard-rate
Pedigree Healthy Vitality Meaty Loaf With Real Beef 630g,,,Pet Care->Dog Foods ,,2.29,,,,,,,PCDF087,PCDF087.JPG,,taxable,standard-rate
Pedigree Choice Cuts in Sauce Country Stew 630g,,,Pet Care->Dog Foods ,,2.29,,,,,,,PCDF088,PCDF088.JPG,,taxable,standard-rate
Comp with Lamb & Rice 624g,,,Pet Care->Dog Foods ,,1.79,,,,,,,PCDF089,PCDF089.JPG,,taxable,standard-rate
Comp Chicken & Veal Dinner 624g,,,Pet Care->Dog Foods ,,1.79,,,,,,,PCDF090,PCDF090.JPG,,taxable,standard-rate
Comp with Chicken & Beef 624g,,,Pet Care->Dog Foods ,,1.79,,,,,,,PCDF091,PCDF091.JPG,,taxable,standard-rate
Comp with Turkey & Bacon 624g,,,Pet Care->Dog Foods ,,1.79,,,,,,,PCDF092,PCDF092.JPG,,taxable,standard-rate
Comp with Beef & Liver Cuts in Gravy 624g,,,Pet Care->Dog Foods ,,1.79,,,,,,,PCDF093,PCDF093.JPG,,taxable,standard-rate
Purina Beneful Hearty Roasters Savoury Pork Recipe 283g,,,Pet Care->Dog Foods ,,3.29,,,,,,,PCDF094,PCDF094.JPG,,taxable,standard-rate
Comp Puppy 100% Complete & Balanced Formula 2kg,,,Pet Care->Dog Foods ,,4.99,,,,,,,PCDF095,PCDF095.JPG,,taxable,standard-rate
Cesar Roast Ckichen Flavour 3kg,,,Pet Care->Dog Foods ,,15.99,,,,,,,PCDF096,PCDF096.JPG,,taxable,standard-rate
Cesar Roast Turkey Flavour 1.6kg,,,Pet Care->Dog Foods ,,9.99,,,,,,,PCDF097,PCDF097.JPG,,taxable,standard-rate
Comp Adult 100% Complete & Balanced Formula 2kg,,,Pet Care->Dog Foods ,,4.99,,,,,,,PCDF098,PCDF098.JPG,,taxable,standard-rate
Cesar Filet Mignon Flavour 3.0kg,,,Pet Care->Dog Foods ,,15.99,,,,,,,PCDF099,PCDF099.JPG,,taxable,standard-rate
Cesar Filet Mignon Flavour 1.6kg,,,Pet Care->Dog Foods ,,9.99,,,,,,,PCDF100,PCDF100.JPG,,taxable,standard-rate
