title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Casa Di Oliva Capers 315ml,,,"Groceries->Condiments & sauces->Pickles, Relish & Olives",,3.99,,,,,,,GCSPRO001,GCSPRO001.JPG,,taxable,standard-rate
Casa Di Oliva Mixed Grilled Bruschetta 315ml,,,"Groceries->Condiments & sauces->Pickles, Relish & Olives",,3.99,,,,,,,GCSPRO003,GCSPRO003.JPG,,taxable,standard-rate
Casa Di Oliva Tomato & Olive Bruschetta 315ml,,,"Groceries->Condiments & sauces->Pickles, Relish & Olives",,3.58,,,,,,,GCSPRO004,GCSPRO004.JPG,,taxable,standard-rate
Casa Di Oliva Roasted Red Pepper & Artichoke Bruschetta 315ml,,,"Groceries->Condiments & sauces->Pickles, Relish & Olives",,3.99,,,,,,,GCSPRO005,GCSPRO005.JPG,,taxable,standard-rate
Casa Di Oliva Green Olives Stuffed with Red Pepper 315ml,,,"Groceries->Condiments & sauces->Pickles, Relish & Olives",,3.99,,,,,,,GCSPRO008,GCSPRO008.JPG,,taxable,standard-rate
Casa Di Oliva Green Olives Stuffed with Garlic 315ml,,,"Groceries->Condiments & sauces->Pickles, Relish & Olives",,3.99,,,,,,,GCSPRO011,GCSPRO011.JPG,,taxable,standard-rate
Bick's Gherkins Pickles Sweet 375ml,,,"Groceries->Condiments & sauces->Pickles, Relish & Olives",,4.49,,,,,,,GCSPRO016,GCSPRO016.JPG,,taxable,standard-rate
Bick's Mini Crunch'ems Definitely Dill 500ml,,,"Groceries->Condiments & sauces->Pickles, Relish & Olives",,3.58,,,,,,,GCSPRO017,GCSPRO017.JPG,,taxable,standard-rate
Bick's Mini Crunch'ems Garlic Rush 500ml,,,"Groceries->Condiments & sauces->Pickles, Relish & Olives",,3.58,,,,,,,GCSPRO018,GCSPRO018.JPG,,taxable,standard-rate
Bick's Premium Sandwish Savers Pickles Extra Garlic 500ml,,,"Groceries->Condiments & sauces->Pickles, Relish & Olives",,3.58,,,,,,,GCSPRO019,GCSPRO019.JPG,,taxable,standard-rate
