title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Kraft Coleslaw 475ml,,,Groceries->Condiments & Sauces->Salad Dressing,,3.58,,,,,,,GCSSD001,GCSSD001.JPG,,taxable,standard-rate
Kraft Calorie Wise Coleslaw 475ml,,,Groceries->Condiments & Sauces->Salad Dressing,,3.58,,,,,,,GCSSD002,GCSSD002.JPG,,taxable,standard-rate
Kraft Creamy Caesar 250ml,,,Groceries->Condiments & Sauces->Salad Dressing,,3.06,,,,,,,GCSSD003,GCSSD003.JPG,,taxable,standard-rate
Kraft Cloeslaw 250ml,,,Groceries->Condiments & Sauces->Salad Dressing,,3.06,,,,,,,GCSSD004,GCSSD004.JPG,,taxable,standard-rate
Kraft Fat Free Italian 250ml,,,Groceries->Condiments & Sauces->Salad Dressing,,3.06,,,,,,,GCSSD005,GCSSD005.JPG,,taxable,standard-rate
Kraft Balsamic 250ml,,,Groceries->Condiments & Sauces->Salad Dressing,,3.06,,,,,,,GCSSD006,GCSSD006.JPG,,taxable,standard-rate
Kraft Greek Feta 250ml,,,Groceries->Condiments & Sauces->Salad Dressing,,3.06,,,,,,,GCSSD007,GCSSD007.JPG,,taxable,standard-rate
Kraft Zesty Italian 250ml,,,Groceries->Condiments & Sauces->Salad Dressing,,3.06,,,,,,,GCSSD008,GCSSD008.JPG,,taxable,standard-rate
Kraft Rancher's Choice 250ml,,,Groceries->Condiments & Sauces->Salad Dressing,,3.06,,,,,,,GCSSD009,GCSSD009.JPG,,taxable,standard-rate
Kraft Creamy Caesar 475ml,,,Groceries->Condiments & Sauces->Salad Dressing,,3.58,,,,,,,GCSSD010,GCSSD010.JPG,,taxable,standard-rate
Kraft Calorie Wise Creamy Caesar 475ml,,,Groceries->Condiments & Sauces->Salad Dressing,,3.58,,,,,,,GCSSD011,GCSSD011.JPG,,taxable,standard-rate
Kraft Fat Free Creamy Caesar 475ml,,,Groceries->Condiments & Sauces->Salad Dressing,,3.58,,,,,,,GCSSD012,GCSSD012.JPG,,taxable,standard-rate
Kraft Bacon Caesar 475ml,,,Groceries->Condiments & Sauces->Salad Dressing,,3.58,,,,,,,GCSSD013,GCSSD013.JPG,,taxable,standard-rate
Kraft Raspberry Vinaigrette 475ml,,,Groceries->Condiments & Sauces->Salad Dressing,,3.58,,,,,,,GCSSD014,GCSSD014.JPG,,taxable,standard-rate
Kraft Catalina 475ml,,,Groceries->Condiments & Sauces->Salad Dressing,,3.58,,,,,,,GCSSD015,GCSSD015.JPG,,taxable,standard-rate
Kraft Calorie Wise Catalina 475ml,,,Groceries->Condiments & Sauces->Salad Dressing,,3.58,,,,,,,GCSSD016,GCSSD016.JPG,,taxable,standard-rate
Kraft Olive Oil Pesto Parmesan 414ml,,,Groceries->Condiments & Sauces->Salad Dressing,,3.58,,,,,,,GCSSD017,GCSSD017.JPG,,taxable,standard-rate
Kraft Garlic Parmesan with Roasted Cauliflower 414ml,,,Groceries->Condiments & Sauces->Salad Dressing,,3.58,,,,,,,GCSSD018,GCSSD018.JPG,,taxable,standard-rate
Kraft Roasted Yellow Pepper 414ml,,,Groceries->Condiments & Sauces->Salad Dressing,,3.58,,,,,,,GCSSD019,GCSSD019.JPG,,taxable,standard-rate
Kraft Fire Roasted Tomato with Basil 414ml,,,Groceries->Condiments & Sauces->Salad Dressing,,3.58,,,,,,,GCSSD020,GCSSD020.JPG,,taxable,standard-rate
Kraft Berry Balsamic 414ml,,,Groceries->Condiments & Sauces->Salad Dressing,,3.58,,,,,,,GCSSD021,GCSSD021.JPG,,taxable,standard-rate
Kraft Olive Oil Tuscan Italian 414ml,,,Groceries->Condiments & Sauces->Salad Dressing,,3.58,,,,,,,GCSSD022,GCSSD022.JPG,,taxable,standard-rate
Kraft Thousand Island 475ml,,,Groceries->Condiments & Sauces->Salad Dressing,,3.58,,,,,,,GCSSD023,GCSSD023.JPG,,taxable,standard-rate
Kraft Calorie Wise Thousand Island 475ml,,,Groceries->Condiments & Sauces->Salad Dressing,,3.58,,,,,,,GCSSD024,GCSSD024.JPG,,taxable,standard-rate
Kraft Golden Italian 475ml,,,Groceries->Condiments & Sauces->Salad Dressing,,3.58,,,,,,,GCSSD025,GCSSD025.JPG,,taxable,standard-rate
Kraft Zesty Italian 475ml,,,Groceries->Condiments & Sauces->Salad Dressing,,3.58,,,,,,,GCSSD026,GCSSD026.JPG,,taxable,standard-rate
Kraft Calorie Wise French Style 475ml,,,Groceries->Condiments & Sauces->Salad Dressing,,3.58,,,,,,,GCSSD027,GCSSD027.JPG,,taxable,standard-rate
Kraft Calorie Wise Zesty Italian 475ml,,,Groceries->Condiments & Sauces->Salad Dressing,,3.58,,,,,,,GCSSD028,GCSSD028.JPG,,taxable,standard-rate
Kraft French 475ml,,,Groceries->Condiments & Sauces->Salad Dressing,,3.58,,,,,,,GCSSD029,GCSSD029.JPG,,taxable,standard-rate
