title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Comp Canister Chip Regular 170g ,,,Snacks & Candies->Chips & Popcorn->Compliments & Sensations,,1.99,,,,,,,SCCS001,SCCS001.JPG,,taxable ,standard-rate 
Comp Canister Chip S/Cream On 163g ,,,Snacks & Candies->Chips & Popcorn->Compliments & Sensations,,1.99,,,,,,,SCCS002,SCCS002.JPG,,taxable ,standard-rate 
Comp Canister Chip Slt & Vin 163g ,,,Snacks & Candies->Chips & Popcorn->Compliments & Sensations,,1.99,,,,,,,SCCS003,SCCS003.JPG,,taxable ,standard-rate 
Comp Canister Chip BBQ 163g ,,,Snacks & Candies->Chips & Popcorn->Compliments & Sensations,,1.99,,,,,,,SCCS004,SCCS004.JPG,,taxable ,standard-rate 
Comp Restaurant Chips Yellow 250g ,,,Snacks & Candies->Chips & Popcorn->Compliments & Sensations,,2.99,,,,,,,SCCS005,SCCS005.JPG,,taxable ,standard-rate 
Comp Corn Chips Wht B/Sz Rnd 280g ,,,Snacks & Candies->Chips & Popcorn->Compliments & Sensations,,2.99,,,,,,,SCCS006,SCCS006.JPG,,taxable ,standard-rate 
Comp Restaurant Chips White 250g ,,,Snacks & Candies->Chips & Popcorn->Compliments & Sensations,,2.99,,,,,,,SCCS007,SCCS007.JPG,,taxable ,standard-rate 
Comp Multigrain W Flax Chips 240g ,,,Snacks & Candies->Chips & Popcorn->Compliments & Sensations,,2.29,,,,,,,SCCS008,SCCS008.JPG,,taxable ,standard-rate 
Comp Patato Chips Dill Pickle 220g ,,,Snacks & Candies->Chips & Popcorn->Compliments & Sensations,,2.29,,,,,,,SCCS009,SCCS009.JPG,,taxable ,standard-rate 
Comp Chip Extra All Dress Ridg P/Chip 200g ,,,Snacks & Candies->Chips & Popcorn->Compliments & Sensations,,2.29,,,,,,,SCCS010,SCCS010.JPG,,taxable ,standard-rate 
Comp Chip Salt & Vin 220g ,,,Snacks & Candies->Chips & Popcorn->Compliments & Sensations,,2.29,,,,,,,SCCS011,SCCS011.JPG,,taxable ,standard-rate 
Comp Potato Chip Regular 220g ,,,Snacks & Candies->Chips & Popcorn->Compliments & Sensations,,2.29,,,,,,,SCCS012,SCCS012.JPG,,taxable ,standard-rate 
Comp Extraaa S/Crm&On Ridged 200g ,,,Snacks & Candies->Chips & Popcorn->Compliments & Sensations,,2.29,,,,,,,SCCS013,SCCS013.JPG,,taxable ,standard-rate 
Comp Chip S/Crm & On 220g ,,,Snacks & Candies->Chips & Popcorn->Compliments & Sensations,,2.29,,,,,,,SCCS014,SCCS014.JPG,,taxable ,standard-rate 
Comp Ext Ketchup Ridg Potato Chips 200g ,,,Snacks & Candies->Chips & Popcorn->Compliments & Sensations,,2.29,,,,,,,SCCS015,SCCS015.JPG,,taxable ,standard-rate 
Comp Chip Ketchup Flavor 220g ,,,Snacks & Candies->Chips & Popcorn->Compliments & Sensations,,2.29,,,,,,,SCCS016,SCCS016.JPG,,taxable ,standard-rate 
