title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Sensatns Kettle Corn Swt&Slty 297g ,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,3.49,,,,,,,SCCPP001,SCCPP001.JPG,,taxable,standard-rate
Sensatns kettle Corn Wht Ched 255g ,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,3.49,,,,,,,SCCPP002,SCCPP002.JPG,,taxable,standard-rate
PpCrnInd Kettlecorn Bacon Rnch 185g ,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,4.79,,,,,,,SCCPP003,SCCPP003.JPG,,taxable,standard-rate
PcornInd Kettlecorn Agd Wt Chd 255g ,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,4.79,,,,,,,SCCPP004,SCCPP004.JPG,,taxable,standard-rate
PcornInd Kettlecorn Original 297g ,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,4.79,,,,,,,SCCPP005,SCCPP005.JPG,,taxable,standard-rate
PcornInd Moive Thtr Btrr 212g,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,4.79,,,,,,,SCCPP006,SCCPP006.JPG,,taxable,standard-rate
PcornInd Kettlecorn S/Salt 154 g ,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,4.79,,,,,,,SCCPP007,SCCPP007.JPG,,taxable,standard-rate
OrvlRedb Kettlecorn RTE 220g ,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,3.99,,,,,,,SCCPP008,SCCPP008.JPG,,taxable,standard-rate
OrvlRedb White Cheddar RTE 190g ,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,3.99,,,,,,,SCCPP009,SCCPP009.JPG,,taxable,standard-rate
OrvlRedb Chipotle WG RTE 165g ,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,3.99,,,,,,,SCCPP010,SCCPP010.JPG,,taxable,standard-rate
OrvlRedb Dill Pickle RTE 165g ,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,3.99,,,,,,,SCCPP011,SCCPP011.JPG,,taxable,standard-rate
SmartFd Movie Night Butter 170g ,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,4.29,,,,,,,SCCPP012,SCCPP012.JPG,,taxable,standard-rate
SmartFd Popcorn White Cheddar 220g ,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,4.29,,,,,,,SCCPP013,SCCPP013.JPG,,taxable,standard-rate
SmartFd Kettle Corn Sw&Salt 220g ,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,4.29,,,,,,,SCCPP014,SCCPP014.JPG,,taxable,standard-rate
Chesters Popcorn Cheese 265g ,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,3.79,,,,,,,SCCPP015,SCCPP015.JPG,,taxable,standard-rate
JollyTim Healthy Pop 3pk 255g,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,3.26,,,,,,,SCCPP016,SCCPP016.JPG,,taxable,standard-rate
JollyTim Healthy Pop Kett 136g,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,3.26,,,,,,,SCCPP017,SCCPP017.JPG,,taxable,standard-rate
Oredenb Smart Pop Mini 124g,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,2.99,,,,,,,SCCPP018,SCCPP018.JPG,,taxable,standard-rate
Oredenb Smart Pop 210g,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,3.49,,,,,,,SCCPP019,SCCPP019.JPG,,taxable,standard-rate
Oredenb Popcorn Buttery 246g,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,3.49,,,,,,,SCCPP020,SCCPP020.JPG,,taxable,standard-rate
Oredenb Mini Butter 170g,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,2.99,,,,,,,SCCPP021,SCCPP021.JPG,,taxable,standard-rate
Oredenb SmartPop 100Cal 248g,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,5.49,,,,,,,SCCPP022,SCCPP022.JPG,,taxable,standard-rate
Oredenb Smart Pop 6pk 420g,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,5.49,,,,,,,SCCPP023,SCCPP023.JPG,,taxable,standard-rate
Oredenb Popcorn Butter 492g,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,5.49,,,,,,,SCCPP024,SCCPP024.JPG,,taxable,standard-rate
Oredenb Popcorn Extra Butter 492g,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,5.49,,,,,,,SCCPP025,SCCPP025.JPG,,taxable,standard-rate
Oredenb Mini Bags Butter 340g,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,5.49,,,,,,,SCCPP026,SCCPP026.JPG,,taxable,standard-rate
Oredenb Popcorn Buttery Light 456g,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,5.49,,,,,,,SCCPP027,SCCPP027.JPG,,taxable,standard-rate
Oredenb Smart Pop 700g,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,7.99,,,,,,,SCCPP028,SCCPP028.JPG,,taxable,standard-rate
Oredenb Select White 6pk 516g,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,5.49,,,,,,,SCCPP029,SCCPP029.JPG,,taxable,standard-rate
Oredenb 6/5ct White Ched 540g,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,5.49,,,,,,,SCCPP030,SCCPP030.JPG,,taxable,standard-rate
Oredenb 6/5ct S/Crm&Onion 540g,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,5.49,,,,,,,SCCPP031,SCCPP031.JPG,,taxable,standard-rate
Oredenb Popcorn Butter 820g,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,7.99,,,,,,,SCCPP032,SCCPP032.JPG,,taxable,standard-rate
Oredenb Popcorn Extra Buttery 820g,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,7.99,,,,,,,SCCPP033,SCCPP033.JPG,,taxable,standard-rate
Oredenb Gourmet Popcorn 850g,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,5.49,,,,,,,SCCPP034,SCCPP034.JPG,,taxable,standard-rate
JiffyPop Butter Popcorn 127g,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,4.29,,,,,,,SCCPP035,SCCPP035.JPG,,taxable,standard-rate
CompBal P/Corn Mwave 240g,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,2.99,,,,,,,SCCPP036,SCCPP036.JPG,,taxable,standard-rate
Comp Pcorn Bttr L/F Mwave 246g,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,2.79,,,,,,,SCCPP037,SCCPP037.JPG,,taxable,standard-rate
Comp Popping  Crn Ex Bttr 282g,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,2.79,,,,,,,SCCPP038,SCCPP038.JPG,,taxable,standard-rate
Comp Pop Cm Bttr Mwave 282g,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,2.79,,,,,,,SCCPP039,SCCPP039.JPG,,taxable,standard-rate
