title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
LuBis Schoks Choc  150g,,,Snacks & Candies->Cookies & Biscuits->Biscuits ,,3.49,,,,,,,SCB001,SCB001.JPG,,taxable,standard-rate
Lu Peit Ecolier Bitter Sweet 150g,,,Snacks & Candies->Cookies & Biscuits->Biscuits ,,3.49,,,,,,,SCB002,SCB002.JPG,,taxable,standard-rate
Lu School Boy Milk 150g ,,,Snacks & Candies->Cookies & Biscuits->Biscuits ,,3.49,,,,,,,SCB003,SCB003.JPG,,taxable,standard-rate
Lu Peit Ecolier White Choco 150g,,,Snacks & Candies->Cookies & Biscuits->Biscuits ,,3.49,,,,,,,SCB004,SCB004.JPG,,taxable,standard-rate
Lu Pims Rasp 150g,,,Snacks & Candies->Cookies & Biscuits->Biscuits ,,3.49,,,,,,,SCB005,SCB005.JPG,,taxable,standard-rate
Lu Pims Original 150g,,,Snacks & Candies->Cookies & Biscuits->Biscuits ,,3.49,,,,,,,SCB006,SCB006.JPG,,taxable,standard-rate
Bahlsen Wafer Afrc D/Choc 130g,,,Snacks & Candies->Cookies & Biscuits->Biscuits ,,3.89,,,,,,,SCB007,SCB007.JPG,,taxable,standard-rate
Bahlsen Bisc Leibniz B/Sweet 135g ,,,Snacks & Candies->Cookies & Biscuits->Biscuits ,,3.89,,,,,,,SCB008,SCB008.JPG,,taxable,standard-rate
Bahlsn Bisc Leibniz Milk Choc 125g,,,Snacks & Candies->Cookies & Biscuits->Biscuits ,,3.89,,,,,,,SCB009,SCB009.JPG,,taxable,standard-rate
Bahlsn B/Swt Choc Wafer Roll 100g,,,Snacks & Candies->Cookies & Biscuits->Biscuits ,,3.89,,,,,,,SCB010,SCB010.JPG,,taxable,standard-rate
Bahlsn Bisc Wafer Roll Milk 100g,,,Snacks & Candies->Cookies & Biscuits->Biscuits ,,3.89,,,,,,,SCB011,SCB011.JPG,,taxable,standard-rate
PeppFarm Pirouette H/Nut 382g,,,Snacks & Candies->Cookies & Biscuits->Biscuits ,,4.99,,,,,,,SCB012,SCB012.JPG,,taxable,standard-rate
PeppFarm Fudge Pirouette 382g,,,Snacks & Candies->Cookies & Biscuits->Biscuits ,,4.99,,,,,,,SCB013,SCB013.JPG,,taxable,standard-rate
Arnotts Cookies Double Coat 200g ,,,Snacks & Candies->Cookies & Biscuits->Biscuits ,,3.99,,,,,,,SCB014,SCB014.JPG,,taxable,standard-rate
Arnotts Tim Tam Cookies Crml 175g,,,Snacks & Candies->Cookies & Biscuits->Biscuits ,,3.99,,,,,,,SCB015,SCB015.JPG,,taxable,standard-rate
Arnotts Tim Tam Cookies Original 200g,,,Snacks & Candies->Cookies & Biscuits->Biscuits ,,3.99,,,,,,,SCB016,SCB016.JPG,,taxable,standard-rate
Kambly Florentin Almd Biscuit 100g ,,,Snacks & Candies->Cookies & Biscuits->Biscuits ,,4.99,,,,,,,SCB017,SCB017.JPG,,taxable,standard-rate
kambly Chocolune D/Choc 100g ,,,Snacks & Candies->Cookies & Biscuits->Biscuits ,,4.99,,,,,,,SCB018,SCB018.JPG,,taxable,standard-rate
