title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Dad's Oatmeal Ch Chip PP 350g,,,Snacks & Candies->Cookies & Biscuits->Cookies,,4.39,,,,,,,SCC001,SCC001.JPG,,taxable,standard-rate
Dad's Chewy Oatmeal Choc Chip 325g,,,Snacks & Candies->Cookies & Biscuits->Cookies,,4.39,,,,,,,SCC002,SCC002.JPG,,taxable,standard-rate
Dad's Org Oatmeal 350g,,,Snacks & Candies->Cookies & Biscuits->Cookies,,4.39,,,,,,,SCC003,SCC003.JPG,,taxable,standard-rate
Dad's Oatmeal Ch/Chip 350g,,,Snacks & Candies->Cookies & Biscuits->Cookies,,4.39,,,,,,,SCC004,SCC004.JPG,,taxable,standard-rate
Dad's Oatmeal 350g,,,Snacks & Candies->Cookies & Biscuits->Cookies,,4.39,,,,,,,SCC005,SCC005.JPG,,taxable,standard-rate
PeekFren LifeStyl Sw Van Yog 256g,,,Snacks & Candies->Cookies & Biscuits->Cookies,,3.99,,,,,,,SCC006,SCC006.JPG,,taxable,standard-rate
Pfrean LifeStyl Shortcake 275g,,,Snacks & Candies->Cookies & Biscuits->Cookies,,3.99,,,,,,,SCC007,SCC007.JPG,,taxable,standard-rate
Pfrean LifeStyl Cookies Van Lat 350g,,,Snacks & Candies->Cookies & Biscuits->Cookies,,3.99,,,,,,,SCC008,SCC008.JPG,,taxable,standard-rate
Pfrean LifeStyl Sw Choc Crm  256g,,,Snacks & Candies->Cookies & Biscuits->Cookies,,3.99,,,,,,,SCC009,SCC009.JPG,,taxable,standard-rate
Pfrean LifeStyl Fruit Cr??me 275g,,,Snacks & Candies->Cookies & Biscuits->Cookies,,3.99,,,,,,,SCC010,SCC010.JPG,,taxable,standard-rate
Pfrean LifeStyl Cbry Citrus Oat Crunch 350g,,,Snacks & Candies->Cookies & Biscuits->Cookies,,3.99,,,,,,,SCC011,SCC011.JPG,,taxable,standard-rate
Pfrean Lifestyl Bran Crunch 275g,,,Snacks & Candies->Cookies & Biscuits->Cookies,,3.99,,,,,,,SCC012,SCC012.JPG,,taxable,standard-rate
Pfrean LifeStyl DarkChoc Chr 290g,,,Snacks & Candies->Cookies & Biscuits->Cookies,,3.99,,,,,,,SCC013,SCC013.JPG,,taxable,standard-rate
Pfrean LifeStyl Banana Choc 290g ,,,Snacks & Candies->Cookies & Biscuits->Cookies,,3.99,,,,,,,SCC014,SCC014.JPG,,taxable,standard-rate
Pfrean LifeStyl Peach Yogurt 290g,,,Snacks & Candies->Cookies & Biscuits->Cookies,,3.99,,,,,,,SCC015,SCC015.JPG,,taxable,standard-rate
Pfrean LIfeStyl Buleberry Brown Sugar 350g,,,Snacks & Candies->Cookies & Biscuits->Cookies,,3.99,,,,,,,SCC016,SCC016.JPG,,taxable,standard-rate
Pfrean Fruit Cr??me 350g,,,Snacks & Candies->Cookies & Biscuits->Cookies,,3.99,,,,,,,SCC017,SCC017.JPG,,taxable,standard-rate
Pfrean Nice Biscuits 350g,,,Snacks & Candies->Cookies & Biscuits->Cookies,,3.99,,,,,,,SCC018,SCC018.JPG,,taxable,standard-rate
Pfrean Assorted Cr??me 350g,,,Snacks & Candies->Cookies & Biscuits->Cookies,,3.99,,,,,,,SCC019,SCC019.JPG,,taxable,standard-rate
Pfrean Assorted Tea 350g,,,Snacks & Candies->Cookies & Biscuits->Cookies,,3.99,,,,,,,SCC020,SCC020.JPG,,taxable,standard-rate
Pfrean Family Shortcake 350g,,,Snacks & Candies->Cookies & Biscuits->Cookies,,3.99,,,,,,,SCC021,SCC021.JPG,,taxable,standard-rate
Pfrean Digestive 350g,,,Snacks & Candies->Cookies & Biscuits->Cookies,,3.99,,,,,,,SCC022,SCC022.JPG,,taxable,standard-rate
Pfrean Shortcake 350g,,,Snacks & Candies->Cookies & Biscuits->Cookies,,3.99,,,,,,,SCC023,SCC023.JPG,,taxable,standard-rate
Thnstns Pretzel Choc Cvrd 132g ,,,Snacks & Candies->Cookies & Biscuits->Cookies,,2.89,,,,,,,SCC024,SCC024.JPG,,taxable,standard-rate
Thnstns Chk Ahy Fdg Drz 132g ,,,Snacks & Candies->Cookies & Biscuits->Cookies,,2.89,,,,,,,SCC025,SCC025.JPG,,taxable,standard-rate
Thnstns Oreo Th C 138g,,,Snacks & Candies->Cookies & Biscuits->Cookies,,2.89,,,,,,,SCC026,SCC026.JPG,,taxable,standard-rate
Thnstns Chips Ahoy 138g,,,Snacks & Candies->Cookies & Biscuits->Cookies,,2.89,,,,,,,SCC027,SCC027.JPG,,taxable,standard-rate
Thnstns WF Crml Corn 138g,,,Snacks & Candies->Cookies & Biscuits->Cookies,,2.89,,,,,,,SCC028,SCC028.JPG,,taxable,standard-rate
Thnstns YogPrtz 132g ,,,Snacks & Candies->Cookies & Biscuits->Cookies,,2.89,,,,,,,SCC029,SCC029.JPG,,taxable,standard-rate
BelVita Canbry/Orn 250g,,,Snacks & Candies->Cookies & Biscuits->Cookies,,3.99,,,,,,,SCC030,SCC030.JPG,,taxable,standard-rate
BelVita Ban/Oatmeal/Choc 250g,,,Snacks & Candies->Cookies & Biscuits->Cookies,,3.99,,,,,,,SCC031,SCC031.JPG,,taxable,standard-rate
BelVita Oatmeal Crunch 250g,,,Snacks & Candies->Cookies & Biscuits->Cookies,,3.99,,,,,,,SCC032,SCC032.JPG,,taxable,standard-rate
BelVita Bisc Blu/Bry 250g,,,Snacks & Candies->Cookies & Biscuits->Cookies,,3.99,,,,,,,SCC033,SCC033.JPG,,taxable,standard-rate
Leclerc Cookies Crml Choc 300g,,,Snacks & Candies->Cookies & Biscuits->Cookies,,3.99,,,,,,,SCC034,SCC034.JPG,,taxable,standard-rate
Christie Ahoy Ex Milk Choc&Pnut 182g,,,Snacks & Candies->Cookies & Biscuits->Cookies,,3.49,,,,,,,SCC035,SCC035.JPG,,taxable,standard-rate
