title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Dole Mandarin Orange 107ml 4Pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.69,,,,,,,SDFC001,SDFC001.JPG,,taxable,standard-rate
Dole Frt Bowl Fruit Salad 107ml 4Pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.69,,,,,,,SDFC002,SDFC002.JPG,,taxable,standard-rate
Dole Frt Bowl Tropical Fruit 107ml 4Pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.69,,,,,,,SDFC003,SDFC003.JPG,,taxable,standard-rate
Dole Diced Peach 107ml 4Pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.69,,,,,,,SDFC004,SDFC004.JPG,,taxable,standard-rate
Dole Gel Peach S/B 123g 4Pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.69,,,,,,,SDFC005,SDFC005.JPG,,taxable,standard-rate
Dole Frt Bowl Lots of Chry 107ml 4Pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.69,,,,,,,SDFC006,SDFC006.JPG,,taxable,standard-rate
Dole FrtNCrsp Apple Cinn 226g 2Pk,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,2.99,,,,,,,SDFC007,SDFC007.JPG,,taxable,standard-rate
Dole FrtNCrsp Apple Pear 226g 2Pk,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,2.99,,,,,,,SDFC008,SDFC008.JPG,,taxable,standard-rate
Dole FrtNCrsp Peach 226g 2Pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,2.99,,,,,,,SDFC009,SDFC009.JPG,,taxable,standard-rate
Comp Fruit & Jelly Mand Orange DNO 125ml 4Pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,2.79,,,,,,,SDFC010,SDFC010.JPG,,taxable,standard-rate
Comp Peaches Diced Light Syrup 125ml 4Pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,2.79,,,,,,,SDFC011,SDFC011.JPG,,taxable,standard-rate
Comp Frt Salad Xtra Chry Lt Sy 125ml 4Pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,2.79,,,,,,,SDFC012,SDFC012.JPG,,taxable,standard-rate
Comp Fruit Salad Diced 142ml 4Cans ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,2.99,,,,,,,SDFC013,SDFC013.JPG,,taxable,standard-rate
Comp Pears Diced 142ml 4Cans ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,2.99,,,,,,,SDFC014,SDFC014.JPG,,taxable,standard-rate
Comp Pineapple Diced 142ml 4Cans ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,2.99,,,,,,,SDFC015,SDFC015.JPG,,taxable,standard-rate
Comp Peaches Diced 142ml 4Cans ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,2.99,,,,,,,SDFC016,SDFC016.JPG,,taxable,standard-rate
DelMonte Pch&Mngo 112.5ml 4Pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.49,,,,,,,SDFC017,SDFC017.JPG,,taxable,standard-rate
DelMonte Pch&Mand 112.5ml 4Pk,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.49,,,,,,,SDFC018,SDFC018.JPG,,taxable,standard-rate
DelMonte Orch Pch 112.5ml 4Pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.49,,,,,,,SDFC019,SDFC019.JPG,,taxable,standard-rate
DelMonte Frt Mdly 112.5ml 4Pk,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.49,,,,,,,SDFC020,SDFC020.JPG,,taxable,standard-rate
DelMonte Mandarins 112.5ml 4Pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.49,,,,,,,SDFC021,SDFC021.JPG,,taxable,standard-rate
DelMonte Very chy 112.5ml 4pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.49,,,,,,,SDFC022,SDFC022.JPG,,taxable,standard-rate
DelMonte Fruit Salad 142ml 4Cans ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.49,,,,,,,SDFC023,SDFC023.JPG,,taxable,standard-rate
DelMonte Very Cherry 142ml 4Cans ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.49,,,,,,,SDFC024,SDFC024.JPG,,taxable,standard-rate
DelMonte Diced peach 142ml 4Cans ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.49,,,,,,,SDFC025,SDFC025.JPG,,taxable,standard-rate
Motts FTS Apple Sauce Unswt 90gx4Pk,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,2.79,,,,,,,SDFC026,SDFC026.JPG,,taxable,standard-rate
Motts Sauce Apl S/N Unswt FTS 90gx4Pk,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,2.79,,,,,,,SDFC027,SDFC027.JPG,,taxable,standard-rate
Motts Strawberry Kiwi 111g 6Pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.29,,,,,,,SDFC028,SDFC028.JPG,,taxable,standard-rate
Motts Apple Stwbry 113g 6Pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.29,,,,,,,SDFC029,SDFC029.JPG,,taxable,standard-rate
Motts B/Bry Delight 111g 6pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.29,,,,,,,SDFC030,SDFC030.JPG,,taxable,standard-rate
Motts Frtsatn Ras Chry StrFrt 111g 6Pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.29,,,,,,,SDFC031,SDFC031.JPG,,taxable,standard-rate
Motts Frtsatn Apple 113g 6Pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.29,,,,,,,SDFC032,SDFC032.JPG,,taxable,standard-rate
Motts Unstw Pch Mdly 111g  6Pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.29,,,,,,,SDFC033,SDFC033.JPG,,taxable,standard-rate
Motts Frtsatn Pome Plus 111g 6Pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.29,,,,,,,SDFC034,SDFC034.JPG,,taxable,standard-rate
Motts Unstw Apple 111g 6Pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.29,,,,,,,SDFC035,SDFC035.JPG,,taxable,standard-rate
Motts Country Berry 111g 6Pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.29,,,,,,,SDFC036,SDFC036.JPG,,taxable,standard-rate
Motts AS FTS VG ChryBry Tub 111g 6Pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.29,,,,,,,SDFC037,SDFC037.JPG,,taxable,standard-rate
Motts AS FTS VG Pch Apple Tub 111g 6Pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.29,,,,,,,SDFC038,SDFC038.JPG,,taxable,standard-rate
Comp Ognc Swtnd Apl Snack 113g 6pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,2.79,,,,,,,SDFC039,SDFC039.JPG,,taxable,standard-rate
Comp ognc Uswt Apl Snack 113g 6pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,2.79,,,,,,,SDFC040,SDFC040.JPG,,taxable,standard-rate
Comp Swtnd Apl Snack 113g 6pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,2.39,,,,,,,SDFC041,SDFC041.JPG,,taxable,standard-rate
CompBal Apply Snack 113g 6pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,2.39,,,,,,,SDFC042,SDFC042.JPG,,taxable,standard-rate
Comp Apple Snack Cinnamon 113g 6pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,2.39,,,,,,,SDFC043,SDFC043.JPG,,taxable,standard-rate
Comp Apple S/B Snack 113g 6pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,2.39,,,,,,,SDFC044,SDFC044.JPG,,taxable,standard-rate
Comp Apl Rasbry Snack 113g 6pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,2.39,,,,,,,SDFC045,SDFC045.JPG,,taxable,standard-rate
Dole Jar Sliced Pear 540ml,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.49,,,,,,,SDFC046,SDFC046.JPG,,taxable,standard-rate
Dole Lots of Cherries 540ml ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.49,,,,,,,SDFC047,SDFC047.JPG,,taxable,standard-rate
Dole Sliced Peaches 540ml,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.49,,,,,,,SDFC048,SDFC048.JPG,,taxable,standard-rate
Dole Mandarin Orange 540ml,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.49,,,,,,,SDFC049,SDFC049.JPG,,taxable,standard-rate
DelMonte Mandarins 540ml,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,2.99,,,,,,,SDFC050,SDFC050.JPG,,taxable,standard-rate
DelMonte Fruit Medley 540ml,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,2.99,,,,,,,SDFC051,SDFC051.JPG,,taxable,standard-rate
DelMonte Sliced Peaches 540ml,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,2.99,,,,,,,SDFC052,SDFC052.JPG,,taxable,standard-rate
DelMonte Sliced Pears Jar,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,2.99,,,,,,,SDFC053,SDFC053.JPG,,taxable,standard-rate
DelMonte Very Cherry 540ml ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,2.99,,,,,,,SDFC054,SDFC054.JPG,,taxable,standard-rate
