title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
DelMonte Fruit Strp Ver Cherry 108g,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Snacks,,3.29,,,,,,,SDFS001,SDFS001.JPG,,taxable,standard-rate
DelMonte Fruit Strp Strw&App 108g,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Snacks,,3.29,,,,,,,SDFS002,SDFS002.JPG,,taxable,standard-rate
DelMonte FrtTwt Grp&Ras 108g,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Snacks,,3.29,,,,,,,SDFS003,SDFS003.JPG,,taxable,standard-rate
DelMonte FrtTwt Rasp&B/B 108g,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Snacks,,3.29,,,,,,,SDFS004,SDFS004.JPG,,taxable,standard-rate
Sunkist Fruit Snks Orng Lm S/B 132g,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Snacks,,2.49,,,,,,,SDFS005,SDFS005.JPG,,taxable,standard-rate
Sunkist Fruit Snacks Orng Lm Grp 132g,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Snacks,,2.49,,,,,,,SDFS006,SDFS006.JPG,,taxable,standard-rate
Welchs Fruit Snacks Mixed 300g,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Snacks,,3.79,,,,,,,SDFS007,SDFS007.JPG,,taxable,standard-rate
Welchs Fruit Snacks Berr&Chrr 300g,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Snacks,,3.79,,,,,,,SDFS008,SDFS008.JPG,,taxable,standard-rate
Dare Real Fruit Medley 150g,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Snacks,,3.49,,,,,,,SDFS009,SDFS009.JPG,,taxable,standard-rate
Sunkist Fruit Snacks NSA 216g,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Snacks,,3.79,,,,,,,SDFS010,SDFS010.JPG,,taxable,standard-rate
Comp Clb Pack Dinsr Zoo 612g,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Snacks,,6.49,,,,,,,SDFS011,SDFS011.JPG,,taxable,standard-rate
Comp Dinosaur Fruit Snk 255g,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Snacks,,2.99,,,,,,,SDFS012,SDFS012.JPG,,taxable,standard-rate
Comp Zoo Animal Party 255g,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Snacks,,2.99,,,,,,,SDFS013,SDFS013.JPG,,taxable,standard-rate
3Dees Super Mario Fruit Snack 130g,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Snacks,,2.99,,,,,,,SDFS014,SDFS014.JPG,,taxable,standard-rate
BettyCro Fruit Shapes 226g,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Snacks,,3.29,,,,,,,SDFS015,SDFS015.JPG,,taxable,standard-rate
BettyCro Fruit Snks Dors 226g,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Snacks,,3.29,,,,,,,SDFS016,SDFS016.JPG,,taxable,standard-rate
BettyCro Fruit Shp Scooby Asst 226g,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Snacks,,3.29,,,,,,,SDFS017,SDFS017.JPG,,taxable,standard-rate
BettyCro Frt Shps S/Man Ast Frt 226g,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Snacks,,3.29,,,,,,,SDFS018,SDFS018.JPG,,taxable,standard-rate
BettyCro Frt Shp Disney Frt Snk 226g,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Snacks,,3.29,,,,,,,SDFS019,SDFS019.JPG,,taxable,standard-rate
BettyCro Fruit Snack Assorted 272g,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Snacks,,6.99,,,,,,,SDFS020,SDFS020.JPG,,taxable,standard-rate
Sponge Bob Fruit Snack 130g,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Snacks,,2.99,,,,,,,SDFS021,SDFS021.JPG,,taxable,standard-rate
BettyCro Gushers Grape 138g,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Snacks,,3.39,,,,,,,SDFS022,SDFS022.JPG,,taxable,standard-rate
BettyCro FrtRIIUp Trop 141g,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Snacks,,3.29,,,,,,,SDFS023,SDFS023.JPG,,taxable,standard-rate
BettyCro Fruit Roll Berry 141g,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Snacks,,3.29,,,,,,,SDFS024,SDFS024.JPG,,taxable,standard-rate
BettyCro FBTF Variety Pk 128g,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Snacks,,3.29,,,,,,,SDFS025,SDFS025.JPG,,taxable,standard-rate
