title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
SnackPac Juicy Gel Cherry/Lmn 4Pk ,,,Snacks & Candies->Pudding & Jello->Pudding ,,2.49,,,,,,,SPP001,SPP001.JPG,,taxable,standard-rate
SnackPac Juicy Gel Rasp/Mix 4Pk,,,Snacks & Candies->Pudding & Jello->Pudding ,,2.49,,,,,,,SPP002,SPP002.JPG,,taxable,standard-rate
SnackPac Juicy Gel S/Bry N/S 4Pk ,,,Snacks & Candies->Pudding & Jello->Pudding ,,2.49,,,,,,,SPP003,SPP003.JPG,,taxable,standard-rate
SnackPac Juicy Gel S/B/O N/Sg 4Pk ,,,Snacks & Candies->Pudding & Jello->Pudding ,,2.49,,,,,,,SPP004,SPP004.JPG,,taxable,standard-rate
SnackPac Pudding Choc NSA 4Pk ,,,Snacks & Candies->Pudding & Jello->Pudding ,,2.49,,,,,,,SPP005,SPP005.JPG,,taxable,standard-rate
SnackPac Pudding Choc F/F 4Pk ,,,Snacks & Candies->Pudding & Jello->Pudding ,,2.49,,,,,,,SPP006,SPP006.JPG,,taxable,standard-rate
SnackPac Pudding Chocalate  4Pk ,,,Snacks & Candies->Pudding & Jello->Pudding ,,2.49,,,,,,,SPP007,SPP007.JPG,,taxable,standard-rate
SnackPac Choc Vanilla Swirl 4Pk,,,Snacks & Candies->Pudding & Jello->Pudding ,,2.49,,,,,,,SPP008,SPP008.JPG,,taxable,standard-rate
SnackPac Swirls Choc Caramel 4Pk ,,,Snacks & Candies->Pudding & Jello->Pudding ,,2.49,,,,,,,SPP009,SPP009.JPG,,taxable,standard-rate
SnackPac Pudding Vanilla F/F 4Pk ,,,Snacks & Candies->Pudding & Jello->Pudding ,,2.49,,,,,,,SPP010,SPP010.JPG,,taxable,standard-rate
SnackPac Pudding Van NSA 4Pk,,,Snacks & Candies->Pudding & Jello->Pudding ,,2.49,,,,,,,SPP011,SPP011.JPG,,taxable,standard-rate
SnackPac Pudding Vanilla 4Pk ,,,Snacks & Candies->Pudding & Jello->Pudding ,,2.49,,,,,,,SPP012,SPP012.JPG,,taxable,standard-rate
SnackPac Pudding Lmn Mer Pie 4Pk ,,,Snacks & Candies->Pudding & Jello->Pudding ,,2.49,,,,,,,SPP013,SPP013.JPG,,taxable,standard-rate
SnackPac Pudding Ban Crm Pie 4Pk ,,,Snacks & Candies->Pudding & Jello->Pudding ,,2.49,,,,,,,SPP014,SPP014.JPG,,taxable,standard-rate
SnackPac Pudding Tapioca 4Pk ,,,Snacks & Candies->Pudding & Jello->Pudding ,,2.49,,,,,,,SPP015,SPP015.JPG,,taxable,standard-rate
SnackPac Pudding Choc Fudge 4Pk ,,,Snacks & Candies->Pudding & Jello->Pudding ,,2.49,,,,,,,SPP016,SPP016.JPG,,taxable,standard-rate
SnackPac Pudding Butterscotch 4Pk ,,,Snacks & Candies->Pudding & Jello->Pudding ,,2.49,,,,,,,SPP017,SPP017.JPG,,taxable,standard-rate
Comp Pudding Stwbry/Ban Flav 4Pk ,,,Snacks & Candies->Pudding & Jello->Pudding ,,1.49,,,,,,,SPP018,SPP018.JPG,,taxable,standard-rate
Comp Banana Pudding 4Pk ,,,Snacks & Candies->Pudding & Jello->Pudding ,,1.49,,,,,,,SPP019,SPP019.JPG,,taxable,standard-rate
Comp Pudding Tapioca 4Pk ,,,Snacks & Candies->Pudding & Jello->Pudding ,,1.49,,,,,,,SPP020,SPP020.JPG,,taxable,standard-rate
Comp Pudding Choc 4Pk ,,,Snacks & Candies->Pudding & Jello->Pudding ,,1.49,,,,,,,SPP021,SPP021.JPG,,taxable,standard-rate
Comp Pudding Choc F/F 4Pk ,,,Snacks & Candies->Pudding & Jello->Pudding ,,1.49,,,,,,,SPP022,SPP022.JPG,,taxable,standard-rate
Comp Pudding Vanilla 4Pk ,,,Snacks & Candies->Pudding & Jello->Pudding ,,1.49,,,,,,,SPP023,SPP023.JPG,,taxable,standard-rate
Comp Butterscotch Pudding 4Pk ,,,Snacks & Candies->Pudding & Jello->Pudding ,,1.49,,,,,,,SPP024,SPP024.JPG,,taxable,standard-rate
Comp Pudding Club Pack 12Pk ,,,Snacks & Candies->Pudding & Jello->Pudding ,,3.79,,,,,,,SPP025,SPP025.JPG,,taxable,standard-rate
