title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
So Good Omega Original Soy Milk 1890ml,,,Beverages->Non-Dairy->Non-Daity Brinks,,4.29,,,,,,,BNDNDD001,BNDNDD001.JPG,,taxable,standard-rate
Compliments Balance Original Soy Milk 1890ml,,,Beverages->Non-Dairy->Non-Daity Brinks,,3.49,,,,,,,BNDNDD002,BNDNDD002.JPG,,taxable,standard-rate
Compliments Balance Vanilla Soy Milk 1890ml,,,Beverages->Non-Dairy->Non-Daity Brinks,,3.49,,,,,,,BNDNDD003,BNDNDD003.JPG,,taxable,standard-rate
Silk Organic Unsweetened Soy Milk 1890ml,,,Beverages->Non-Dairy->Non-Daity Brinks,,4.29,,,,,,,BNDNDD004,BNDNDD004.JPG,,taxable,standard-rate
Silk True Coconut Original 1890ml,,,Beverages->Non-Dairy->Non-Daity Brinks,,4.29,,,,,,,BNDNDD005,BNDNDD005.JPG,,taxable,standard-rate
So Nice Organic Soy Milk 1890ml,,,Beverages->Non-Dairy->Non-Daity Brinks,,3.99,,,,,,,BNDNDD006,BNDNDD006.JPG,,taxable,standard-rate
So Good Fat Free Original Soy Milk 1890ml,,,Beverages->Non-Dairy->Non-Daity Brinks,,4.29,,,,,,,BNDNDD007,BNDNDD007.JPG,,taxable,standard-rate
So Good Original Soy Milk 1890ml,,,Beverages->Non-Dairy->Non-Daity Brinks,,4.29,,,,,,,BNDNDD008,BNDNDD008.JPG,,taxable,standard-rate
Earth's Own Almonds + Dairy Vanilla 1750ml,,,Beverages->Non-Dairy->Non-Daity Brinks,,4.99,,,,,,,BNDNDD009,BNDNDD009.JPG,,taxable,standard-rate
Silk Light Orignal Soy Milk 1890ml,,,Beverages->Non-Dairy->Non-Daity Brinks,,4.29,,,,,,,BNDNDD010,BNDNDD010.JPG,,taxable,standard-rate
Silk Chocolate Soy Milk 1890ml,,,Beverages->Non-Dairy->Non-Daity Brinks,,4.29,,,,,,,BNDNDD011,BNDNDD011.JPG,,taxable,standard-rate
So Nice Organic Vanilla Soy Milk 1890ml,,,Beverages->Non-Dairy->Non-Daity Brinks,,3.99,,,,,,,BNDNDD012,BNDNDD012.JPG,,taxable,standard-rate
So Good Vanilla Soy Milk 1890ml,,,Beverages->Non-Dairy->Non-Daity Brinks,,4.29,,,,,,,BNDNDD013,BNDNDD013.JPG,,taxable,standard-rate
Silk Vanilla Organic Soy Milk 1890ml,,,Beverages->Non-Dairy->Non-Daity Brinks,,4.29,,,,,,,BNDNDD014,BNDNDD014.JPG,,taxable,standard-rate
Earth's Own Almond + Dairy Original 1750ml,,,Beverages->Non-Dairy->Non-Daity Brinks,,4.99,,,,,,,BNDNDD015,BNDNDD015.JPG,,taxable,standard-rate
Silk True Almond Original Unsweetened 1890ml,,,Beverages->Non-Dairy->Non-Daity Brinks,,4.29,,,,,,,BNDNDD016,BNDNDD016.JPG,,taxable,standard-rate
Silk Organic Original Soy Milk 1890ml,,,Beverages->Non-Dairy->Non-Daity Brinks,,4.29,,,,,,,BNDNDD017,BNDNDD017.JPG,,taxable,standard-rate
So Good Light Vanilla Soy Milk 1890ml,,,Beverages->Non-Dairy->Non-Daity Brinks,,4.29,,,,,,,BNDNDD018,BNDNDD018.JPG,,taxable,standard-rate
So Good Chocolate Soy Milk 1890ml,,,Beverages->Non-Dairy->Non-Daity Brinks,,4.29,,,,,,,BNDNDD019,BNDNDD019.JPG,,taxable,standard-rate
Silk True Almond Dark Chocolate 1890ml,,,Beverages->Non-Dairy->Non-Daity Brinks,,4.29,,,,,,,BNDNDD020,BNDNDD020.JPG,,taxable,standard-rate
Silk True Almond Unsweetened Vanilla  1890ml,,,Beverages->Non-Dairy->Non-Daity Brinks,,4.29,,,,,,,BNDNDD021,BNDNDD021.JPG,,taxable,standard-rate
Silk True Almond Vanilla 1890ml,,,Beverages->Non-Dairy->Non-Daity Brinks,,4.29,,,,,,,BNDNDD022,BNDNDD022.JPG,,taxable,standard-rate
Rice Dream Enriched Vanilla 1890ml,,,Beverages->Non-Dairy->Non-Daity Brinks,,4.49,,,,,,,BNDNDD023,BNDNDD023.JPG,,taxable,standard-rate
Rice Dream Enriched original 1890ml,,,Beverages->Non-Dairy->Non-Daity Brinks,,4.49,,,,,,,BNDNDD024,BNDNDD024.JPG,,taxable,standard-rate
Earth's Own Whole Grain Brown Rice 1890ml,,,Beverages->Non-Dairy->Non-Daity Brinks,,4.29,,,,,,,BNDNDD025,BNDNDD025.JPG,,taxable,standard-rate
Earth's Own Almond Vanilla Fresh 1890ml,,,Beverages->Non-Dairy->Non-Daity Brinks,,4.29,,,,,,,BNDNDD026,BNDNDD026.JPG,,taxable,standard-rate
Earth's Own Almond Unsweetened 1890ml,,,Beverages->Non-Dairy->Non-Daity Brinks,,4.29,,,,,,,BNDNDD027,BNDNDD027.JPG,,taxable,standard-rate
Earth's Own Almond Original 1890ml,,,Beverages->Non-Dairy->Non-Daity Brinks,,4.29,,,,,,,BNDNDD028,BNDNDD028.JPG,,taxable,standard-rate
Silk True Almond Smooth 1890ml,,,Beverages->Non-Dairy->Non-Daity Brinks,,4.29,,,,,,,BNDNDD029,BNDNDD029.JPG,,taxable,standard-rate
