title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Compliments Sparkling Water Lime 1L,,,Beverages->Water->Sparkling Water,,1.49,,,,,,,BWSPW001,BWSPW001.JPG,,taxable,standard-rate
Compliments Sparkling Water Peach 1L ,,,Beverages->Water->Sparkling Water,,1.49,,,,,,,BWSPW002,BWSPW002.JPG,,taxable,standard-rate
Compliments Sparkling Water Diet Raspberry 1L,,,Beverages->Water->Sparkling Water,,1.49,,,,,,,BWSPW003,BWSPW003.JPG,,taxable,standard-rate
Compliments Sparkling Water Diet Tangerine Lime 1L,,,Beverages->Water->Sparkling Water,,1.49,,,,,,,BWSPW004,BWSPW004.JPG,,taxable,standard-rate
Compliments Sparkling Water Diet Peach 1L,,,Beverages->Water->Sparkling Water,,1.49,,,,,,,BWSPW005,BWSPW005.JPG,,taxable,standard-rate
Compliments Sparkling Water Diet Cherry 1L ,,,Beverages->Water->Sparkling Water,,1.49,,,,,,,BWSPW006,BWSPW006.JPG,,taxable,standard-rate
Nestle Sparkling Water Lemon 1L,,,Beverages->Water->Sparkling Water,,1.29,,,,,,,BWSPW007,BWSPW007.JPG,,taxable,standard-rate
Nestle Sparkling Water Original 1L ,,,Beverages->Water->Sparkling Water,,1.29,,,,,,,BWSPW008,BWSPW008.JPG,,taxable,standard-rate
Nestle Sparkling Water Lime 1L,,,Beverages->Water->Sparkling Water,,1.29,,,,,,,BWSPW009,BWSPW009.JPG,,taxable,standard-rate
Nestle Sparkling Water Original 500ml 6Pk ,,,Beverages->Water->Sparkling Water,,4.49,,,,,,,BWSPW010,BWSPW010.JPG,,taxable,standard-rate
Nestle Sparking Water Lemon 500ml 6Pk ,,,Beverages->Water->Sparkling Water,,4.49,,,,,,,BWSPW011,BWSPW011.JPG,,taxable,standard-rate
Perrier Carbonated Natural Spring Water 1L,,,Beverages->Water->Sparkling Water,,1.89,,,,,,,BWSPW012,BWSPW012.JPG,,taxable,standard-rate
Perrier Carbonated Natural Spring Water 750ml ,,,Beverages->Water->Sparkling Water,,1.99,,,,,,,BWSPW013,BWSPW013.JPG,,taxable,standard-rate
Perrier Carbonated Water Lemon 750ml,,,Beverages->Water->Sparkling Water,,1.99,,,,,,,BWSPW014,BWSPW014.JPG,,taxable,standard-rate
Perrier Carbonated Water Pink Grapefruit 750ml,,,Beverages->Water->Sparkling Water,,1.99,,,,,,,BWSPW015,BWSPW015.JPG,,taxable,standard-rate
Perrier Carbonated Water Lime 750ml,,,Beverages->Water->Sparkling Water,,1.99,,,,,,,BWSPW016,BWSPW016.JPG,,taxable,standard-rate
Perrier Carbonated Spring Water 330ml 4Pk ,,,Beverages->Water->Sparkling Water,,4.29,,,,,,,BWSPW017,BWSPW017.JPG,,taxable,standard-rate
Perrier Carbonated Spring Water Lime 250ml 10Pk ,,,Beverages->Water->Sparkling Water,,6.99,,,,,,,BWSPW018,BWSPW018.JPG,,taxable,standard-rate
Perrier Carbonated Spring Water Pink Grapefruit 250ml 10pk ,,,Beverages->Water->Sparkling Water,,6.99,,,,,,,BWSPW019,BWSPW019.JPG,,taxable,standard-rate
Sensations Carbonated Spring Water 750ml,,,Beverages->Water->Sparkling Water,,1.59,,,,,,,BWSPW021,BWSPW021.JPG,,taxable,standard-rate
Sensations Carbonated Spring Water lemon 750ml,,,Beverages->Water->Sparkling Water,,1.59,,,,,,,BWSPW022,BWSPW022.JPG,,taxable,standard-rate
Sensations Carbonated Spring Water Lime 750ml,,,Beverages->Water->Sparkling Water,,1.59,,,,,,,BWSPW023,BWSPW023.JPG,,taxable,standard-rate
