title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Sprite 2L,,,Beverages->Soft Drink->Sprite & Canada Dry,,2.79,,,,,,,BSDSCD001,BSDSCD001.JPG,,taxable,standard-rate
Sprite Zero 2L,,,Beverages->Soft Drink->Sprite & Canada Dry,,2.79,,,,,,,BSDSCD002,BSDSCD002.JPG,,taxable,standard-rate
Canada Dry Club Soda 2L,,,Beverages->Soft Drink->Sprite & Canada Dry,,2.79,,,,,,,BSDSCD003,BSDSCD003.JPG,,taxable,standard-rate
Canada Dry Ginger Ale Diet 2L,,,Beverages->Soft Drink->Sprite & Canada Dry,,2.79,,,,,,,BSDSCD004,BSDSCD004.JPG,,taxable,standard-rate
Canada Dry Ginger Ale 2L,,,Beverages->Soft Drink->Sprite & Canada Dry,,2.79,,,,,,,BSDSCD005,BSDSCD005.JPG,,taxable,standard-rate
Sprite 237ML 6pk,,,Beverages->Soft Drink->Sprite & Canada Dry,,5.49,,,,,,,BSDSCD006,BSDSCD006.JPG,,taxable,standard-rate
Canada Dry Ginger Ale 237ML 6pk,,,Beverages->Soft Drink->Sprite & Canada Dry,,5.49,,,,,,,BSDSCD007,BSDSCD007.JPG,,taxable,standard-rate
Sprite 710ML 6pk,,,Beverages->Soft Drink->Sprite & Canada Dry,,5.79,,,,,,,BSDSCD008,BSDSCD008.JPG,,taxable,standard-rate
Canada Dry Ginger Ale 710ML 6pk,,,Beverages->Soft Drink->Sprite & Canada Dry,,5.79,,,,,,,BSDSCD009,BSDSCD009.JPG,,taxable,standard-rate
Sprite 222ML Mini Sleek Can 6pk,,,Beverages->Soft Drink->Sprite & Canada Dry,,3.79,,,,,,,BSDSCD010,BSDSCD010.JPG,,taxable,standard-rate
Canada Dry 222ML Mini Sleek Can 6pk,,,Beverages->Soft Drink->Sprite & Canada Dry,,3.79,,,,,,,BSDSCD011,BSDSCD011.JPG,,taxable,standard-rate
Sprite 355ML 12pk,,,Beverages->Soft Drink->Sprite & Canada Dry,,6.59,,,,,,,BSDSCD012,BSDSCD012.JPG,,taxable,standard-rate
Sprite Zero 355ML 12pk,,,Beverages->Soft Drink->Sprite & Canada Dry,,6.59,,,,,,,BSDSCD013,BSDSCD013.JPG,,taxable,standard-rate
Canada Dry Club Soda 355ML 12pk,,,Beverages->Soft Drink->Sprite & Canada Dry,,6.59,,,,,,,BSDSCD014,BSDSCD014.JPG,,taxable,standard-rate
Canada Dry Ginger Ale Diet 355ML 12pk,,,Beverages->Soft Drink->Sprite & Canada Dry,,6.59,,,,,,,BSDSCD015,BSDSCD015.JPG,,taxable,standard-rate
Canada Dry Ginger Ale 355ML 12pk,,,Beverages->Soft Drink->Sprite & Canada Dry,,6.59,,,,,,,BSDSCD016,BSDSCD016.JPG,,taxable,standard-rate
