title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Nestea Iced Tea Cool 2L,,,Beverages->Soft Drink->Tea Beverage,,2.79,,,,,,,BSDTB001,BSDTB001.JPG,,taxable,standard-rate
Nestea Zero Citrus Green Tea 12pk,,,Beverages->Soft Drink->Tea Beverage,,7.49,,,,,,,BSDTB002,BSDTB002.JPG,,taxable,standard-rate
Nestea Green Tea Lemon 12pk,,,Beverages->Soft Drink->Tea Beverage,,7.49,,,,,,,BSDTB003,BSDTB003.JPG,,taxable,standard-rate
Nestea Zero Iced Tea 341ML 12pk,,,Beverages->Soft Drink->Tea Beverage,,7.49,,,,,,,BSDTB004,BSDTB004.JPG,,taxable,standard-rate
Nestea Iced Tea Lemon 12pk,,,Beverages->Soft Drink->Tea Beverage,,7.49,,,,,,,BSDTB005,BSDTB005.JPG,,taxable,standard-rate
Lipton Brisk Iced Tea Lemon 2L,,,Beverages->Soft Drink->Tea Beverage,,2.79,,,,,,,BSDTB006,BSDTB006.JPG,,taxable,standard-rate
Lipton Brisk Lemonade 12pk,,,Beverages->Soft Drink->Tea Beverage,,6.59,,,,,,,BSDTB007,BSDTB007.JPG,,taxable,standard-rate
Lipton Brisk Iced Tea Lemon 12pk,,,Beverages->Soft Drink->Tea Beverage,,6.59,,,,,,,BSDTB008,BSDTB008.JPG,,taxable,standard-rate
Lipton Brisk Iced Tea Raspberry 12pk,,,Beverages->Soft Drink->Tea Beverage,,6.59,,,,,,,BSDTB009,BSDTB009.JPG,,taxable,standard-rate
Lipton Brisk Fruit Punch 12pk,,,Beverages->Soft Drink->Tea Beverage,,6.59,,,,,,,BSDTB010,BSDTB010.JPG,,taxable,standard-rate
Lipton Green Tea Diet 355ML 12pk,,,Beverages->Soft Drink->Tea Beverage,,7.69,,,,,,,BSDTB011,BSDTB011.JPG,,taxable,standard-rate
Lipton Green Tea Citrus 355ML 12pk,,,Beverages->Soft Drink->Tea Beverage,,8.29,,,,,,,BSDTB012,BSDTB012.JPG,,taxable,standard-rate
Lipton Iced Tea Lemon 355ML 12pk,,,Beverages->Soft Drink->Tea Beverage,,7.69,,,,,,,BSDTB013,BSDTB013.JPG,,taxable,standard-rate
Lipton Iced Tea Lemon Diet 355ML 12pk,,,Beverages->Soft Drink->Tea Beverage,,7.69,,,,,,,BSDTB014,BSDTB014.JPG,,taxable,standard-rate
Arizona Green Tea 695ml,,,Beverages->Soft Drink->Tea Beverage,,0.99,,,,,,,BSDTB015,BSDTB015.JPG,,taxable,standard-rate
Arizona Iced Tea Lemon 695ml,,,Beverages->Soft Drink->Tea Beverage,,0.99,,,,,,,BSDTB016,BSDTB016.JPG,,taxable,standard-rate
Arizona Iced Tea Raspberry 695ml,,,Beverages->Soft Drink->Tea Beverage,,0.99,,,,,,,BSDTB017,BSDTB017.JPG,,taxable,standard-rate
Arizona Drink Fruit Punch 695ml,,,Beverages->Soft Drink->Tea Beverage,,0.99,,,,,,,BSDTB018,BSDTB018.JPG,,taxable,standard-rate
Arizona Green Tea Blueberry 591ML,,,Beverages->Soft Drink->Tea Beverage,,2.79,,,,,,,BSDTB019,BSDTB019.JPG,,taxable,standard-rate
Arizona Green Tea Pomegranate 591ML,,,Beverages->Soft Drink->Tea Beverage,,2.79,,,,,,,BSDTB020,BSDTB020.JPG,,taxable,standard-rate
Arizona Iced Tea 591ML,,,Beverages->Soft Drink->Tea Beverage,,2.79,,,,,,,BSDTB021,BSDTB021.JPG,,taxable,standard-rate
