title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Crest 3D White Radiant Mint 165ml,,,Home & Lifestyle->Oral Care->Tooth Paste,,4.99,,,,,,,HLOCTP001,HLOCTP001.JPG,,taxable,standard-rate
Crest 3D White Radiant Mint 85ml,,,Home & Lifestyle->Oral Care->Tooth Paste,,2.79,,,,,,,HLOCTP002,HLOCTP002.JPG,,taxable,standard-rate
Crest Pro-Health Clinical Gum Protection 115ml,,,Home & Lifestyle->Oral Care->Tooth Paste,,4.99,,,,,,,HLOCTP003,HLOCTP003.JPG,,taxable,standard-rate
Crest Pro-Health Clinical Plaque Control 78ml,,,Home & Lifestyle->Oral Care->Tooth Paste,,3.29,,,,,,,HLOCTP004,HLOCTP004.JPG,,taxable,standard-rate
Crest 3D White Luxe Glamorous White 85ml,,,Home & Lifestyle->Oral Care->Tooth Paste,,4.79,,,,,,,HLOCTP005,HLOCTP005.JPG,,taxable,standard-rate
Crest Paste Pro-Health Clean Mint 170ml,,,Home & Lifestyle->Oral Care->Tooth Paste,,4.99,,,,,,,HLOCTP006,HLOCTP006.JPG,,taxable,standard-rate
Crest Pro-Health Clean Mint 85ml,,,Home & Lifestyle->Oral Care->Tooth Paste,,2.49,,,,,,,HLOCTP007,HLOCTP007.JPG,,taxable,standard-rate
Arm&Harmmer Pro Sensitive Whitening 120ml,,,Home & Lifestyle->Oral Care->Tooth Paste,,3.49,,,,,,,HLOCTP008,HLOCTP008.JPG,,taxable,standard-rate
Crest Pro-Health Whitening Clean Mint 85ml,,,Home & Lifestyle->Oral Care->Tooth Paste,,2.79,,,,,,,HLOCTP010,HLOCTP010.JPG,,taxable,standard-rate
Sensodyne Repair & Protect 75ml,,,Home & Lifestyle->Oral Care->Tooth Paste,,6.99,,,,,,,HLOCTP012,HLOCTP012.JPG,,taxable,standard-rate
Sensodyne Repair & Protect Extra 75ml,,,Home & Lifestyle->Oral Care->Tooth Paste,,6.99,,,,,,,HLOCTP013,HLOCTP013.JPG,,taxable,standard-rate
Sensodyne Rapid Relief 75ml,,,Home & Lifestyle->Oral Care->Tooth Paste,,4.99,,,,,,,HLOCTP014,HLOCTP014.JPG,,taxable,standard-rate
Colgate Sensitive Pro Relief Multi-Protection 75ml,,,Home & Lifestyle->Oral Care->Tooth Paste,,4.99,,,,,,,HLOCTP015,HLOCTP015.JPG,,taxable,standard-rate
Colgate Sensitive Pro Relief Whitening 120ml,,,Home & Lifestyle->Oral Care->Tooth Paste,,5.99,,,,,,,HLOCTP016,HLOCTP016.JPG,,taxable,standard-rate
Colgate Optic White Cool Mint 85ml,,,Home & Lifestyle->Oral Care->Tooth Paste,,3.29,,,,,,,HLOCTP019,HLOCTP019.JPG,,taxable,standard-rate
Crest Complete Scope Whitening Cool Peppermint 130ml,,,Home & Lifestyle->Oral Care->Tooth Paste,,3.29,,,,,,,HLOCTP020,HLOCTP020.JPG,,taxable,standard-rate
Crest Complete Scope Outlast Extra White Mint 130ml,,,Home & Lifestyle->Oral Care->Tooth Paste,,2.99,,,,,,,HLOCTP021,HLOCTP021.JPG,,taxable,standard-rate
Crest Pro-Health Clinical Gum Protection Clean Mint 115ml,,,Home & Lifestyle->Oral Care->Tooth Paste,,4.99,,,,,,,HLOCTP023,HLOCTP023.JPG,,taxable,standard-rate
Crest Complete Scope Whitening Mint 130ml,,,Home & Lifestyle->Oral Care->Tooth Paste,,3.29,,,,,,,HLOCTP024,HLOCTP024.JPG,,taxable,standard-rate
Crest Complete Whitening Herbal Mint 125ml,,,Home & Lifestyle->Oral Care->Tooth Paste,,3.29,,,,,,,HLOCTP025,HLOCTP025.JPG,,taxable,standard-rate
Crest Complete Whitening Cinnamon 125ml,,,Home & Lifestyle->Oral Care->Tooth Paste,,2.99,,,,,,,HLOCTP026,HLOCTP026.JPG,,taxable,standard-rate
Arm&Hammer Advance White Extreme Whitening Mint 120ml,,,Home & Lifestyle->Oral Care->Tooth Paste,,3.99,,,,,,,HLOCTP027,HLOCTP027.JPG,,taxable,standard-rate
Arm&Hammer Advance White Extra Whitening 3in1 Power Mint 120ml,,,Home & Lifestyle->Oral Care->Tooth Paste,,3.49,,,,,,,HLOCTP028,HLOCTP028.JPG,,taxable,standard-rate
Sensodyne Fresh Mint 100ml,,,Home & Lifestyle->Oral Care->Tooth Paste,,4.99,,,,,,,HLOCTP029,HLOCTP029.JPG,,taxable,standard-rate
Sensodyne Whitening Value Size 135ml,,,Home & Lifestyle->Oral Care->Tooth Paste,,5.99,,,,,,,HLOCTP030,HLOCTP030.JPG,,taxable,standard-rate
Sensodyne Whitening 100ml,,,Home & Lifestyle->Oral Care->Tooth Paste,,4.99,,,,,,,HLOCTP031,HLOCTP031.JPG,,taxable,standard-rate
Sensodyne Cool Mint Gel 100ml,,,Home & Lifestyle->Oral Care->Tooth Paste,,4.99,,,,,,,HLOCTP032,HLOCTP032.JPG,,taxable,standard-rate
Colgate Sensitive Original 90ml,,,Home & Lifestyle->Oral Care->Tooth Paste,,4.49,,,,,,,HLOCTP033,HLOCTP033.JPG,,taxable,standard-rate
Colgate Sensitive EnameProtect 85ml,,,Home & Lifestyle->Oral Care->Tooth Paste,,4.49,,,,,,,HLOCTP034,HLOCTP034.JPG,,taxable,standard-rate
Colgate Optic White Sparkling Mint 85ml,,,Home & Lifestyle->Oral Care->Tooth Paste,,3.29,,,,,,,HLOCTP035,HLOCTP035.JPG,,taxable,standard-rate
Colgate Total Clean Mint 130ml,,,Home & Lifestyle->Oral Care->Tooth Paste,,2.79,,,,,,,HLOCTP036,HLOCTP036.JPG,,taxable,standard-rate
Colgate Total Clean Mint 85ml,,,Home & Lifestyle->Oral Care->Tooth Paste,,2.29,,,,,,,HLOCTP037,HLOCTP037.JPG,,taxable,standard-rate
Colgate Total Whitening Gel 130ml,,,Home & Lifestyle->Oral Care->Tooth Paste,,2.79,,,,,,,HLOCTP038,HLOCTP038.JPG,,taxable,standard-rate
Crest Tartar Protection Mint 130ml,,,Home & Lifestyle->Oral Care->Tooth Paste,,2.79,,,,,,,HLOCTP039,HLOCTP039.JPG,,taxable,standard-rate
Crest Cavity Protection Regular 170ml,,,Home & Lifestyle->Oral Care->Tooth Paste,,2.99,,,,,,,HLOCTP041,HLOCTP041.JPG,,taxable,standard-rate
Crest Cavity Protection Regular 130ml,,,Home & Lifestyle->Oral Care->Tooth Paste,,2.79,,,,,,,HLOCTP043,HLOCTP043.JPG,,taxable,standard-rate
Sensodyne Fresh Mint Value Size 135ml,,,Home & Lifestyle->Oral Care->Tooth Paste,,5.99,,,,,,,HLOCTP044,HLOCTP044.JPG,,taxable,standard-rate
Sensodyne Brilliant Whitening 100ml,,,Home & Lifestyle->Oral Care->Tooth Paste,,4.99,,,,,,,HLOCTP045,HLOCTP045.JPG,,taxable,standard-rate
Sensodyne Ultra Fresh 100ml,,,Home & Lifestyle->Oral Care->Tooth Paste,,4.99,,,,,,,HLOCTP046,HLOCTP046.JPG,,taxable,standard-rate
Colgate MaxFresh With Whitening Mint 130ml,,,Home & Lifestyle->Oral Care->Tooth Paste,,2.79,,,,,,,HLOCTP047,HLOCTP047.JPG,,taxable,standard-rate
Colgate Cavity Protection regular 170ml,,,Home & Lifestyle->Oral Care->Tooth Paste,,3.49,,,,,,,HLOCTP048,HLOCTP048.JPG,,taxable,standard-rate
Colgate Cavity Protection Regular 100ml,,,Home & Lifestyle->Oral Care->Tooth Paste,,1.79,,,,,,,HLOCTP049,HLOCTP049.JPG,,taxable,standard-rate
Colgate Cavity Protection Winter Fresh 100ml,,,Home & Lifestyle->Oral Care->Tooth Paste,,1.79,,,,,,,HLOCTP050,HLOCTP050.JPG,,taxable,standard-rate
Sensodyne Multi-Action Plus Whitening 100ml,,,Home & Lifestyle->Oral Care->Tooth Paste,,4.99,,,,,,,HLOCTP051,HLOCTP051.JPG,,taxable,standard-rate
Sensodyne Pro Namel Gentle Whitening Value Size 110ml,,,Home & Lifestyle->Oral Care->Tooth Paste,,6.99,,,,,,,HLOCTP052,HLOCTP052.JPG,,taxable,standard-rate
Sensodyne Pro Namel Fresh Wave Value Size 110ml,,,Home & Lifestyle->Oral Care->Tooth Paste,,5.99,,,,,,,HLOCTP053,HLOCTP053.JPG,,taxable,standard-rate
Sensodyne Pro Namel For Children 75ml,,,Home & Lifestyle->Oral Care->Tooth Paste,,4.99,,,,,,,HLOCTP054,HLOCTP054.JPG,,taxable,standard-rate
Sensodyne Pro Namel Fresh Wave 75ml,,,Home & Lifestyle->Oral Care->Tooth Paste,,4.99,,,,,,,HLOCTP055,HLOCTP055.JPG,,taxable,standard-rate
Sensodyne Pro Namel Gentle Whitening 75ml,,,Home & Lifestyle->Oral Care->Tooth Paste,,4.99,,,,,,,HLOCTP056,HLOCTP056.JPG,,taxable,standard-rate
