title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Tostitos Scoops 320g ,,,Snacks & Candies->Chips & Popcorn->Tostitos ,,4.79,,,,,,,SCT001,SCT001.JPG,,taxable ,standard-rate
Tostitos Bite Size Rounds 420g ,,,Snacks & Candies->Chips & Popcorn->Tostitos ,,4.79,,,,,,,SCT002,SCT002.JPG,,taxable ,standard-rate
Tostitos Restaurant Style 380g ,,,Snacks & Candies->Chips & Popcorn->Tostitos ,,4.79,,,,,,,SCT003,SCT003.JPG,,taxable ,standard-rate
Tostitos Multigrain 380g ,,,Snacks & Candies->Chips & Popcorn->Tostitos ,,4.79,,,,,,,SCT004,SCT004.JPG,,taxable ,standard-rate
Tostitos Scoops 230g ,,,Snacks & Candies->Chips & Popcorn->Tostitos ,,3.99,,,,,,,SCT005,SCT005.JPG,,taxable ,standard-rate
Tostitos Multigrain Scoops 220g ,,,Snacks & Candies->Chips & Popcorn->Tostitos ,,3.99,,,,,,,SCT006,SCT006.JPG,,taxable ,standard-rate
Tostitos Bite Size Rounds 320g ,,,Snacks & Candies->Chips & Popcorn->Tostitos ,,3.99,,,,,,,SCT007,SCT007.JPG,,taxable ,standard-rate
Tostitos Multigrain Rounds ,,,Snacks & Candies->Chips & Popcorn->Tostitos ,,3.99,,,,,,,SCT008,SCT008.JPG,,taxable ,standard-rate
Tostitos Restaurant Style 220g ,,,Snacks & Candies->Chips & Popcorn->Tostitos ,,3.99,,,,,,,SCT009,SCT009.JPG,,taxable ,standard-rate
Tostitos Hint of Lime 300g ,,,Snacks & Candies->Chips & Popcorn->Tostitos ,,3.88,,,,,,,SCT010,SCT010.JPG,,taxable ,standard-rate
Tostitos Low sodium 320g ,,,Snacks & Candies->Chips & Popcorn->Tostitos ,,3.88,,,,,,,SCT011,SCT011.JPG,,taxable ,standard-rate
Tostitos Cantina Extra Thin 220g ,,,Snacks & Candies->Chips & Popcorn->Tostitos ,,3.99,,,,,,,SCT012,SCT012.JPG,,taxable ,standard-rate
Tostitos Artsn Rstd Grlc&BlkBn 275g ,,,Snacks & Candies->Chips & Popcorn->Tostitos ,,3.99,,,,,,,SCT013,SCT013.JPG,,taxable ,standard-rate
Tostitos Artisan Red Peper & Tomato Salsa 275g ,,,Snacks & Candies->Chips & Popcorn->Tostitos ,,3.69,,,,,,,SCT014,SCT014.JPG,,taxable ,standard-rate
Tostitos Chips Blue Corn Organic 249g ,,,Snacks & Candies->Chips & Popcorn->Tostitos ,,3.99,,,,,,,SCT015,SCT015.JPG,,taxable ,standard-rate
Tostitos Chips Yellow Corn 240g ,,,Snacks & Candies->Chips & Popcorn->Tostitos ,,3.99,,,,,,,SCT016,SCT016.JPG,,taxable ,standard-rate
