title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Tray Corn 5Pk ,,,Produce->Fruits_Vegetables->Vegetables,,4.49,,,,,,,PFVV001,PFVV001.JPG,,taxable,standard-rate
Tomatoes on Vine 0.3lb/Each,,,Produce->Fruits_Vegetables->Vegetables,,0.6,,,,,,,PFVV002,PFVV002.JPG,,taxable,standard-rate
Roma Tomatoes 0.3lb/Each ,,,Produce->Fruits_Vegetables->Vegetables,,0.6,,,,,,,PFVV003,PFVV003.JPG,,taxable,standard-rate
Tomatoes 0.5lb/Each,,,Produce->Fruits_Vegetables->Vegetables,,1,,,,,,,PFVV004,PFVV004.JPG,,taxable,standard-rate
Seedless Cucumbers 0.9lb/Each,,,Produce->Fruits_Vegetables->Vegetables,,1.99,,,,,,,PFVV005,PFVV005.JPG,,taxable,standard-rate
White Potatoes 0.4lb/Each,,,Produce->Fruits_Vegetables->Vegetables,,0.8,,,,,,,PFVV006,PFVV006.JPG,,taxable,standard-rate
Red Potatoes 0.4lb/Each,,,Produce->Fruits_Vegetables->Vegetables,,0.8,,,,,,,PFVV007,PFVV007.JPG,,taxable,standard-rate
Resset Potatoes 0.8lb/Each,,,Produce->Fruits_Vegetables->Vegetables,,1.2,,,,,,,PFVV008,PFVV008.JPG,,taxable,standard-rate
Mini Patatoes Bags 5lb/Pack,,,Produce->Fruits_Vegetables->Vegetables,,4.99,,,,,,,PFVV009,PFVV009.JPG,,taxable,standard-rate
Sweet Potatoes 0.4lb/Each,,,Produce->Fruits_Vegetables->Vegetables,,0.75,,,,,,,PFVV010,PFVV010.JPG,,taxable,standard-rate
Vidalia Onions 1.2lb/Each,,,Produce->Fruits_Vegetables->Vegetables,,2,,,,,,,PFVV011,PFVV011.JPG,,taxable,standard-rate
White Onions 0.7lb/Each,,,Produce->Fruits_Vegetables->Vegetables,,1.4,,,,,,,PFVV012,PFVV012.JPG,,taxable,standard-rate
Red Onions 0.5lb/Each ,,,Produce->Fruits_Vegetables->Vegetables,,1.25,,,,,,,PFVV013,PFVV013.JPG,,taxable,standard-rate
Spanish Onions 1.3lb/Each,,,Produce->Fruits_Vegetables->Vegetables,,1.7,,,,,,,PFVV014,PFVV014.JPG,,taxable,standard-rate
Garlic 5Pk ,,,Produce->Fruits_Vegetables->Vegetables,,0.99,,,,,,,PFVV015,PFVV015.JPG,,taxable,standard-rate
Ginger Root 0.6lb/Each,,,Produce->Fruits_Vegetables->Vegetables,,0.9,,,,,,,PFVV016,PFVV016.JPG,,taxable,standard-rate
Spaghetti Squash 2.5lb/Each,,,Produce->Fruits_Vegetables->Vegetables,,4.25,,,,,,,PFVV017,PFVV017.JPG,,taxable,standard-rate
Buttercup Squash 3lb/Each,,,Produce->Fruits_Vegetables->Vegetables,,5,,,,,,,PFVV018,PFVV018.JPG,,taxable,standard-rate
Butternut Squash 3lb/Each,,,Produce->Fruits_Vegetables->Vegetables,,5,,,,,,,PFVV019,PFVV019.JPG,,taxable,standard-rate
Acorn Squash 2lb/Each,,,Produce->Fruits_Vegetables->Vegetables,,3.5,,,,,,,PFVV020,PFVV020.JPG,,taxable,standard-rate
New White Potatoes Bags 10lb/Pack,,,Produce->Fruits_Vegetables->Vegetables,,6.99,,,,,,,PFVV021,PFVV021.JPG,,taxable,standard-rate
White Potatoes Bags 10lb/Pack ,,,Produce->Fruits_Vegetables->Vegetables,,3.99,,,,,,,PFVV022,PFVV022.JPG,,taxable,standard-rate
Green Leaf Lettuce 0.7lb/Each,,,Produce->Fruits_Vegetables->Vegetables,,1.49,,,,,,,PFVV023,PFVV023.JPG,,taxable,standard-rate
Red Leaf Lettuce 0.7lb/Each ,,,Produce->Fruits_Vegetables->Vegetables,,1.49,,,,,,,PFVV024,PFVV024.JPG,,taxable,standard-rate
Romaine Lettuce 1lb/Each,,,Produce->Fruits_Vegetables->Vegetables,,1.49,,,,,,,PFVV025,PFVV025.JPG,,taxable,standard-rate
Celery 1.8lb/Each,,,Produce->Fruits_Vegetables->Vegetables,,2.99,,,,,,,PFVV026,PFVV026.JPG,,taxable,standard-rate
Green Onions 0.2lb/Each,,,Produce->Fruits_Vegetables->Vegetables,,0.79,,,,,,,PFVV027,PFVV027.JPG,,taxable,standard-rate
Green Asparagus 1lb/Each,,,Produce->Fruits_Vegetables->Vegetables,,4.99,,,,,,,PFVV028,PFVV028.JPG,,taxable,standard-rate
Rainbow Peppers 3Pk,,,Produce->Fruits_Vegetables->Vegetables,,5.99,,,,,,,PFVV029,PFVV029.JPG,,taxable,standard-rate
Jalepeno Peppers 0.05lb/Each,,,Produce->Fruits_Vegetables->Vegetables,,0.15,,,,,,,PFVV030,PFVV030.JPG,,taxable,standard-rate
Broccoli 1.5lb/Each,,,Produce->Fruits_Vegetables->Vegetables,,1.99,,,,,,,PFVV031,PFVV031.JPG,,taxable,standard-rate
Cauliflower 2lb/Each,,,Produce->Fruits_Vegetables->Vegetables,,2.99,,,,,,,PFVV032,PFVV032.JPG,,taxable,standard-rate
