title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Cashmere Ultra 3ply 6 Roll,,,Home & Lifestyle->Home Supplies->Bathroom Tissue,,6.49,,,,,,,HHB001,HHB001.JPG,,taxable,standard-rate
Cashmere Ultra 3ply Double 8 Roll,,,Home & Lifestyle->Home Supplies->Bathroom Tissue,,8.49,,,,,,,HHB002,HHB002.JPG,,taxable,standard-rate
Cashmere Double 2ply Double 8 Roll,,,Home & Lifestyle->Home Supplies->Bathroom Tissue,,8.49,,,,,,,HHB003,HHB003.JPG,,taxable,standard-rate
Cashmere Envirocare 2ply 8 Roll,,,Home & Lifestyle->Home Supplies->Bathroom Tissue,,8.49,,,,,,,HHB004,HHB004.JPG,,taxable,standard-rate
Cashmere Ultra Double 3ply 12 Roll,,,Home & Lifestyle->Home Supplies->Bathroom Tissue,,11.69,,,,,,,HHB005,HHB005.JPG,,taxable,standard-rate
Cashmere Envirocare 2ply 12 Roll ,,,Home & Lifestyle->Home Supplies->Bathroom Tissue,,11.69,,,,,,,HHB006,HHB006.JPG,,taxable,standard-rate
Cashmere Double 2ply 12 Roll,,,Home & Lifestyle->Home Supplies->Bathroom Tissue,,11.69,,,,,,,HHB007,HHB007.JPG,,taxable,standard-rate
Cashmere Double 2ply 18 Roll,,,Home & Lifestyle->Home Supplies->Bathroom Tissue,,14.99,,,,,,,HHB008,HHB008.JPG,,taxable,standard-rate
Cashmere Double 2ply Jumbo 30 Roll,,,Home & Lifestyle->Home Supplies->Bathroom Tissue,,19.99,,,,,,,HHB009,HHB009.JPG,,taxable,standard-rate
Compliments Green Care 2ply 12 Roll ,,,Home & Lifestyle->Home Supplies->Bathroom Tissue,,6.99,,,,,,,HHB010,HHB010.JPG,,taxable,standard-rate
Compliments Bath Tiss Double 2ply 8 Roll ,,,Home & Lifestyle->Home Supplies->Bathroom Tissue,,6.49,,,,,,,HHB011,HHB011.JPG,,taxable,standard-rate
Compliments Bath Tissue Double 2ply 12 Roll,,,Home & Lifestyle->Home Supplies->Bathroom Tissue,,8.69,,,,,,,HHB012,HHB012.JPG,,taxable,standard-rate
Compliments Ultra Bath Tissue 3Ply 12 Roll ,,,Home & Lifestyle->Home Supplies->Bathroom Tissue,,8.99,,,,,,,HHB013,HHB013.JPG,,taxable,standard-rate
Compliments Bath Tissue Double 2ply 24 Roll,,,Home & Lifestyle->Home Supplies->Bathroom Tissue,,15.99,,,,,,,HHB014,HHB014.JPG,,taxable,standard-rate
WhiteSwan Bath Tissue 2ply 4 Roll ,,,Home & Lifestyle->Home Supplies->Bathroom Tissue,,1.59,,,,,,,HHB015,HHB015.JPG,,taxable,standard-rate
Charmin Ultra Strong 2ply Double 8 Rolls,,,Home & Lifestyle->Home Supplies->Bathroom Tissue,,8.99,,,,,,,HHB016,HHB016.JPG,,taxable,standard-rate
Charmin Ultra Soft Double 2ply 8 Roll ,,,Home & Lifestyle->Home Supplies->Bathroom Tissue,,8.99,,,,,,,HHB017,HHB017.JPG,,taxable,standard-rate
Charmin Ultra Soft Double 2ply 12 Roll ,,,Home & Lifestyle->Home Supplies->Bathroom Tissue,,11.99,,,,,,,HHB018,HHB018.JPG,,taxable,standard-rate
Royale Bath Tissue 3ply 8 Roll,,,Home & Lifestyle->Home Supplies->Bathroom Tissue,,8.99,,,,,,,HHB019,HHB019.JPG,,taxable,standard-rate
Royale Bath Tissue 2ply 8 Roll ,,,Home & Lifestyle->Home Supplies->Bathroom Tissue,,8.99,,,,,,,HHB020,HHB020.JPG,,taxable,standard-rate
Royale Bath Tissue 3ply 12 Roll ,,,Home & Lifestyle->Home Supplies->Bathroom Tissue,,11.49,,,,,,,HHB021,HHB021.JPG,,taxable,standard-rate
Royale Bath Tissue 2ply 12 Roll ,,,Home & Lifestyle->Home Supplies->Bathroom Tissue,,11.49,,,,,,,HHB022,HHB022.JPG,,taxable,standard-rate
Signal Bath Tissue Double 2ply 8 Roll,,,Home & Lifestyle->Home Supplies->Bathroom Tissue,,3.49,,,,,,,HHB023,HHB023.JPG,,taxable,standard-rate
Signal Bath Tissue Double 2Ply 9 Roll ,,,Home & Lifestyle->Home Supplies->Bathroom Tissue,,4.99,,,,,,,HHB024,HHB024.JPG,,taxable,standard-rate
Signal Bath Tissue Double 2ply 12 Roll ,,,Home & Lifestyle->Home Supplies->Bathroom Tissue,,4.99,,,,,,,HHB025,HHB025.JPG,,taxable,standard-rate
Signal Bath Tissue Double 2ply 24 Roll ,,,Home & Lifestyle->Home Supplies->Bathroom Tissue,,4.99,,,,,,,HHB026,HHB026.JPG,,taxable,standard-rate
