title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
D'Italiano Original Thick Slice Bread 675g,,,Produce->Bakery->Breads,,3.79,,,,,,,PBB001,PBB001.JPG,,taxable,standard-rate
D'Italiano Whole Wheat Thick Slice Bread 675g,,,Produce->Bakery->Breads,,3.79,,,,,,,PBB002,PBB002.JPG,,taxable,standard-rate
Wonder Plus Soft White Loaf with Fibre 675g,,,Produce->Bakery->Breads,,3.49,,,,,,,PBB003,PBB003.JPG,,taxable,standard-rate
Wonder Plus Soft Whole Grain Wheat Bread 675g,,,Produce->Bakery->Breads,,3.59,,,,,,,PBB004,PBB004.JPG,,taxable,standard-rate
Country Harvest Ancient Grains Bread 675g,,,Produce->Bakery->Breads,,3.79,,,,,,,PBB005,PBB005.JPG,,taxable,standard-rate
Country Harvest 12 Grain Bread 675g,,,Produce->Bakery->Breads,,3.79,,,,,,,PBB006,PBB006.JPG,,taxable,standard-rate
Country Harvest Stone Milled Bread 675g,,,Produce->Bakery->Breads,,3.79,,,,,,,PBB007,PBB007.JPG,,taxable,standard-rate
Signal Enriched White Bread 675g,,,Produce->Bakery->Breads,,2.19,,,,,,,PBB008,PBB008.JPG,,taxable,standard-rate
Compliments Soft White Enriched Bread 675g,,,Produce->Bakery->Breads,,2.69,,,,,,,PBB009,PBB009.JPG,,taxable,standard-rate
Signal 100% Whole Wheat Bread 675g,,,Produce->Bakery->Breads,,2.19,,,,,,,PBB010,PBB010.JPG,,taxable,standard-rate
Dempster's Smooth Multigrains 675g,,,Produce->Bakery->Breads,,3.29,,,,,,,PBB011,PBB011.JPG,,taxable,standard-rate
Dempster's Garden Vegetable Bread 675g,,,Produce->Bakery->Breads,,3.79,,,,,,,PBB012,PBB012.JPG,,taxable,standard-rate
Dempster's Body Wise Whole Wheat Bread 450g,,,Produce->Bakery->Breads,,3.69,,,,,,,PBB013,PBB013.JPG,,taxable,standard-rate
Villaggio Sesame White Bread 675g,,,Produce->Bakery->Breads,,3.59,,,,,,,PBB014,PBB014.JPG,,taxable,standard-rate
Dempster's Whole Grains Bread 12 Grains 600g,,,Produce->Bakery->Breads,,3.59,,,,,,,PBB015,PBB015.JPG,,taxable,standard-rate
Villaggio Whole Wheat Bread 675g,,,Produce->Bakery->Breads,,3.59,,,,,,,PBB016,PBB016.JPG,,taxable,standard-rate
Dempster's White Bread 675g,,,Produce->Bakery->Breads,,3.29,,,,,,,PBB017,PBB017.JPG,,taxable,standard-rate
Dempster's 100% Whole Wheat Bread 675g,,,Produce->Bakery->Breads,,3.29,,,,,,,PBB018,PBB018.JPG,,taxable,standard-rate
Dempster's Smart White 16 Whole Grains Bread 650g,,,Produce->Bakery->Breads,,3.49,,,,,,,PBB019,PBB019.JPG,,taxable,standard-rate
Dempster's Whole Grains Bread Ancient Grains 600g,,,Produce->Bakery->Breads,,3.59,,,,,,,PBB020,PBB020.JPG,,taxable,standard-rate
Weight Watchers Whole Wheat Loaf 450g,,,Produce->Bakery->Breads,,3.89,,,,,,,PBB021,PBB021.JPG,,taxable,standard-rate
Villaggio Original Bread 675g,,,Produce->Bakery->Breads,,3.59,,,,,,,PBB022,PBB022.JPG,,taxable,standard-rate
Dempster's Whole Grains Bread Flax 600g,,,Produce->Bakery->Breads,,3.59,,,,,,,PBB023,PBB023.JPG,,taxable,standard-rate
Dempster's Whole Grains Bread Canadian Century Grains 600g,,,Produce->Bakery->Breads,,3.59,,,,,,,PBB024,PBB024.JPG,,taxable,standard-rate
Dempster's Smart Whole Grain Wheat 650g,,,Produce->Bakery->Breads,,3.49,,,,,,,PBB025,PBB025.JPG,,taxable,standard-rate
Dempster's Whole Grains Bread Multigrain 600g,,,Produce->Bakery->Breads,,3.59,,,,,,,PBB026,PBB026.JPG,,taxable,standard-rate
Dempster's Whole Grains Bread Wheat & Oats 600g,,,Produce->Bakery->Breads,,3.59,,,,,,,PBB027,PBB027.JPG,,taxable,standard-rate
Dempster's Bagel Everything 6pk 450g,,,Produce->Bakery->Breads,,3.89,,,,,,,PBB028,PBB028.JPG,,taxable,standard-rate
Dempster's Bagel Cinnamon Raisin 6pk 450g,,,Produce->Bakery->Breads,,3.89,,,,,,,PBB029,PBB029.JPG,,taxable,standard-rate
Dempster's Bagel Original 6pk 450g,,,Produce->Bakery->Breads,,3.89,,,,,,,PBB030,PBB030.JPG,,taxable,standard-rate
