title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Werthers Milk Chocolate 125g,,,Snacks & Candies->Candies & Chocolates->Candies,,3.49,,,,,,,SCCCC001,SCCCC001.JPG,,taxable,standard-rate
Werthers Original Caramel Apple Filled 158g,,,Snacks & Candies->Candies & Chocolates->Candies,,3.19,,,,,,,SCCCC002,SCCCC002.JPG,,taxable,standard-rate
Werthers Original Soft 146g,,,Snacks & Candies->Candies & Chocolates->Candies,,3.19,,,,,,,SCCCC003,SCCCC003.JPG,,taxable,standard-rate
Werthers Original Creamy Filled 158g,,,Snacks & Candies->Candies & Chocolates->Candies,,3.19,,,,,,,SCCCC004,SCCCC004.JPG,,taxable,standard-rate
Werthers Original 280g,,,Snacks & Candies->Candies & Chocolates->Candies,,4.29,,,,,,,SCCCC005,SCCCC005.JPG,,taxable,standard-rate
Riesen Candy 158g,,,Snacks & Candies->Candies & Chocolates->Candies,,3.19,,,,,,,SCCCC006,SCCCC006.JPG,,taxable,standard-rate
Werthers Original Chocolate Crunch 142g,,,Snacks & Candies->Candies & Chocolates->Candies,,3.49,,,,,,,SCCCC007,SCCCC007.JPG,,taxable,standard-rate
Werthers Original Carmel Choc 125g,,,Snacks & Candies->Candies & Chocolates->Candies,,3.49,,,,,,,SCCCC008,SCCCC008.JPG,,taxable,standard-rate
Werthers Original Caramels 158g,,,Snacks & Candies->Candies & Chocolates->Candies,,3.19,,,,,,,SCCCC009,SCCCC009.JPG,,taxable,standard-rate
Werthers Original 158g,,,Snacks & Candies->Candies & Chocolates->Candies,,3.19,,,,,,,SCCCC010,SCCCC010.JPG,,taxable,standard-rate
Nestle Mac Toffee Peg Bag 170g,,,Snacks & Candies->Candies & Chocolates->Candies,,2.99,,,,,,,SCCCC011,SCCCC011.JPG,,taxable,standard-rate
Allans Big Foot Sour Berry Lmnd 200g,,,Snacks & Candies->Candies & Chocolates->Candies,,2.49,,,,,,,SCCCC012,SCCCC012.JPG,,taxable,standard-rate
Allans Sour Wmelon Slices 200g,,,Snacks & Candies->Candies & Chocolates->Candies,,2.49,,,,,,,SCCCC013,SCCCC013.JPG,,taxable,standard-rate
Skittles Original Fruit 191g,,,Snacks & Candies->Candies & Chocolates->Candies,,2.99,,,,,,,SCCCC014,SCCCC014.JPG,,taxable,standard-rate
Skittles Sour 151g,,,Snacks & Candies->Candies & Chocolates->Candies,,2.99,,,,,,,SCCCC015,SCCCC015.JPG,,taxable,standard-rate
Skittles Riddles 191g,,,Snacks & Candies->Candies & Chocolates->Candies,,2.99,,,,,,,SCCCC016,SCCCC016.JPG,,taxable,standard-rate
Skittles Dark Side Peg Bag 191g,,,Snacks & Candies->Candies & Chocolates->Candies,,2.99,,,,,,,SCCCC017,SCCCC017.JPG,,taxable,standard-rate
Fruit-tella Chewy Mix 200g,,,Snacks & Candies->Candies & Chocolates->Candies,,2.49,,,,,,,SCCCC018,SCCCC018.JPG,,taxable,standard-rate
Haribo Fruit & Cola Wheels 175g,,,Snacks & Candies->Candies & Chocolates->Candies,,2.49,,,,,,,SCCCC019,SCCCC019.JPG,,taxable,standard-rate
Allan Big Foot Sour 200g,,,Snacks & Candies->Candies & Chocolates->Candies,,2.49,,,,,,,SCCCC020,SCCCC020.JPG,,taxable,standard-rate
Allan Big Foot Orange Cream 200g,,,Snacks & Candies->Candies & Chocolates->Candies,,2.49,,,,,,,SCCCC021,SCCCC021.JPG,,taxable,standard-rate
Allan Big Foot 200g,,,Snacks & Candies->Candies & Chocolates->Candies,,2.49,,,,,,,SCCCC022,SCCCC022.JPG,,taxable,standard-rate
Starburst Original Fruit Chews 191g,,,Snacks & Candies->Candies & Chocolates->Candies,,2.99,,,,,,,SCCCC023,SCCCC023.JPG,,taxable,standard-rate
StarBurst Morph Peg Bag 191g,,,Snacks & Candies->Candies & Chocolates->Candies,,2.99,,,,,,,SCCCC024,SCCCC024.JPG,,taxable,standard-rate
Haribo Happy Cola 175g,,,Snacks & Candies->Candies & Chocolates->Candies,,2.49,,,,,,,SCCCC025,SCCCC025.JPG,,taxable,standard-rate
Haribo Gold Bears 175g,,,Snacks & Candies->Candies & Chocolates->Candies,,2.49,,,,,,,SCCCC026,SCCCC026.JPG,,taxable,standard-rate
Dare Real Fruit Gummies Super Fruit 180g,,,Snacks & Candies->Candies & Chocolates->Candies,,2.79,,,,,,,SCCCC027,SCCCC027.JPG,,taxable,standard-rate
Dare Real Fruit Gummie Mango & Yogurt 160g,,,Snacks & Candies->Candies & Chocolates->Candies,,2.79,,,,,,,SCCCC028,SCCCC028.JPG,,taxable,standard-rate
Dare Real Fruit Gummies Sours 180g,,,Snacks & Candies->Candies & Chocolates->Candies,,2.79,,,,,,,SCCCC029,SCCCC029.JPG,,taxable,standard-rate
Dare Real Fruit Gummies Fruit Medley 180g,,,Snacks & Candies->Candies & Chocolates->Candies,,2.79,,,,,,,SCCCC030,SCCCC030.JPG,,taxable,standard-rate
Dare Real Fruit Gummies Trop Fruit 180g,,,Snacks & Candies->Candies & Chocolates->Candies,,2.79,,,,,,,SCCCC031,SCCCC031.JPG,,taxable,standard-rate
Maynards Bassettes Assorted 170g,,,Snacks & Candies->Candies & Chocolates->Candies,,2.86,,,,,,,SCCCC032,SCCCC032.JPG,,taxable,standard-rate
Maynards Sour Chillers 170g,,,Snacks & Candies->Candies & Chocolates->Candies,,2.86,,,,,,,SCCCC033,SCCCC033.JPG,,taxable,standard-rate
Maynards Cherry Blasters Sour 185g,,,Snacks & Candies->Candies & Chocolates->Candies,,2.86,,,,,,,SCCCC034,SCCCC034.JPG,,taxable,standard-rate
Maynards Swedish Berries 185g,,,Snacks & Candies->Candies & Chocolates->Candies,,2.86,,,,,,,SCCCC035,SCCCC035.JPG,,taxable,standard-rate
Maynards Fuzzy Peach 185g,,,Snacks & Candies->Candies & Chocolates->Candies,,2.86,,,,,,,SCCCC036,SCCCC036.JPG,,taxable,standard-rate
Maynards Blush Berries 170g,,,Snacks & Candies->Candies & Chocolates->Candies,,2.86,,,,,,,SCCCC037,SCCCC037.JPG,,taxable,standard-rate
Maynards Granny Smith 170g,,,Snacks & Candies->Candies & Chocolates->Candies,,2.86,,,,,,,SCCCC038,SCCCC038.JPG,,taxable,standard-rate
Capricorn Licorice Raspberry 200g,,,Snacks & Candies->Candies & Chocolates->Candies,,2.86,,,,,,,SCCCC039,SCCCC039.JPG,,taxable,standard-rate
Capricorn Licorice Traditional Black 200g,,,Snacks & Candies->Candies & Chocolates->Candies,,2.86,,,,,,,SCCCC040,SCCCC040.JPG,,taxable,standard-rate
Kraft Caramels 269g,,,Snacks & Candies->Candies & Chocolates->Candies,,3.29,,,,,,,SCCCC041,SCCCC041.JPG,,taxable,standard-rate
LifeSavr 5 Flavour Peg Bag 150g,,,Snacks & Candies->Candies & Chocolates->Candies,,2.29,,,,,,,SCCCC042,SCCCC042.JPG,,taxable,standard-rate
Red Band Original Sour Sucker 175g,,,Snacks & Candies->Candies & Chocolates->Candies,,1.99,,,,,,,SCCCC043,SCCCC043.JPG,,taxable,standard-rate
Fruitlla Fruity Swing 175g,,,Snacks & Candies->Candies & Chocolates->Candies,,2.99,,,,,,,SCCCC044,SCCCC044.JPG,,taxable,standard-rate
JollyRanancher Hard Candy Assorted 198g,,,Snacks & Candies->Candies & Chocolates->Candies,,2.99,,,,,,,SCCCC045,SCCCC045.JPG,,taxable,standard-rate
JollyRanancher Crunch n Chew 184g,,,Snacks & Candies->Candies & Chocolates->Candies,,2.99,,,,,,,SCCCC046,SCCCC046.JPG,,taxable,standard-rate
JollyRanancher Awesome Twosomes Watermelon/Green Apple Cherry/Orange 184g,,,Snacks & Candies->Candies & Chocolates->Candies,,2.49,,,,,,,SCCCC047,SCCCC047.JPG,,taxable,standard-rate
JollyRanancher Awesome Twosomes Blue Raspberry/Lemonade Mango/Stawberry 184g,,,Snacks & Candies->Candies & Chocolates->Candies,,2.49,,,,,,,SCCCC048,SCCCC048.JPG,,taxable,standard-rate
Maynards Wine Gums 170g,,,Snacks & Candies->Candies & Chocolates->Candies,,2.86,,,,,,,SCCCC049,SCCCC049.JPG,,taxable,standard-rate
Maynards Swedish Fish Assorted 185g,,,Snacks & Candies->Candies & Chocolates->Candies,,2.86,,,,,,,SCCCC050,SCCCC050.JPG,,taxable,standard-rate
Maynards Wine Gums Sour 170g,,,Snacks & Candies->Candies & Chocolates->Candies,,2.86,,,,,,,SCCCC051,SCCCC051.JPG,,taxable,standard-rate
Maynards Sour Patch Kids 185g,,,Snacks & Candies->Candies & Chocolates->Candies,,2.86,,,,,,,SCCCC052,SCCCC052.JPG,,taxable,standard-rate
Dare Juicee Fruit Slices Laydown 907g,,,Snacks & Candies->Candies & Chocolates->Candies,,3.99,,,,,,,SCCCC053,SCCCC053.JPG,,taxable,standard-rate
Dare Jubes Laydown Original 907g,,,Snacks & Candies->Candies & Chocolates->Candies,,3.99,,,,,,,SCCCC054,SCCCC054.JPG,,taxable,standard-rate
JollyRan Tandem Watermelon 320g,,,Snacks & Candies->Candies & Chocolates->Candies,,2.49,,,,,,,SCCCC055,SCCCC055.JPG,,taxable,standard-rate
Twizzler Strawberry 454g,,,Snacks & Candies->Candies & Chocolates->Candies,,3.29,,,,,,,SCCCC056,SCCCC056.JPG,,taxable,standard-rate
Twizzler Super Nibs Cherry 400g,,,Snacks & Candies->Candies & Chocolates->Candies,,3.29,,,,,,,SCCCC057,SCCCC057.JPG,,taxable,standard-rate
Compliments Jelly Beans 250g,,,Snacks & Candies->Candies & Chocolates->Candies,,1.99,,,,,,,SCCCC058,SCCCC058.JPG,,taxable,standard-rate
Compliments Gummi Bears 200g,,,Snacks & Candies->Candies & Chocolates->Candies,,1.99,,,,,,,SCCCC059,SCCCC059.JPG,,taxable,standard-rate
Compliments Jujubes 250g,,,Snacks & Candies->Candies & Chocolates->Candies,,1.99,,,,,,,SCCCC060,SCCCC060.JPG,,taxable,standard-rate
Compliments Fruit Slices 300g,,,Snacks & Candies->Candies & Chocolates->Candies,,1.99,,,,,,,SCCCC061,SCCCC061.JPG,,taxable,standard-rate
Compliments Jujubes 1000g,,,Snacks & Candies->Candies & Chocolates->Candies,,3.49,,,,,,,SCCCC062,SCCCC062.JPG,,taxable,standard-rate
Compliments Scotch Mints 1000g,,,Snacks & Candies->Candies & Chocolates->Candies,,3.49,,,,,,,SCCCC063,SCCCC063.JPG,,taxable,standard-rate
Compliments Jelly Beans 1000g,,,Snacks & Candies->Candies & Chocolates->Candies,,3.49,,,,,,,SCCCC064,SCCCC064.JPG,,taxable,standard-rate
Compliments Jumbo Gums 1000g,,,Snacks & Candies->Candies & Chocolates->Candies,,3.49,,,,,,,SCCCC065,SCCCC065.JPG,,taxable,standard-rate
Skittles Origianl Fruit Stand Up 320g,,,Snacks & Candies->Candies & Chocolates->Candies,,3.99,,,,,,,SCCCC066,SCCCC066.JPG,,taxable,standard-rate
Twizzler Licorice Black 375g,,,Snacks & Candies->Candies & Chocolates->Candies,,3.29,,,,,,,SCCCC067,SCCCC067.JPG,,taxable,standard-rate
Twizzler Pull N Peel Cherry 396g,,,Snacks & Candies->Candies & Chocolates->Candies,,3.29,,,,,,,SCCCC068,SCCCC068.JPG,,taxable,standard-rate
Twizzler Nibs Chry Party PK 400g,,,Snacks & Candies->Candies & Chocolates->Candies,,3.29,,,,,,,SCCCC069,SCCCC069.JPG,,taxable,standard-rate
Maynards Fuzzy Peach 355g,,,Snacks & Candies->Candies & Chocolates->Candies,,3.49,,,,,,,SCCCC070,SCCCC070.JPG,,taxable,standard-rate
Maynards Swedish Berries 355g,,,Snacks & Candies->Candies & Chocolates->Candies,,3.49,,,,,,,SCCCC071,SCCCC071.JPG,,taxable,standard-rate
Maynards Blush Berries 355g,,,Snacks & Candies->Candies & Chocolates->Candies,,3.49,,,,,,,SCCCC072,SCCCC072.JPG,,taxable,standard-rate
Maynards Wine Gums 315g,,,Snacks & Candies->Candies & Chocolates->Candies,,3.49,,,,,,,SCCCC073,SCCCC073.JPG,,taxable,standard-rate
Compliments Striped Spearmints 180g,,,Snacks & Candies->Candies & Chocolates->Candies,,1.99,,,,,,,SCCCC074,SCCCC074.JPG,,taxable,standard-rate
Compliments Party Mints 200g,,,Snacks & Candies->Candies & Chocolates->Candies,,1.99,,,,,,,SCCCC075,SCCCC075.JPG,,taxable,standard-rate
Compliments Scotch Mints 200g,,,Snacks & Candies->Candies & Chocolates->Candies,,1.49,,,,,,,SCCCC076,SCCCC076.JPG,,taxable,standard-rate
Compliments Marshmallows Mini White 250g,,,Snacks & Candies->Candies & Chocolates->Candies,,1.69,,,,,,,SCCCC077,SCCCC077.JPG,,taxable,standard-rate
Compliments Marshmallows Large White 250g,,,Snacks & Candies->Candies & Chocolates->Candies,,1.49,,,,,,,SCCCC078,SCCCC078.JPG,,taxable,standard-rate
Compliments Marshmallows Mini Fruit 250g,,,Snacks & Candies->Candies & Chocolates->Candies,,1.99,,,,,,,SCCCC079,SCCCC079.JPG,,taxable,standard-rate
Compliments Marshmallows Large White 400g,,,Snacks & Candies->Candies & Chocolates->Candies,,1.99,,,,,,,SCCCC080,SCCCC080.JPG,,taxable,standard-rate
Compliments Marshmallows Large White 1000g,,,Snacks & Candies->Candies & Chocolates->Candies,,4.79,,,,,,,SCCCC081,SCCCC081.JPG,,taxable,standard-rate
Kraft Jet Pffd Marshmallows White 250g,,,Snacks & Candies->Candies & Chocolates->Candies,,1.99,,,,,,,SCCCC082,SCCCC082.JPG,,taxable,standard-rate
Ferrero Tic Tac T3 Fresh Mint,,,Snacks & Candies->Candies & Chocolates->Candies,,2.99,,,,,,,SCCCC083,SCCCC083.JPG,,taxable,standard-rate
Mentos Peggable 4pk Mint,,,Snacks & Candies->Candies & Chocolates->Candies,,2.99,,,,,,,SCCCC084,SCCCC084.JPG,,taxable,standard-rate
