title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Compliments Balance Salt Free Peas 398ml,,,Goceries->Canned Foods->Canned Beans & Peas,,1.29,,,,,,,GCFCBP001,GCFCBP001.JPG,,taxable,standard-rate
Compliments Balance Salt Free French Style Cut Green Beans 398ml,,,Goceries->Canned Foods->Canned Beans & Peas,,1.29,,,,,,,GCFCBP002,GCFCBP002.JPG,,taxable,standard-rate
Green Giant Summer Sweet Peas 398ml,,,Goceries->Canned Foods->Canned Beans & Peas,,1.69,,,,,,,GCFCBP003,GCFCBP003.JPG,,taxable,standard-rate
Green Giant Sweetlet Peas 398ml,,,Goceries->Canned Foods->Canned Beans & Peas,,1.69,,,,,,,GCFCBP004,GCFCBP004.JPG,,taxable,standard-rate
Compliments Small Peas 398ml,,,Goceries->Canned Foods->Canned Beans & Peas,,1.29,,,,,,,GCFCBP005,GCFCBP005.JPG,,taxable,standard-rate
Compliments Sweet Peas 398ml,,,Goceries->Canned Foods->Canned Beans & Peas,,1.29,,,,,,,GCFCBP006,GCFCBP006.JPG,,taxable,standard-rate
Green Giant French Green Beans 398ml,,,Goceries->Canned Foods->Canned Beans & Peas,,1.69,,,,,,,GCFCBP007,GCFCBP007.JPG,,taxable,standard-rate
Green Giant Cut Green Beans 398ml,,,Goceries->Canned Foods->Canned Beans & Peas,,1.69,,,,,,,GCFCBP008,GCFCBP008.JPG,,taxable,standard-rate
Compliments Cut Green Beans 398ml,,,Goceries->Canned Foods->Canned Beans & Peas,,1.29,,,,,,,GCFCBP009,GCFCBP009.JPG,,taxable,standard-rate
Compliments Cut Wax Beans 398ml,,,Goceries->Canned Foods->Canned Beans & Peas,,1.29,,,,,,,GCFCBP010,GCFCBP010.JPG,,taxable,standard-rate
Green Giant Cut Wax Beans 398ml,,,Goceries->Canned Foods->Canned Beans & Peas,,1.69,,,,,,,GCFCBP011,GCFCBP011.JPG,,taxable,standard-rate
Green Giant Cut Green Beans Less Salt 398ml,,,Goceries->Canned Foods->Canned Beans & Peas,,1.69,,,,,,,GCFCBP012,GCFCBP012.JPG,,taxable,standard-rate
Green Giant Summer Sweet Peas 540ml,,,Goceries->Canned Foods->Canned Beans & Peas,,1.99,,,,,,,GCFCBP013,GCFCBP013.JPG,,taxable,standard-rate
