title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Elite Chicken Salad with Wheat Crackers 95g,,,Groceries->Soups & Cans->Canned Meat ,,1.99,,,,,,,GSCCM001,GSCCM001.JPG,,taxable,standard-rate
Elite Chicken Salad with Cranberries and Wheat Crackers 95g,,,Groceries->Soups & Cans->Canned Meat ,,1.99,,,,,,,GSCCM002,GSCCM002.JPG,,taxable,standard-rate
Clover Leaf Tuna Salad Kit Rosemary & Sundried Tomato 90g,,,Groceries->Soups & Cans->Canned Meat ,,2.39,,,,,,,GSCCM003,GSCCM003.JPG,,taxable,standard-rate
Clover Leaf Tuna Salad Kit Lemon & Pepper 90g,,,Groceries->Soups & Cans->Canned Meat ,,2.39,,,,,,,GSCCM004,GSCCM004.JPG,,taxable,standard-rate
Clover Leaf Tuna Salad Kit Spicy Thai Chili 90g,,,Groceries->Soups & Cans->Canned Meat ,,2.39,,,,,,,GSCCM005,GSCCM005.JPG,,taxable,standard-rate
Clover Leaf Whole Baby Clams in Water 142g,,,Groceries->Soups & Cans->Canned Meat ,,2.79,,,,,,,GSCCM006,GSCCM006.JPG,,taxable,standard-rate
Clover Leaf Clam Juice Natural 236ml,,,Groceries->Soups & Cans->Canned Meat ,,2.49,,,,,,,GSCCM007,GSCCM007.JPG,,taxable,standard-rate
Compliments Small Shrimp 106g,,,Groceries->Soups & Cans->Canned Meat ,,3.99,,,,,,,GSCCM008,GSCCM008.JPG,,taxable,standard-rate
Clover Leaf Crabmeat with 15% Leg Meat 120g,,,Groceries->Soups & Cans->Canned Meat ,,3.79,,,,,,,GSCCM009,GSCCM009.JPG,,taxable,standard-rate
Clover Leaf Chunk Crabmeat 120g,,,Groceries->Soups & Cans->Canned Meat ,,6.49,,,,,,,GSCCM010,GSCCM010.JPG,,taxable,standard-rate
Encore Seasoning Mix Escargot 7g,,,Groceries->Soups & Cans->Canned Meat ,,0.99,,,,,,,GSCCM011,GSCCM011.JPG,,taxable,standard-rate
M'Lord Snails 115g,,,Groceries->Soups & Cans->Canned Meat ,,2.79,,,,,,,GSCCM012,GSCCM012.JPG,,taxable,standard-rate
Clover Leaf Cocktail Shrimp 106g,,,Groceries->Soups & Cans->Canned Meat ,,4.79,,,,,,,GSCCM013,GSCCM013.JPG,,taxable,standard-rate
Brunswick Seafood Snacks Fish Fillets in Hot Sauce 100g,,,Groceries->Soups & Cans->Canned Meat ,,1.49,,,,,,,GSCCM014,GSCCM014.JPG,,taxable,standard-rate
Brunswick Seafood Snacks Fish Fillets in Tomato & Basil Sauce 100g,,,Groceries->Soups & Cans->Canned Meat ,,1.49,,,,,,,GSCCM015,GSCCM015.JPG,,taxable,standard-rate
Brunswick Seafood Snacks Fish Fillets in Golden Smoked 100g,,,Groceries->Soups & Cans->Canned Meat ,,1.49,,,,,,,GSCCM016,GSCCM016.JPG,,taxable,standard-rate
Brunswick Seafood Snacks Fish Fillets Kippered 100g,,,Groceries->Soups & Cans->Canned Meat ,,1.49,,,,,,,GSCCM017,GSCCM017.JPG,,taxable,standard-rate
Club Des Millionnaires Sardines Skiness and Boneless 124g,,,Groceries->Soups & Cans->Canned Meat ,,2.99,,,,,,,GSCCM018,GSCCM018.JPG,,taxable,standard-rate
Club Des Millionnaires in Water Sardines 124g,,,Groceries->Soups & Cans->Canned Meat ,,2.99,,,,,,,GSCCM019,GSCCM019.JPG,,taxable,standard-rate
Club Des Millionnaires Brisling Sardines Slightly Smoked 100g,,,Groceries->Soups & Cans->Canned Meat ,,2.99,,,,,,,GSCCM020,GSCCM020.JPG,,taxable,standard-rate
Clover Leaf Brisling Sardines in Olive Oil 106g,,,Groceries->Soups & Cans->Canned Meat ,,3.49,,,,,,,GSCCM021,GSCCM021.JPG,,taxable,standard-rate
Brunswick Sardines in Soya Oil 106g,,,Groceries->Soups & Cans->Canned Meat ,,1.42,,,,,,,GSCCM022,GSCCM022.JPG,,taxable,standard-rate
Brunswick Sardines in Spring Water No Salted 84g,,,Groceries->Soups & Cans->Canned Meat ,,1.42,,,,,,,GSCCM023,GSCCM023.JPG,,taxable,standard-rate
Brunswick Sardines with Hot Peppers 106g,,,Groceries->Soups & Cans->Canned Meat ,,1.42,,,,,,,GSCCM024,GSCCM024.JPG,,taxable,standard-rate
Brunswick Sardines in Tomato Sauce 106g,,,Groceries->Soups & Cans->Canned Meat ,,1.42,,,,,,,GSCCM025,GSCCM025.JPG,,taxable,standard-rate
Brunswick Sardines in Lemon Sauce 106g,,,Groceries->Soups & Cans->Canned Meat ,,1.42,,,,,,,GSCCM026,GSCCM026.JPG,,taxable,standard-rate
Clover Leaf Smoked Mussels Hardwood Smoked 85g,,,Groceries->Soups & Cans->Canned Meat ,,2.29,,,,,,,GSCCM027,GSCCM027.JPG,,taxable,standard-rate
