title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Kraft Philadelphia Cream Cheese Low Fat 250g,,,Groceries->Dairy & Dairy Products->Cheese,,4.99,,,,,,,GDC001,GDC001.JPG,,taxable,standard-rate
Kraft Philadelphia Cream Cheese Original 250g,,,Groceries->Dairy & Dairy Products->Cheese,,4.99,,,,,,,GDC002,GDC002.JPG,,taxable,standard-rate
Kraft Philadelphia Cream Cheese Chocolate 250g,,,Groceries->Dairy & Dairy Products->Cheese,,4.99,,,,,,,GDC003,GDC003.JPG,,taxable,standard-rate
Kraft Philadelphia Cream Cheese Light Strawberry 250g,,,Groceries->Dairy & Dairy Products->Cheese,,4.99,,,,,,,GDC004,GDC004.JPG,,taxable,standard-rate
Kraft Philadelphia Cream Cheese Garden Vegetables 250g,,,Groceries->Dairy & Dairy Products->Cheese,,4.99,,,,,,,GDC005,GDC005.JPG,,taxable,standard-rate
Kraft Philadelphia Cream Cheese Low Fat Herb & Garlic 250g,,,Groceries->Dairy & Dairy Products->Cheese,,4.99,,,,,,,GDC006,GDC006.JPG,,taxable,standard-rate
Kraft Philadelphia Cream Cheese Herb & Garlic 250g,,,Groceries->Dairy & Dairy Products->Cheese,,4.99,,,,,,,GDC007,GDC007.JPG,,taxable,standard-rate
Kraft Philadelphia Cream Cheese Roasted Garlic 250g,,,Groceries->Dairy & Dairy Products->Cheese,,4.99,,,,,,,GDC008,GDC008.JPG,,taxable,standard-rate
Kraft Philadelphia Cream Cheese Smkoed Salmon 250g,,,Groceries->Dairy & Dairy Products->Cheese,,4.99,,,,,,,GDC009,GDC009.JPG,,taxable,standard-rate
Kraft Philadelphia Cream Cheese Light Herb & Garlic 250g,,,Groceries->Dairy & Dairy Products->Cheese,,4.99,,,,,,,GDC010,GDC010.JPG,,taxable,standard-rate
Kraft Philadelphia Cream Cheese Whipped Chives 150g,,,Groceries->Dairy & Dairy Products->Cheese,,4.99,,,,,,,GDC011,GDC011.JPG,,taxable,standard-rate
Kraft Philadelphia Cream Cheese Whipped Regular 150g,,,Groceries->Dairy & Dairy Products->Cheese,,4.99,,,,,,,GDC012,GDC012.JPG,,taxable,standard-rate
Kraft 100% Parmesan Cheese Aged Grated 141g,,,Groceries->Dairy & Dairy Products->Cheese,,4.99,,,,,,,GDC013,GDC013.JPG,,taxable,standard-rate
Kraft 100% Parmesan Cheese Shaved 141g,,,Groceries->Dairy & Dairy Products->Cheese,,4.99,,,,,,,GDC014,GDC014.JPG,,taxable,standard-rate
Kraft 100% Parmesan Cheese Shredded 200g,,,Groceries->Dairy & Dairy Products->Cheese,,6.99,,,,,,,GDC015,GDC015.JPG,,taxable,standard-rate
Kraft Parmesan Romano Cheese Shredded 200g,,,Groceries->Dairy & Dairy Products->Cheese,,6.99,,,,,,,GDC016,GDC016.JPG,,taxable,standard-rate
Kraft Philadelphia Cream Cheese Spread Brick Light 250g,,,Groceries->Dairy & Dairy Products->Cheese,,4.19,,,,,,,GDC017,GDC017.JPG,,taxable,standard-rate
Kraft Philadelphia Cream Cheese Spread Brick 250g,,,Groceries->Dairy & Dairy Products->Cheese,,4.19,,,,,,,GDC018,GDC018.JPG,,taxable,standard-rate
Kraft Philadelphia Cream Cheese Spread Herb & Garlic 400g,,,Groceries->Dairy & Dairy Products->Cheese,,6.79,,,,,,,GDC019,GDC019.JPG,,taxable,standard-rate
Kraft Philadelphia Cream Cheese Spread Light 400g,,,Groceries->Dairy & Dairy Products->Cheese,,6.79,,,,,,,GDC020,GDC020.JPG,,taxable,standard-rate
Kraft Philadelphia Cream Cheese Spread Chocolate 400g,,,Groceries->Dairy & Dairy Products->Cheese,,6.79,,,,,,,GDC021,GDC021.JPG,,taxable,standard-rate
Kraft Philadelphia Cream Cheese Pineapple 250g,,,Groceries->Dairy & Dairy Products->Cheese,,4.19,,,,,,,GDC022,GDC022.JPG,,taxable,standard-rate
Kraft Philadelphia Cream Cheese Strawberry 250g,,,Groceries->Dairy & Dairy Products->Cheese,,4.19,,,,,,,GDC023,GDC023.JPG,,taxable,standard-rate
Kraft Philadelphia Cream Cheese Garden Vegetable Light 250g,,,Groceries->Dairy & Dairy Products->Cheese,,4.19,,,,,,,GDC024,GDC024.JPG,,taxable,standard-rate
Kraft Philadelphia Cream Cheese Dill 250g,,,Groceries->Dairy & Dairy Products->Cheese,,4.19,,,,,,,GDC025,GDC025.JPG,,taxable,standard-rate
Kraft Philadelphia Cream Cheese Chive & Onion 250g,,,Groceries->Dairy & Dairy Products->Cheese,,4.19,,,,,,,GDC026,GDC026.JPG,,taxable,standard-rate
Kraft Philadelphia Cooking Cream Savoury Garlic 270g,,,Groceries->Dairy & Dairy Products->Cheese,,4.19,,,,,,,GDC027,GDC027.JPG,,taxable,standard-rate
Kraft Philadelphia Cooking Cream Herb & Garlic 270g,,,Groceries->Dairy & Dairy Products->Cheese,,4.19,,,,,,,GDC028,GDC028.JPG,,taxable,standard-rate
Kraft Philadelphia Cooking Cream Tomato Basil 270g,,,Groceries->Dairy & Dairy Products->Cheese,,4.19,,,,,,,GDC029,GDC029.JPG,,taxable,standard-rate
Kraft Philadelphia Cooking Cream Herb & Garlic Light 270g,,,Groceries->Dairy & Dairy Products->Cheese,,4.19,,,,,,,GDC030,GDC030.JPG,,taxable,standard-rate
Kraft Philadelphia Cooking Cream Italian Three Cheese 270g,,,Groceries->Dairy & Dairy Products->Cheese,,4.19,,,,,,,GDC031,GDC031.JPG,,taxable,standard-rate
Maclaren's Imperial Sharp Cold Pack Cheddar Cheese 250g,,,Groceries->Dairy & Dairy Products->Cheese,,7.79,,,,,,,GDC032,GDC032.JPG,,taxable,standard-rate
Kraft Cracker Barrel Monterey Jack Natural Cheese 200g,,,Groceries->Dairy & Dairy Products->Cheese,,6.29,,,,,,,GDC033,GDC033.JPG,,taxable,standard-rate
Kraft Cracker Barrel Havarti Natural Cheese 200g,,,Groceries->Dairy & Dairy Products->Cheese,,6.29,,,,,,,GDC034,GDC034.JPG,,taxable,standard-rate
Kraft Cracker Barrel Swiss Natural Cheese Light 200g,,,Groceries->Dairy & Dairy Products->Cheese,,6.29,,,,,,,GDC035,GDC035.JPG,,taxable,standard-rate
Kraft Cracker Barrel Swiss Natural Cheese 200g,,,Groceries->Dairy & Dairy Products->Cheese,,6.29,,,,,,,GDC036,GDC036.JPG,,taxable,standard-rate
Kraft Cracker Barrel Natural Cheese Extra Old 200g,,,Groceries->Dairy & Dairy Products->Cheese,,6.29,,,,,,,GDC037,GDC037.JPG,,taxable,standard-rate
Kraft Cracker Barrel Natural Cheese Old 200g,,,Groceries->Dairy & Dairy Products->Cheese,,6.29,,,,,,,GDC038,GDC038.JPG,,taxable,standard-rate
Kraft Cracker Barrel Natural Cheese Old Light 200g,,,Groceries->Dairy & Dairy Products->Cheese,,6.29,,,,,,,GDC039,GDC039.JPG,,taxable,standard-rate
Kraft Cracker Barrel Natural Cheese Medium 200g,,,Groceries->Dairy & Dairy Products->Cheese,,6.29,,,,,,,GDC040,GDC040.JPG,,taxable,standard-rate
Kraft Cracker Barrel Natural Cheese Marble 200g,,,Groceries->Dairy & Dairy Products->Cheese,,6.29,,,,,,,GDC041,GDC041.JPG,,taxable,standard-rate
Kraft Cracker Barrel Mazzarella Natural Cheese 200g,,,Groceries->Dairy & Dairy Products->Cheese,,6.29,,,,,,,GDC042,GDC042.JPG,,taxable,standard-rate
Kraft Cracker Barrel Havarti Natural Cheese 400g,,,Groceries->Dairy & Dairy Products->Cheese,,9.29,,,,,,,GDC043,GDC043.JPG,,taxable,standard-rate
