title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Toblerone Milk One by One Sub,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,4.49,,,,,,,SCCCP001,SCCCP001.JPG,,taxable,standard-rate
Lindor Milk Chocolate in Bag 150g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,6.49,,,,,,,SCCCP002,SCCCP002.JPG,,taxable,standard-rate
Lindor Bag Hazelnut 150g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,6.49,,,,,,,SCCCP003,SCCCP003.JPG,,taxable,standard-rate
Lindor Assorted Bag 150g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,6.49,,,,,,,SCCCP004,SCCCP004.JPG,,taxable,standard-rate
Lindt Mini Excellence Exra Creamy 165g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,5.99,,,,,,,SCCCP005,SCCCP005.JPG,,taxable,standard-rate
Lindt Excellence 85% 165g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,5.99,,,,,,,SCCCP006,SCCCP006.JPG,,taxable,standard-rate
Lindt Mini Excellence 70% 165g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,5.99,,,,,,,SCCCP007,SCCCP007.JPG,,taxable,standard-rate
Maltesers Stand Up Pouch 165g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,4.29,,,,,,,SCCCP008,SCCCP008.JPG,,taxable,standard-rate
Nestle Big Turk Bites 180g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,4.29,,,,,,,SCCCP009,SCCCP009.JPG,,taxable,standard-rate
Nestle KitKat Bites Cello 210g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,4.29,,,,,,,SCCCP010,SCCCP010.JPG,,taxable,standard-rate
Nestle Coffee Crisp Mini Cello 210g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,4.29,,,,,,,SCCCP011,SCCCP011.JPG,,taxable,standard-rate
Nestle Rolo 203g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,4.29,,,,,,,SCCCP012,SCCCP012.JPG,,taxable,standard-rate
M&M Pretzel Stand Up Pouch 162g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,3.99,,,,,,,SCCCP016,SCCCP016.JPG,,taxable,standard-rate
Snickers Peanut Butter Squared 200g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,4.29,,,,,,,SCCCP017,SCCCP017.JPG,,taxable,standard-rate
M&M Peanut Butter Stand Up Pouch 230g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,3.99,,,,,,,SCCCP018,SCCCP018.JPG,,taxable,standard-rate
M&M Milk Chocolate Stand Up Pouch 200g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,3.99,,,,,,,SCCCP019,SCCCP019.JPG,,taxable,standard-rate
M&M Milk Peanut Stand Up Pouch 200g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,3.99,,,,,,,SCCCP020,SCCCP020.JPG,,taxable,standard-rate
Nestle Smarties Cello Regular 203g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,4.29,,,,,,,SCCCP021,SCCCP021.JPG,,taxable,standard-rate
Reese Sticks Mini Pouch 180g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,4.29,,,,,,,SCCCP023,SCCCP023.JPG,,taxable,standard-rate
Reese Peanut Butter Cup Mini 210g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,4.29,,,,,,,SCCCP024,SCCCP024.JPG,,taxable,standard-rate
Reese Miniature Cello 230g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,4.29,,,,,,,SCCCP025,SCCCP025.JPG,,taxable,standard-rate
Reese Pieces Pouch 230g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,4.29,,,,,,,SCCCP026,SCCCP026.JPG,,taxable,standard-rate
Skor Minis 191g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,4.99,,,,,,,SCCCP027,SCCCP027.JPG,,taxable,standard-rate
Aero Bubbles Orange 135g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,4.29,,,,,,,SCCCP028,SCCCP028.JPG,,taxable,standard-rate
Aero Bubbles Mint 135g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,3.99,,,,,,,SCCCP029,SCCCP029.JPG,,taxable,standard-rate
Aero Bubbles Milk 135g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,3.99,,,,,,,SCCCP030,SCCCP030.JPG,,taxable,standard-rate
Hershey Drops Cookies n Cream 200g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,4.29,,,,,,,SCCCP031,SCCCP031.JPG,,taxable,standard-rate
