title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Doritos Nacho Cheese 375g ,,,Snacks & Candies->Chips & Popcorn->Doritos ,,4.99,,,,,,,SCD001,SCD001.JPG,,taxable ,standard-rate
Doritos Nacho Cheese 260g ,,,Snacks & Candies->Chips & Popcorn->Doritos ,,3.88,,,,,,,SCD002,SCD002.JPG,,taxable ,standard-rate
Doritos Intense Pickle 260g ,,,Snacks & Candies->Chips & Popcorn->Doritos ,,3.88,,,,,,,SCD003,SCD003.JPG,,taxable ,standard-rate
Doritos Sweet Chili Heat 260g ,,,Snacks & Candies->Chips & Popcorn->Doritos ,,3.88,,,,,,,SCD004,SCD004.JPG,,taxable ,standard-rate
Doritos Tortilla Cool Ranch 260g ,,,Snacks & Candies->Chips & Popcorn->Doritos ,,3.88,,,,,,,SCD005,SCD005.JPG,,taxable ,standard-rate
Doritos Inferno 245g ,,,Snacks & Candies->Chips & Popcorn->Doritos ,,3.88,,,,,,,SCD006,SCD006.JPG,,taxable ,standard-rate
Doritos Zesty Cheese 260g ,,,Snacks & Candies->Chips & Popcorn->Doritos ,,3.88,,,,,,,SCD007,SCD007.JPG,,taxable ,standard-rate
Doritos Spicy Nacho 260g ,,,Snacks & Candies->Chips & Popcorn->Doritos ,,3.88,,,,,,,SCD008,SCD008.JPG,,taxable ,standard-rate
Doritos Bold BBQ 260g ,,,Snacks & Candies->Chips & Popcorn->Doritos ,,3.88,,,,,,,SCD009,SCD009.JPG,,taxable ,standard-rate
Doritos Jalapeno & Cheddar 260g ,,,Snacks & Candies->Chips & Popcorn->Doritos ,,3.88,,,,,,,SCD010,SCD010.JPG,,taxable ,standard-rate
