title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Vitamin Water Zero Mixed Berry Go-go 591ml ,,,Beverages->Water->Flavoured Water & Vitamin Water,,2.86,,,,,,,BWFV001,BWFV001.JPG,,taxable,standard-rate
Vitamin Water Zero Grape Raspberry Resilient-C 591ml ,,,Beverages->Water->Flavoured Water & Vitamin Water,,2.86,,,,,,,BWFV002,BWFV002.JPG,,taxable,standard-rate
Vitamin Water Zero Acai-Blueberry-Pomegranate XOXOX 591ml ,,,Beverages->Water->Flavoured Water & Vitamin Water,,2.86,,,,,,,BWFV003,BWFV003.JPG,,taxable,standard-rate
Vitamin Water Raspberry-Apple Defense 591ml ,,,Beverages->Water->Flavoured Water & Vitamin Water,,2.86,,,,,,,BWFV004,BWFV004.JPG,,taxable,standard-rate
Vitamin Water Kiwi-Strawberry Focus 591ml ,,,Beverages->Water->Flavoured Water & Vitamin Water,,2.86,,,,,,,BWFV005,BWFV005.JPG,,taxable,standard-rate
Vitamin Water Acai-Blueberry-Pomegranate XXX 591ml,,,Beverages->Water->Flavoured Water & Vitamin Water,,2.86,,,,,,,BWFV006,BWFV006.JPG,,taxable,standard-rate
Vitamin Water Fruit-Punch Restore 591ml ,,,Beverages->Water->Flavoured Water & Vitamin Water,,2.86,,,,,,,BWFV007,BWFV007.JPG,,taxable,standard-rate
Vitamin Water Tropical Citrus Energy 591ml,,,Beverages->Water->Flavoured Water & Vitamin Water,,2.86,,,,,,,BWFV008,BWFV008.JPG,,taxable,standard-rate
Vitamin Water Orange Essential 591ml,,,Beverages->Water->Flavoured Water & Vitamin Water,,2.86,,,,,,,BWFV009,BWFV009.JPG,,taxable,standard-rate
Vitamin Water Lemonade Multi-V 591ml,,,Beverages->Water->Flavoured Water & Vitamin Water,,2.86,,,,,,,BWFV010,BWFV010.JPG,,taxable,standard-rate
Vitamin Water Dragonfruit Mega C 591ml,,,Beverages->Water->Flavoured Water & Vitamin Water,,2.86,,,,,,,BWFV011,BWFV011.JPG,,taxable,standard-rate
Nestle Natures Blends Tropical Citrus 475ml,,,Beverages->Water->Flavoured Water & Vitamin Water,,2.29,,,,,,,BWFV015,BWFV015.JPG,,taxable,standard-rate
Nestle Natures Blends Acai Grape 475ml,,,Beverages->Water->Flavoured Water & Vitamin Water,,1.79,,,,,,,BWFV016,BWFV016.JPG,,taxable,standard-rate
Nestle Natures Blends Orange Mango 475ml,,,Beverages->Water->Flavoured Water & Vitamin Water,,1.79,,,,,,,BWFV017,BWFV017.JPG,,taxable,standard-rate
Nestle Wild Berry Splash Water 500ml 6Pk ,,,Beverages->Water->Flavoured Water & Vitamin Water,,4.99,,,,,,,BWFV018,BWFV018.JPG,,taxable,standard-rate
Nestle Acai Grape Splash Water 500ml 6Pk ,,,Beverages->Water->Flavoured Water & Vitamin Water,,4.99,,,,,,,BWFV019,BWFV019.JPG,,taxable,standard-rate
Nestle Raspberry Splash Water 500ml 6Pk ,,,Beverages->Water->Flavoured Water & Vitamin Water,,4.99,,,,,,,BWFV020,BWFV020.JPG,,taxable,standard-rate
Aquafina Grape Splash Water 500ml 6Pk ,,,Beverages->Water->Flavoured Water & Vitamin Water,,4.79,,,,,,,BWFV021,BWFV021.JPG,,taxable,standard-rate
Aquafina Raspberry Splash Water 500ml 6Pk ,,,Beverages->Water->Flavoured Water & Vitamin Water,,4.79,,,,,,,BWFV022,BWFV022.JPG,,taxable,standard-rate
