title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Alcan Aluminum Foil 50Ft,,,Home & Lifestyle->Home Supplies->Foil & Baking Pans ,,4.09,,,,,,,HHFB001,HHFB001.JPG,,taxable,standard-rate
Alcan Aluminum Foil 100Ft,,,Home & Lifestyle->Home Supplies->Foil & Baking Pans ,,6.99,,,,,,,HHFB002,HHFB002.JPG,,taxable,standard-rate
Alcan HD Foil Wrap Ultra Fort 30Ft,,,Home & Lifestyle->Home Supplies->Foil & Baking Pans ,,3.99,,,,,,,HHFB003,HHFB003.JPG,,taxable,standard-rate
Alcan Aluminum Foil 25Ft ,,,Home & Lifestyle->Home Supplies->Foil & Baking Pans ,,2.49,,,,,,,HHFB004,HHFB004.JPG,,taxable,standard-rate
Alcan HD Foil Wrap Ultra Fort 18in 7.62m,,,Home & Lifestyle->Home Supplies->Foil & Baking Pans ,,3.99,,,,,,,HHFB005,HHFB005.JPG,,taxable,standard-rate
Compliments Foil Wrap 50Ft,,,Home & Lifestyle->Home Supplies->Foil & Baking Pans ,,2.99,,,,,,,HHFB006,HHFB006.JPG,,taxable,standard-rate
Compliments Foil Wrap 25Ft,,,Home & Lifestyle->Home Supplies->Foil & Baking Pans ,,2.49,,,,,,,HHFB007,HHFB007.JPG,,taxable,standard-rate
Compliments Foil Wrap 100Ft,,,Home & Lifestyle->Home Supplies->Foil & Baking Pans ,,3.99,,,,,,,HHFB008,HHFB008.JPG,,taxable,standard-rate
Compliments Foil Heavy Duty 25ft,,,Home & Lifestyle->Home Supplies->Foil & Baking Pans ,,2.99,,,,,,,HHFB009,HHFB009.JPG,,taxable,standard-rate
BakeKing Tart Form 7.8cmx2.3cm 24Pk,,,Home & Lifestyle->Home Supplies->Foil & Baking Pans ,,1.99,,,,,,,HHFB010,HHFB010.JPG,,taxable,standard-rate
BakeKing Loaf Pans 22.2cmx11.7cmx5.7cm 5Pk,,,Home & Lifestyle->Home Supplies->Foil & Baking Pans ,,1.99,,,,,,,HHFB011,HHFB011.JPG,,taxable,standard-rate
BakeKing Cook n Freeze Small 14.6cmx12.1cmx3.54cm 3Pk,,,Home & Lifestyle->Home Supplies->Foil & Baking Pans ,,1.79,,,,,,,HHFB012,HHFB012.JPG,,taxable,standard-rate
BakeKing Shallow Cake Pans 23.2cmx16.2cmx2.8cm  4Pk,,,Home & Lifestyle->Home Supplies->Foil & Baking Pans ,,1.99,,,,,,,HHFB013,HHFB013.JPG,,taxable,standard-rate
BakeKing Round Cake Pans 21.5cmx3.8cm 5Pk,,,Home & Lifestyle->Home Supplies->Foil & Baking Pans ,,1.99,,,,,,,HHFB014,HHFB014.JPG,,taxable,standard-rate
BakeKing Square Cake Pans 21cmx21cmx5cm 3Pk,,,Home & Lifestyle->Home Supplies->Foil & Baking Pans ,,1.99,,,,,,,HHFB015,HHFB015.JPG,,taxable,standard-rate
BakeKing Meat Pie Plates 12.7cmx3.5xm 10Pk ,,,Home & Lifestyle->Home Supplies->Foil & Baking Pans ,,1.99,,,,,,,HHFB016,HHFB016.JPG,,taxable,standard-rate
BakeKing 9in ValuePak Pie Plates 22.8cmx3.2cm 15Pk,,,Home & Lifestyle->Home Supplies->Foil & Baking Pans ,,3.29,,,,,,,HHFB017,HHFB017.JPG,,taxable,standard-rate
BakeKing 9in Pie Plates 22.8cmx3.2cm 7Pk ,,,Home & Lifestyle->Home Supplies->Foil & Baking Pans ,,1.99,,,,,,,HHFB018,HHFB018.JPG,,taxable,standard-rate
BakeKing 8in Pie Plates 20.3cmx3.2cm 8Pk ,,,Home & Lifestyle->Home Supplies->Foil & Baking Pans ,,1.99,,,,,,,HHFB019,HHFB019.JPG,,taxable,standard-rate
BakeKing 6in Pie Plates 15.2cmx3.2cm 8Pk ,,,Home & Lifestyle->Home Supplies->Foil & Baking Pans ,,1.99,,,,,,,HHFB020,HHFB020.JPG,,taxable,standard-rate
BakeKing 10in Deep Pie Plates 24.4cmx3.5cm 5Pk ,,,Home & Lifestyle->Home Supplies->Foil & Baking Pans ,,1.99,,,,,,,HHFB021,HHFB021.JPG,,taxable,standard-rate
BakeKing Cook n Freeze 22.8cmx4.1cm 3Pk,,,Home & Lifestyle->Home Supplies->Foil & Baking Pans ,,2.29,,,,,,,HHFB022,HHFB022.JPG,,taxable,standard-rate
BakeKing Cook n Freeze Small Round 18.1cmx3.8cm 4Pk ,,,Home & Lifestyle->Home Supplies->Foil & Baking Pans ,,2.29,,,,,,,HHFB023,HHFB023.JPG,,taxable,standard-rate
BakeKing Cookies Sheets 40.6cmx28.9cmx1.6cm 2Pk,,,Home & Lifestyle->Home Supplies->Foil & Baking Pans ,,2.49,,,,,,,HHFB024,HHFB024.JPG,,taxable,standard-rate
BakeKing Pizze Pans 33cmx1.6cm 3Pk ,,,Home & Lifestyle->Home Supplies->Foil & Baking Pans ,,1.99,,,,,,,HHFB025,HHFB025.JPG,,taxable,standard-rate
BakeKing Muffin Pans 6.7cmx3.2cm 2Pk,,,Home & Lifestyle->Home Supplies->Foil & Baking Pans ,,1.99,,,,,,,HHFB026,HHFB026.JPG,,taxable,standard-rate
BakeKing Small lasagna/Roaster 32.4cmx26.4cmx6.4cm 2Pk,,,Home & Lifestyle->Home Supplies->Foil & Baking Pans ,,2.99,,,,,,,HHFB027,HHFB027.JPG,,taxable,standard-rate
BakeKing Foil Pan Oval Roast 47cmx35cmx8.3cm 1Pk ,,,Home & Lifestyle->Home Supplies->Foil & Baking Pans ,,2.99,,,,,,,HHFB028,HHFB028.JPG,,taxable,standard-rate
BakeKing Burner Guard Large 6Pk ,,,Home & Lifestyle->Home Supplies->Foil & Baking Pans ,,1.99,,,,,,,HHFB029,HHFB029.JPG,,taxable,standard-rate
BakeKing Burner Guard Small 10Pk ,,,Home & Lifestyle->Home Supplies->Foil & Baking Pans ,,1.99,,,,,,,HHFB030,HHFB030.JPG,,taxable,standard-rate
Look Oven Bag Large 2Bags ,,,Home & Lifestyle->Home Supplies->Foil & Baking Pans ,,3.06,,,,,,,HHFB031,HHFB031.JPG,,taxable,standard-rate
Reynolds Baking Cups Medium 75EA ,,,Home & Lifestyle->Home Supplies->Foil & Baking Pans ,,1.19,,,,,,,HHFB032,HHFB032.JPG,,taxable,standard-rate
Reynolds Baking Cups Large 50EA ,,,Home & Lifestyle->Home Supplies->Foil & Baking Pans ,,1.19,,,,,,,HHFB033,HHFB033.JPG,,taxable,standard-rate
