title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
"Kellogg's Special K Flatbread Egg, Vegetables and Cheese 2Pk ",,,Groceries->Frozen Foods->Frozen Breakfast,,4.49,,,,,,,GFFFB001,GFFFB001.JPG,,taxable,standard-rate
"Kellogg's Special K Flatbread Egg, Ham and Cheese 2Pk",,,Groceries->Frozen Foods->Frozen Breakfast,,4.49,,,,,,,GFFFB002,GFFFB002.JPG,,taxable,standard-rate
Kellogg's Special K Flatbread Egg and Sausage 2Pk,,,Groceries->Frozen Foods->Frozen Breakfast,,4.49,,,,,,,GFFFB003,GFFFB003.JPG,,taxable,standard-rate
Compliments Buttermilk Pancake 8Pk,,,Groceries->Frozen Foods->Frozen Breakfast,,2.49,,,,,,,GFFFB004,GFFFB004.JPG,,taxable,standard-rate
Compliments Balance Whole Wheat Waffles 8Pk,,,Groceries->Frozen Foods->Frozen Breakfast,,2.49,,,,,,,GFFFB005,GFFFB005.JPG,,taxable,standard-rate
Compliments Chocolate Chip Waffles 8Pk,,,Groceries->Frozen Foods->Frozen Breakfast,,2.49,,,,,,,GFFFB006,GFFFB006.JPG,,taxable,standard-rate
Compliments Original Belgian Waffles 6Pk,,,Groceries->Frozen Foods->Frozen Breakfast,,2.99,,,,,,,GFFFB007,GFFFB007.JPG,,taxable,standard-rate
Compliments Wild Jumbleberry Belgian Waffles 6Pk,,,Groceries->Frozen Foods->Frozen Breakfast,,2.99,,,,,,,GFFFB008,GFFFB008.JPG,,taxable,standard-rate
Compliments Banana Waffles 8Pk,,,Groceries->Frozen Foods->Frozen Breakfast,,2.49,,,,,,,GFFFB009,GFFFB009.JPG,,taxable,standard-rate
Compliments Raspberry Flavour Waffles 8Pk,,,Groceries->Frozen Foods->Frozen Breakfast,,2.49,,,,,,,GFFFB010,GFFFB010.JPG,,taxable,standard-rate
Compliments Wild Blueberry Pancakes 8Pk,,,Groceries->Frozen Foods->Frozen Breakfast,,2.49,,,,,,,GFFFB011,GFFFB011.JPG,,taxable,standard-rate
Compliments Original Waffles 8Pk,,,Groceries->Frozen Foods->Frozen Breakfast,,2.49,,,,,,,GFFFB012,GFFFB012.JPG,,taxable,standard-rate
Compliments Blueberry Flavour Waffles 8Pk,,,Groceries->Frozen Foods->Frozen Breakfast,,2.49,,,,,,,GFFFB013,GFFFB013.JPG,,taxable,standard-rate
Compliments Buttermilk Waffles 8Pk,,,Groceries->Frozen Foods->Frozen Breakfast,,2.49,,,,,,,GFFFB014,GFFFB014.JPG,,taxable,standard-rate
Compliments Cinnamon Toast Waffles 8Pk,,,Groceries->Frozen Foods->Frozen Breakfast,,2.49,,,,,,,GFFFB015,GFFFB015.JPG,,taxable,standard-rate
Kellogg's Eggo Pancakes Blueberry 8Pk ,,,Groceries->Frozen Foods->Frozen Breakfast,,3.37,,,,,,,GFFFB016,GFFFB016.JPG,,taxable,standard-rate
Kellogg's Eggo Waffles Original 8Pk,,,Groceries->Frozen Foods->Frozen Breakfast,,3.37,,,,,,,GFFFB017,GFFFB017.JPG,,taxable,standard-rate
Kellogg's Eggo Waffles Blueberry 8Pk,,,Groceries->Frozen Foods->Frozen Breakfast,,3.37,,,,,,,GFFFB018,GFFFB018.JPG,,taxable,standard-rate
