title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Cavendish Fries Crisp Coated 750g,,,Groceries->Frozen Foods->Frozen Fries & Onion Rings,,3.99,,,,,,,GFFFFOR001,GFFFFOR001.JPG,,taxable,standard-rate
Cavendish Fries Spicy Crisp Coated 750g,,,Groceries->Frozen Foods->Frozen Fries & Onion Rings,,3.99,,,,,,,GFFFFOR002,GFFFFOR002.JPG,,taxable,standard-rate
Cavendish Sweet Potato Crisp 454g,,,Groceries->Frozen Foods->Frozen Fries & Onion Rings,,3.99,,,,,,,GFFFFOR003,GFFFFOR003.JPG,,taxable,standard-rate
Cavendish Fries Thick Cut 750g,,,Groceries->Frozen Foods->Frozen Fries & Onion Rings,,3.99,,,,,,,GFFFFOR004,GFFFFOR004.JPG,,taxable,standard-rate
Cavendish Fries Straight Cut 750g,,,Groceries->Frozen Foods->Frozen Fries & Onion Rings,,3.99,,,,,,,GFFFFOR005,GFFFFOR005.JPG,,taxable,standard-rate
Cavendish Fries Potato Wedges 750g,,,Groceries->Frozen Foods->Frozen Fries & Onion Rings,,3.99,,,,,,,GFFFFOR006,GFFFFOR006.JPG,,taxable,standard-rate
McCain Fries Straight Cut 1Kg,,,Groceries->Frozen Foods->Frozen Fries & Onion Rings,,3.06,,,,,,,GFFFFOR007,GFFFFOR007.JPG,,taxable,standard-rate
McCain Fries Crinkle Cut 1Kg,,,Groceries->Frozen Foods->Frozen Fries & Onion Rings,,3.06,,,,,,,GFFFFOR008,GFFFFOR008.JPG,,taxable,standard-rate
McCain Fries Steak Cut 1Kg,,,Groceries->Frozen Foods->Frozen Fries & Onion Rings,,3.06,,,,,,,GFFFFOR009,GFFFFOR009.JPG,,taxable,standard-rate
McCain Fries Shoestring 1Kg,,,Groceries->Frozen Foods->Frozen Fries & Onion Rings,,3.06,,,,,,,GFFFFOR010,GFFFFOR010.JPG,,taxable,standard-rate
McCain Roasters Onion Rings 350g,,,Groceries->Frozen Foods->Frozen Fries & Onion Rings,,3.79,,,,,,,GFFFFOR011,GFFFFOR011.JPG,,taxable,standard-rate
McCain Superfries Straight Cut 900g,,,Groceries->Frozen Foods->Frozen Fries & Onion Rings,,4.09,,,,,,,GFFFFOR012,GFFFFOR012.JPG,,taxable,standard-rate
McCain Superfries Xtracrispy Straight Cut 750g,,,Groceries->Frozen Foods->Frozen Fries & Onion Rings,,4.09,,,,,,,GFFFFOR013,GFFFFOR013.JPG,,taxable,standard-rate
McCain Superfries Crinkle Cut 900g,,,Groceries->Frozen Foods->Frozen Fries & Onion Rings,,4.09,,,,,,,GFFFFOR014,GFFFFOR014.JPG,,taxable,standard-rate
