title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Green Giant Savoury Garlic Pasta 500g,,,Groceries->Frozen Food->Frozen Vegetables,,3.99,,,,,,,GFFFV001,GFFFV001.JPG,,taxable,standard-rate
Green Giant Vegetable Fried Rice 400g,,,Groceries->Frozen Food->Frozen Vegetables,,3.99,,,,,,,GFFFV002,GFFFV002.JPG,,taxable,standard-rate
Green Giant Antioxid Italian Blend 400g,,,Groceries->Frozen Food->Frozen Vegetables,,3.99,,,,,,,GFFFV003,GFFFV003.JPG,,taxable,standard-rate
Green Giant Fibre Asian Blend 400g,,,Groceries->Frozen Food->Frozen Vegetables,,3.99,,,,,,,GFFFV004,GFFFV004.JPG,,taxable,standard-rate
Green Giant Lima Beans 300g,,,Groceries->Frozen Food->Frozen Vegetables,,3.99,,,,,,,GFFFV005,GFFFV005.JPG,,taxable,standard-rate
Green Giant Cut Green Beans 750g,,,Groceries->Frozen Food->Frozen Vegetables,,4.19,,,,,,,GFFFV006,GFFFV006.JPG,,taxable,standard-rate
Green Giant French Style Green Beans 750g,,,Groceries->Frozen Food->Frozen Vegetables,,3.99,,,,,,,GFFFV007,GFFFV007.JPG,,taxable,standard-rate
Green Giant Mixed Vegetbales 750g,,,Groceries->Frozen Food->Frozen Vegetables,,3.99,,,,,,,GFFFV008,GFFFV008.JPG,,taxable,standard-rate
Green Giant Cheddar Pasta 500g,,,Groceries->Frozen Food->Frozen Vegetables,,4.19,,,,,,,GFFFV009,GFFFV009.JPG,,taxable,standard-rate
Green Giant Bean & Carrot Medly 500g,,,Groceries->Frozen Food->Frozen Vegetables,,4.19,,,,,,,GFFFV010,GFFFV010.JPG,,taxable,standard-rate
Green Giant Stir Fry Medly 400g,,,Groceries->Frozen Food->Frozen Vegetables,,3.99,,,,,,,GFFFV011,GFFFV011.JPG,,taxable,standard-rate
Green Giant Whole Green Beans 500g,,,Groceries->Frozen Food->Frozen Vegetables,,3.99,,,,,,,GFFFV012,GFFFV012.JPG,,taxable,standard-rate
Green Giant Niblets Whole Kernel Corn 750g,,,Groceries->Frozen Food->Frozen Vegetables,,4.19,,,,,,,GFFFV013,GFFFV013.JPG,,taxable,standard-rate
Green Giant Peaches & Cream Super Sweet Kernel Corn 750g,,,Groceries->Frozen Food->Frozen Vegetables,,4.19,,,,,,,GFFFV014,GFFFV014.JPG,,taxable,standard-rate
Green Giant California Mix 500g,,,Groceries->Frozen Food->Frozen Vegetables,,3.99,,,,,,,GFFFV015,GFFFV015.JPG,,taxable,standard-rate
Green Giant Japanese Mix 500g,,,Groceries->Frozen Food->Frozen Vegetables,,3.99,,,,,,,GFFFV016,GFFFV016.JPG,,taxable,standard-rate
Green Giant Baby Blend 400g,,,Groceries->Frozen Food->Frozen Vegetables,,3.99,,,,,,,GFFFV017,GFFFV017.JPG,,taxable,standard-rate
Green Giant Cut Broccoli 500g,,,Groceries->Frozen Food->Frozen Vegetables,,3.99,,,,,,,GFFFV018,GFFFV018.JPG,,taxable,standard-rate
Green Giant Summer Sweet Peas Assorted Size 750g,,,Groceries->Frozen Food->Frozen Vegetables,,4.19,,,,,,,GFFFV019,GFFFV019.JPG,,taxable,standard-rate
Green Giant Sweetlets Tender Young Peas 750g,,,Groceries->Frozen Food->Frozen Vegetables,,4.19,,,,,,,GFFFV020,GFFFV020.JPG,,taxable,standard-rate
Green Giant Simply Steam Sumer Sweet Peas 250g,,,Groceries->Frozen Food->Frozen Vegetables,,2.29,,,,,,,GFFFV021,GFFFV021.JPG,,taxable,standard-rate
Green Giant Simply Steam Brussels Sprouts 250g,,,Groceries->Frozen Food->Frozen Vegetables,,2.29,,,,,,,GFFFV022,GFFFV022.JPG,,taxable,standard-rate
Green Giant Simply Steam Peaches & Cream Whole Kernel Corn 250g,,,Groceries->Frozen Food->Frozen Vegetables,,2.29,,,,,,,GFFFV023,GFFFV023.JPG,,taxable,standard-rate
Green Giant Simply Steam Cut Broccoli & Cauliflower with Cheese 250g,,,Groceries->Frozen Food->Frozen Vegetables,,2.29,,,,,,,GFFFV024,GFFFV024.JPG,,taxable,standard-rate
Green Giant Simply Steam Lightly Seansoned Garden Vegetable Medley 226g,,,Groceries->Frozen Food->Frozen Vegetables,,2.29,,,,,,,GFFFV025,GFFFV025.JPG,,taxable,standard-rate
Green Giant Vegetable Rice Primavera 400g,,,Groceries->Frozen Food->Frozen Vegetables,,2.29,,,,,,,GFFFV026,GFFFV026.JPG,,taxable,standard-rate
Compliments Parisian Style Vegetable Blend 750g,,,Groceries->Frozen Food->Frozen Vegetables,,3.59,,,,,,,GFFFV027,GFFFV027.JPG,,taxable,standard-rate
Compliments Italian Style Vegetable Blend 750g,,,Groceries->Frozen Food->Frozen Vegetables,,3.59,,,,,,,GFFFV028,GFFFV028.JPG,,taxable,standard-rate
Compliments Garden Blend 750g,,,Groceries->Frozen Food->Frozen Vegetables,,3.59,,,,,,,GFFFV029,GFFFV029.JPG,,taxable,standard-rate
Compliments California Style Mixed Vegetables 750g,,,Groceries->Frozen Food->Frozen Vegetables,,3.59,,,,,,,GFFFV030,GFFFV030.JPG,,taxable,standard-rate
Compliments Harvest Vegetables 750g,,,Groceries->Frozen Food->Frozen Vegetables,,3.59,,,,,,,GFFFV031,GFFFV031.JPG,,taxable,standard-rate
Compliments Broccoli Florets 500g,,,Groceries->Frozen Food->Frozen Vegetables,,3.59,,,,,,,GFFFV032,GFFFV032.JPG,,taxable,standard-rate
Compliments Edamame 500g,,,Groceries->Frozen Food->Frozen Vegetables,,3.59,,,,,,,GFFFV033,GFFFV033.JPG,,taxable,standard-rate
Compliments Mandarin Style Stir-Fry 500g,,,Groceries->Frozen Food->Frozen Vegetables,,3.29,,,,,,,GFFFV034,GFFFV034.JPG,,taxable,standard-rate
Compliments Thai Style Stir Fry 500g,,,Groceries->Frozen Food->Frozen Vegetables,,3.29,,,,,,,GFFFV035,GFFFV035.JPG,,taxable,standard-rate
Compliments Chinese Style Stir Fry 500g,,,Groceries->Frozen Food->Frozen Vegetables,,3.29,,,,,,,GFFFV036,GFFFV036.JPG,,taxable,standard-rate
Compliments Asian Style Stir Fry 500g,,,Groceries->Frozen Food->Frozen Vegetables,,3.29,,,,,,,GFFFV037,GFFFV037.JPG,,taxable,standard-rate
