title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Lemon 0.4lb,,,Produce->Fruit & Vegetable->Fruit,,0.75,,,,,,,PFVF004,PFVF004.JPG,,non-taxable ,zero-rate
Seedless Mini Cucumbers 6Pk 397g ,,,Produce->Fruit & Vegetable->Fruit,,3.49,,,,,,,PFVF005,PFVF005.JPG,,non-taxable ,zero-rate
Avocados 0.5lb/Each,,,Produce->Fruit & Vegetable->Fruit,,0.99,,,,,,,PFVF006,PFVF006.JPG,,non-taxable ,zero-rate
Bosc Pears 0.4lb/Each,,,Produce->Fruit & Vegetable->Fruit,,0.79,,,,,,,PFVF008,PFVF008.JPG,,non-taxable ,zero-rate
Bartlett Pears 0.4lb/Each,,,Produce->Fruit & Vegetable->Fruit,,0.69,,,,,,,PFVF009,PFVF009.JPG,,non-taxable ,zero-rate
Asian Yellow Pears 1.2lb/Each,,,Produce->Fruit & Vegetable->Fruit,,0.99,,,,,,,PFVF011,PFVF011.JPG,,non-taxable ,zero-rate
Grape Fruit 0.8lb/Each ,,,Produce->Fruit & Vegetable->Fruit,,1.19,,,,,,,PFVF013,PFVF013.JPG,,non-taxable ,zero-rate
Key Limes 1lb ,,,Produce->Fruit & Vegetable->Fruit,,3.99,,,,,,,PFVF014,PFVF014.JPG,,non-taxable ,zero-rate
Limes 0.2lb/Each ,,,Produce->Fruit & Vegetable->Fruit,,0.5,,,,,,,PFVF015,PFVF015.JPG,,non-taxable ,zero-rate
Navel Oranges 3lb/Pack,,,Produce->Fruit & Vegetable->Fruit,,3.49,,,,,,,PFVF016,PFVF016.JPG,,non-taxable ,zero-rate
Lemons 2lb/Pack,,,Produce->Fruit & Vegetable->Fruit,,3.49,,,,,,,PFVF017,PFVF017.JPG,,non-taxable ,zero-rate
Lemons and Limes 2lb/Pack,,,Produce->Fruit & Vegetable->Fruit,,3.49,,,,,,,PFVF018,PFVF018.JPG,,non-taxable ,zero-rate
Grape Tomatoes 551ml/Pack,,,Produce->Fruit & Vegetable->Fruit,,2.49,,,,,,,PFVF019,PFVF019.JPG,,non-taxable ,zero-rate
Granny Smith Apples 0.5lb/Each,,,Produce->Fruit & Vegetable->Fruit,,0.99,,,,,,,PFVF022,PFVF022.JPG,,non-taxable ,zero-rate
Pink Lady Apple 0.5lb/Each,,,Produce->Fruit & Vegetable->Fruit,,0.99,,,,,,,PFVF023,PFVF023.JPG,,non-taxable ,zero-rate
Gala Apples 0.5lb,,,Produce->Fruit & Vegetable->Fruit,,0.99,,,,,,,PFVF024,PFVF024.JPG,,non-taxable ,zero-rate
Golden Delicious Apples 0.5lb/Each,,,Produce->Fruit & Vegetable->Fruit,,0.99,,,,,,,PFVF025,PFVF025.JPG,,non-taxable ,zero-rate
Red Delicious Apples 0.5lb/Each ,,,Produce->Fruit & Vegetable->Fruit,,0.99,,,,,,,PFVF026,PFVF026.JPG,,non-taxable ,zero-rate
Fuji Apples 0.5lb/Each,,,Produce->Fruit & Vegetable->Fruit,,0.99,,,,,,,PFVF027,PFVF027.JPG,,non-taxable ,zero-rate
Granny Smith Apples Bags 3lb/Pack,,,Produce->Fruit & Vegetable->Fruit,,5.49,,,,,,,PFVF028,PFVF028.JPG,,non-taxable ,zero-rate
Nectarines 0.6lb/Each,,,Produce->Fruit & Vegetable->Fruit,,1.49,,,,,,,PFVF030,PFVF030.JPG,,non-taxable ,zero-rate
Black Plums 0.2lb/Each,,,Produce->Fruit & Vegetable->Fruit,,0.39,,,,,,,PFVF031,PFVF031.JPG,,non-taxable ,zero-rate
Peaches 0.4lb/Each ,,,Produce->Fruit & Vegetable->Fruit,,0.69,,,,,,,PFVF032,PFVF032.JPG,,non-taxable ,zero-rate
Honeydew 8lb,,,Produce->Fruit & Vegetable->Fruit,,4.99,,,,,,,PFVF033,PFVF033.JPG,,non-taxable ,zero-rate
Cantaloupes 6lb,,,Produce->Fruit & Vegetable->Fruit,,3.99,,,,,,,PFVF034,PFVF034.JPG,,non-taxable ,zero-rate
Mini Watermelons 5lb,,,Produce->Fruit & Vegetable->Fruit,,4.99,,,,,,,PFVF035,PFVF035.JPG,,non-taxable ,zero-rate
Banana 0.4lb/Each,,,Produce->Fruit & Vegetable->Fruit,,0.29,,,,,,,PFVF036,PFVF036.JPG,,non-taxable ,zero-rate
Mangoes 0.8lb/Each,,,Produce->Fruit & Vegetable->Fruit,,1.39,,,,,,,PFVF038,PFVF038.JPG,,non-taxable ,zero-rate
Coconut ,,,Produce->Fruit & Vegetable->Fruit,,1.49,,,,,,,PFVF039,PFVF039.JPG,,non-taxable ,zero-rate
Carambola Starfruit 0.3lb/Each,,,Produce->Fruit & Vegetable->Fruit,,0.59,,,,,,,PFVF040,PFVF040.JPG,,non-taxable ,zero-rate
Kiwi 0.1lb/Each,,,Produce->Fruit & Vegetable->Fruit,,0.5,,,,,,,PFVF041,PFVF041.JPG,,non-taxable ,zero-rate
Golden Pineapples 3.7lb/Each,,,Produce->Fruit & Vegetable->Fruit,,2.99,,,,,,,PFVF043,PFVF043.JPG,,non-taxable ,zero-rate
Papaya 2.7lb/Each,,,Produce->Fruit & Vegetable->Fruit,,3.99,,,,,,,PFVF044,PFVF044.JPG,,non-taxable ,zero-rate
Kiwi Basket 2.2lb/Pack,,,Produce->Fruit & Vegetable->Fruit,,3.99,,,,,,,PFVF045,PFVF045.JPG,,non-taxable ,zero-rate
Strawberry 454g,,,Produce->Fruit & Vegetable->Fruit,,3.99,,,,,,,PFVF046,PFVF046.JPG,,non-taxable ,zero-rate
Raspberries 170g,,,Produce->Fruit & Vegetable->Fruit,,2.99,,,,,,,PFVF047,PFVF047.JPG,,non-taxable ,zero-rate
Blackberries 170g,,,Produce->Fruit & Vegetable->Fruit,,2.99,,,,,,,PFVF048,PFVF048.JPG,,non-taxable ,zero-rate
Red Globe Grapes 1.5lb/Pack,,,Produce->Fruit & Vegetable->Fruit,,4.49,,,,,,,PFVF051,PFVF051.JPG,,non-taxable ,zero-rate
Black Seedless Grapes 1.5lb/Pack,,,Produce->Fruit & Vegetable->Fruit,,4.49,,,,,,,PFVF052,PFVF052.JPG,,non-taxable ,zero-rate
Green Seedless Grapes 1.5lb/Pack,,,Produce->Fruit & Vegetable->Fruit,,4.49,,,,,,,PFVF053,PFVF053.JPG,,non-taxable ,zero-rate
Red Seedless Grapes 1.5lb/Pack ,,,Produce->Fruit & Vegetable->Fruit,,4.49,,,,,,,PFVF054,PFVF054.JPG,,non-taxable ,zero-rate
Blueberry 170g,,,Produce->Fruit & Vegetable->Fruit,,2.99,,,,,,,PFVF055,PFVF055.JPG,,non-taxable ,zero-rate
Watermelon 10lb,,,Produce->Fruit & Vegetable->Fruit,,3.99,,,,,,,PFVF056,PFVF056.JPG,,non-taxable ,zero-rate
