title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Glad Roomate Kitchen Catchers Bags Fresh Clean Scent 52Pk,,,Home & Lifestyle->Home Supplies->Garbage Bags,,6.59,,,,,,,HLHSGB001,HLHSGB001.JPG,,taxable,standard-rate
Glad Kitchen Tie'n Toss Catchers Bags Regular 36Pk,,,Home & Lifestyle->Home Supplies->Garbage Bags,,6.59,,,,,,,HLHSGB002,HLHSGB002.JPG,,taxable,standard-rate
Glad Kitchen Catchers Bags Regular 100Pk,,,Home & Lifestyle->Home Supplies->Garbage Bags,,10.49,,,,,,,HLHSGB003,HLHSGB003.JPG,,taxable,standard-rate
Glad Giant Garbage Bags 40Pk,,,Home & Lifestyle->Home Supplies->Garbage Bags,,19.99,,,,,,,HLHSGB004,HLHSGB004.JPG,,taxable,standard-rate
Glad Extra Large Garbage Bags 20Pk,,,Home & Lifestyle->Home Supplies->Garbage Bags,,12.49,,,,,,,HLHSGB005,HLHSGB005.JPG,,taxable,standard-rate
Glad Forceflex Tall Kitchen Catchers Bags 22Pk,,,Home & Lifestyle->Home Supplies->Garbage Bags,,6.49,,,,,,,HLHSGB006,HLHSGB006.JPG,,taxable,standard-rate
Glad ForceFlex Tie'n Toss Tall Kitchen Catchers Bags 34Pk,,,Home & Lifestyle->Home Supplies->Garbage Bags,,9.99,,,,,,,HLHSGB007,HLHSGB007.JPG,,taxable,standard-rate
Glad Regular Clear Kitchen Catchers Bags Multi Purpose 48Pk,,,Home & Lifestyle->Home Supplies->Garbage Bags,,6.59,,,,,,,HLHSGB008,HLHSGB008.JPG,,taxable,standard-rate
Glad Clear Kitchen Catchers Bags Regular Fresh Clean Scent 48Pk,,,Home & Lifestyle->Home Supplies->Garbage Bags,,6.59,,,,,,,HLHSGB009,HLHSGB009.JPG,,taxable,standard-rate
Glad ForceFlex Large Garbage Bags 15Pk,,,Home & Lifestyle->Home Supplies->Garbage Bags,,6.49,,,,,,,HLHSGB010,HLHSGB010.JPG,,taxable,standard-rate
Glad Large Tie'n Toss Garbage Bags 20Pk,,,Home & Lifestyle->Home Supplies->Garbage Bags,,9.99,,,,,,,HLHSGB011,HLHSGB011.JPG,,taxable,standard-rate
