title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Stride Spark Kinetic Mint 3pk,,,Snacks & Candies->Candies & Chocolates->Gum,,3.99,,,,,,,SCCCG001,SCCCG001.JPG,,taxable,standard-rate
Stride Uber Bubble 3pk,,,Snacks & Candies->Candies & Chocolates->Gum,,3.99,,,,,,,SCCCG002,SCCCG002.JPG,,taxable,standard-rate
Stride Sweet Peppermint 3pk,,,Snacks & Candies->Candies & Chocolates->Gum,,3.99,,,,,,,SCCCG003,SCCCG003.JPG,,taxable,standard-rate
Stride Spearmint,,,Snacks & Candies->Candies & Chocolates->Gum,,3.99,,,,,,,SCCCG004,SCCCG004.JPG,,taxable,standard-rate
Extra Bubblemint Megapak,,,Snacks & Candies->Candies & Chocolates->Gum,,3.99,,,,,,,SCCCG005,SCCCG005.JPG,,taxable,standard-rate
Extra Peppermint Megapak MTP,,,Snacks & Candies->Candies & Chocolates->Gum,,4.29,,,,,,,SCCCG006,SCCCG006.JPG,,taxable,standard-rate
Extra Spearmint Meagapak MTP,,,Snacks & Candies->Candies & Chocolates->Gum,,3.99,,,,,,,SCCCG007,SCCCG007.JPG,,taxable,standard-rate
Extra Cool Ice Megapak 3pk,,,Snacks & Candies->Candies & Chocolates->Gum,,4.29,,,,,,,SCCCG008,SCCCG008.JPG,,taxable,standard-rate
5 Rain 3pk,,,Snacks & Candies->Candies & Chocolates->Gum,,4.92,,,,,,,SCCCG009,SCCCG009.JPG,,taxable,standard-rate
5 Mint 3pk,,,Snacks & Candies->Candies & Chocolates->Gum,,4.92,,,,,,,SCCCG010,SCCCG010.JPG,,taxable,standard-rate
5 Cobalt 3pk,,,Snacks & Candies->Candies & Chocolates->Gum,,4.92,,,,,,,SCCCG011,SCCCG011.JPG,,taxable,standard-rate
5 Soltice 3pk,,,Snacks & Candies->Candies & Chocolates->Gum,,4.92,,,,,,,SCCCG012,SCCCG012.JPG,,taxable,standard-rate
5 Beta 3pk,,,Snacks & Candies->Candies & Chocolates->Gum,,4.92,,,,,,,SCCCG013,SCCCG013.JPG,,taxable,standard-rate
Clorets Pure Clear Mint,,,Snacks & Candies->Candies & Chocolates->Gum,,4.92,,,,,,,SCCCG014,SCCCG014.JPG,,taxable,standard-rate
Excel White Bubble Mint 4pk,,,Snacks & Candies->Candies & Chocolates->Gum,,4.92,,,,,,,SCCCG015,SCCCG015.JPG,,taxable,standard-rate
Excel White Winterfresh 4pk,,,Snacks & Candies->Candies & Chocolates->Gum,,4.92,,,,,,,SCCCG016,SCCCG016.JPG,,taxable,standard-rate
Excel Peppermint 4pk,,,Snacks & Candies->Candies & Chocolates->Gum,,4.92,,,,,,,SCCCG017,SCCCG017.JPG,,taxable,standard-rate
Excel Winterfresh 4 pk,,,Snacks & Candies->Candies & Chocolates->Gum,,4.92,,,,,,,SCCCG018,SCCCG018.JPG,,taxable,standard-rate
Excel Polar Ice 4pk,,,Snacks & Candies->Candies & Chocolates->Gum,,4.92,,,,,,,SCCCG019,SCCCG019.JPG,,taxable,standard-rate
Excel Spearmint 4pk,,,Snacks & Candies->Candies & Chocolates->Gum,,4.92,,,,,,,SCCCG020,SCCCG020.JPG,,taxable,standard-rate
Excel Chlorophyll 4pk,,,Snacks & Candies->Candies & Chocolates->Gum,,4.92,,,,,,,SCCCG021,SCCCG021.JPG,,taxable,standard-rate
Excel Variety 4pk,,,Snacks & Candies->Candies & Chocolates->Gum,,4.92,,,,,,,SCCCG022,SCCCG022.JPG,,taxable,standard-rate
