title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Lou's Quick-N-Easy Slow Roasted Shaved Beef 400g,,,Goceries->Ham & Sausages ,,6.99,,,,,,,GHS001,GHS001.JPG,,taxable,standard-rate
Lou's Quick-N-Easy Slow Roasted Beef Pot Roast 400g,,,Goceries->Ham & Sausages ,,6.99,,,,,,,GHS002,GHS002.JPG,,taxable,standard-rate
Lou's Quick-N-Easy Slow Roasted Turkey 400g,,,Goceries->Ham & Sausages ,,6.99,,,,,,,GHS003,GHS003.JPG,,taxable,standard-rate
Lou's Quick-N-Easy Slow Roasted Beef Tips 375g,,,Goceries->Ham & Sausages ,,6.99,,,,,,,GHS004,GHS004.JPG,,taxable,standard-rate
Lou's Quick-N-Easy Slow Roasted Butter Chicken 400g,,,Goceries->Ham & Sausages ,,6.99,,,,,,,GHS005,GHS005.JPG,,taxable,standard-rate
Prime Oven Roasted Turkey Breast Slices 400g,,,Goceries->Ham & Sausages ,,11.99,,,,,,,GHS012,GHS012.JPG,,taxable,standard-rate
Lilydale Oven Roasted Chicken Breasts 400g,,,Goceries->Ham & Sausages ,,9.99,,,,,,,GHS014,GHS014.JPG,,taxable,standard-rate
Schneider's Oktoberfest Smoked Sausage 375g 5Pk,,,Goceries->Ham & Sausages ,,5.79,,,,,,,GHS015,GHS015.JPG,,taxable,standard-rate
Schneider's Country Naturals Hot & Spicy Smoked Sausage 300g 4Pk,,,Goceries->Ham & Sausages ,,5.79,,,,,,,GHS017,GHS017.JPG,,taxable,standard-rate
Schneider's Country Naturals Original Smoked Sausage 300g 4Pk,,,Goceries->Ham & Sausages ,,5.79,,,,,,,GHS018,GHS018.JPG,,taxable,standard-rate
Schneider's Country Naturals Smoked Sausage with Cheddar Cheese 300g 4Pk,,,Goceries->Ham & Sausages ,,5.79,,,,,,,GHS019,GHS019.JPG,,taxable,standard-rate
Schneider's Lunch Mate Turkey 103g,,,Goceries->Ham & Sausages ,,3.49,,,,,,,GHS020,GHS020.JPG,,taxable,standard-rate
Schneider's Lunch Mate Ham 103g,,,Goceries->Ham & Sausages ,,3.49,,,,,,,GHS022,GHS022.JPG,,taxable,standard-rate
Schneider's Lunch Mate Mini Burgers 109g,,,Goceries->Ham & Sausages ,,2.99,,,,,,,GHS023,GHS023.JPG,,taxable,standard-rate
Schneider's Lunch Mate Summer Sausage 103g,,,Goceries->Ham & Sausages ,,3.49,,,,,,,GHS024,GHS024.JPG,,taxable,standard-rate
Schneider's Lunch Mate Kielbassa 103g,,,Goceries->Ham & Sausages ,,3.49,,,,,,,GHS025,GHS025.JPG,,taxable,standard-rate
Schneider's Lunch Mate +Fruit Turkey 206g,,,Goceries->Ham & Sausages ,,4.49,,,,,,,GHS028,GHS028.JPG,,taxable,standard-rate
Schneider's Lunch Mate +Fruit Chicken 206g,,,Goceries->Ham & Sausages ,,4.49,,,,,,,GHS029,GHS029.JPG,,taxable,standard-rate
Schneider's Cooked Salami 175g,,,Goceries->Ham & Sausages ,,3.99,,,,,,,GHS030,GHS030.JPG,,taxable,standard-rate
Schneider's Thuringer Summer Sausage 175g,,,Goceries->Ham & Sausages ,,3.99,,,,,,,GHS031,GHS031.JPG,,taxable,standard-rate
Schneider's Blue Ribbon Bologna 175g,,,Goceries->Ham & Sausages ,,2.99,,,,,,,GHS032,GHS032.JPG,,taxable,standard-rate
Schneider's Kielbassa Sausage 175g,,,Goceries->Ham & Sausages ,,3.69,,,,,,,GHS033,GHS033.JPG,,taxable,standard-rate
Schneider's Luncheon Meat 175g,,,Goceries->Ham & Sausages ,,2.99,,,,,,,GHS034,GHS034.JPG,,taxable,standard-rate
Schneider's Cooked Ham 175g,,,Goceries->Ham & Sausages ,,3.69,,,,,,,GHS036,GHS036.JPG,,taxable,standard-rate
Schneider's Braunschweiger Spread 250g,,,Goceries->Ham & Sausages ,,3.99,,,,,,,GHS037,GHS037.JPG,,taxable,standard-rate
Schneider's Liver and Bacon Spread 250g,,,Goceries->Ham & Sausages ,,3.99,,,,,,,GHS038,GHS038.JPG,,taxable,standard-rate
Schneider's Fine Liverwurst Spread 250g,,,Goceries->Ham & Sausages ,,3.99,,,,,,,GHS039,GHS039.JPG,,taxable,standard-rate
Schneider's Blue Ribbon Bologna Extra Thing 500g,,,Goceries->Ham & Sausages ,,4.99,,,,,,,GHS040,GHS040.JPG,,taxable,standard-rate
Schneider's Blue Ribbon Bologna 500g,,,Goceries->Ham & Sausages ,,4.99,,,,,,,GHS041,GHS041.JPG,,taxable,standard-rate
Schneider's Blue Ribbon Bologna Extra Thick 500g,,,Goceries->Ham & Sausages ,,4.99,,,,,,,GHS042,GHS042.JPG,,taxable,standard-rate
Schneider's Dutch Treet Garlic Bologna 500g,,,Goceries->Ham & Sausages ,,4.99,,,,,,,GHS043,GHS043.JPG,,taxable,standard-rate
Schneider's Pepperettes Sausage Snack Smokey Bacon 450g,,,Goceries->Ham & Sausages ,,8.99,,,,,,,GHS044,GHS044.JPG,,taxable,standard-rate
Schneider's Pepperettes Sausage Snack Turkey 450g ,,,Goceries->Ham & Sausages ,,8.99,,,,,,,GHS045,GHS045.JPG,,taxable,standard-rate
Schneider's Pepperettes Sausage Snack Original 450g,,,Goceries->Ham & Sausages ,,8.99,,,,,,,GHS046,GHS046.JPG,,taxable,standard-rate
Schneider's Natually Smoked Bacon Less Salt 500g,,,Goceries->Ham & Sausages ,,5.99,,,,,,,GHS047,GHS047.JPG,,taxable,standard-rate
Schneider's Kielbassa Sausage 250g,,,Goceries->Ham & Sausages ,,5.79,,,,,,,GHS048,GHS048.JPG,,taxable,standard-rate
Schneider's Pepperettes Sausage Snack Smokey bacon 125g,,,Goceries->Ham & Sausages ,,3.29,,,,,,,GHS049,GHS049.JPG,,taxable,standard-rate
Schneider's Pepperettes Sausage Snack Beef 125g,,,Goceries->Ham & Sausages ,,3.29,,,,,,,GHS050,GHS050.JPG,,taxable,standard-rate
Schneider's Pepperettes Sausage Snack turkey 125g,,,Goceries->Ham & Sausages ,,3.29,,,,,,,GHS051,GHS051.JPG,,taxable,standard-rate
Schneider's Pepperettes Sausage Snack Dry Sausage Napoli Style 90g,,,Goceries->Ham & Sausages ,,3.99,,,,,,,GHS052,GHS052.JPG,,taxable,standard-rate
Schneider's Deli Shaved Smoked Ham 200g,,,Goceries->Ham & Sausages ,,4.49,,,,,,,GHS053,GHS053.JPG,,taxable,standard-rate
Schneider's Deli Shaved Smoked Turkey Breast 150g,,,Goceries->Ham & Sausages ,,4.99,,,,,,,GHS054,GHS054.JPG,,taxable,standard-rate
Canadian Beef Slices Bacon Gluten Free 375g,,,Goceries->Ham & Sausages ,,5.99,,,,,,,GHS055,GHS055.JPG,,taxable,standard-rate
