title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Compliments Ice Cream Cones Vanilla 12Pk,,,Groceries->Frozen Foods->Ice Cream ,,9.22,,,,,,,GFFIC001,GFFIC001.JPG,,taxable,standard-rate
Compliments Ice Cream Variety Pack 24Pk,,,Groceries->Frozen Foods->Ice Cream ,,7.49,,,,,,,GFFIC002,GFFIC002.JPG,,taxable,standard-rate
Compliments Ice Cream Chocolatey Coated Bars 24Pk,,,Groceries->Frozen Foods->Ice Cream ,,7.49,,,,,,,GFFIC003,GFFIC003.JPG,,taxable,standard-rate
Compliments Ice Cream Fudge Ice Milk Bars 24Pk,,,Groceries->Frozen Foods->Ice Cream ,,7.49,,,,,,,GFFIC004,GFFIC004.JPG,,taxable,standard-rate
Compliments Ice Cream Twin Ice Pops 24Pk,,,Groceries->Frozen Foods->Ice Cream ,,4.99,,,,,,,GFFIC005,GFFIC005.JPG,,taxable,standard-rate
Compliments Ice Cream Pops Assorted 12Pk,,,Groceries->Frozen Foods->Ice Cream ,,3.99,,,,,,,GFFIC006,GFFIC006.JPG,,taxable,standard-rate
Compliments Ice Cream Chocolatey Coated Bars 12Pk ,,,Groceries->Frozen Foods->Ice Cream ,,3.99,,,,,,,GFFIC007,GFFIC007.JPG,,taxable,standard-rate
Compliments Ice Cream Fudge Ice Milk Bars 12Pk ,,,Groceries->Frozen Foods->Ice Cream ,,3.99,,,,,,,GFFIC008,GFFIC008.JPG,,taxable,standard-rate
Compliments Ice Cream Twin Ice Pops 12Pk ,,,Groceries->Frozen Foods->Ice Cream ,,3.29,,,,,,,GFFIC009,GFFIC009.JPG,,taxable,standard-rate
Compliments Ice Cream Rolly's Ice Pops 12Pk ,,,Groceries->Frozen Foods->Ice Cream ,,3.99,,,,,,,GFFIC010,GFFIC010.JPG,,taxable,standard-rate
Luigi's Italian Ice Cream Mango 6Pk,,,Groceries->Frozen Foods->Ice Cream ,,5.99,,,,,,,GFFIC011,GFFIC011.JPG,,taxable,standard-rate
Luigi's italian Ice Cream Variety Pk 6Pk,,,Groceries->Frozen Foods->Ice Cream ,,5.99,,,,,,,GFFIC012,GFFIC012.JPG,,taxable,standard-rate
Melona Ice Cream Melon 8Pk,,,Groceries->Frozen Foods->Ice Cream ,,5.49,,,,,,,GFFIC013,GFFIC013.JPG,,taxable,standard-rate
