title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Yoplait MiniGo Strawberry/Pineapple-Mango-Banana/Raspberry 6Pk,,,Groceries->Dairy & Dairy Products->Kids Yogurt & Yogurt Beverage ,,3.78,,,,,,,BDKY001,BDKY001.JPG,,taxable,standard-rate
Yoplait MiniGo Strawberry/Vanilla/Blueberry 6Pk,,,Groceries->Dairy & Dairy Products->Kids Yogurt & Yogurt Beverage ,,3.78,,,,,,,BDKY002,BDKY002.JPG,,taxable,standard-rate
Yoplait MiniGo Strawberry/Apple-Raspberry/Banana 6Pk,,,Groceries->Dairy & Dairy Products->Kids Yogurt & Yogurt Beverage ,,3.78,,,,,,,BDKY003,BDKY003.JPG,,taxable,standard-rate
Yoplait MiniGo Duo Raspberry-Peach/Peach-Vanilla/Vanilla-Raspberry Pk6,,,Groceries->Dairy & Dairy Products->Kids Yogurt & Yogurt Beverage ,,3.78,,,,,,,BDKY004,BDKY004.JPG,,taxable,standard-rate
Yoplait MiniGo Duo Blueberry-Strawberry/Strawberry-Banana/Banana/Blueberry 6Pk,,,Groceries->Dairy & Dairy Products->Kids Yogurt & Yogurt Beverage ,,3.78,,,,,,,BDKY005,BDKY005.JPG,,taxable,standard-rate
Danone Danino Yogurt Strawberry/Peach/Blueberry 6Pk,,,Groceries->Dairy & Dairy Products->Kids Yogurt & Yogurt Beverage ,,3.57,,,,,,,BDKY006,BDKY006.JPG,,taxable,standard-rate
Danone Danino Yogurt Strawberry/Strawberry-Banana/Strawberry-Vanilla 6Pk,,,Groceries->Dairy & Dairy Products->Kids Yogurt & Yogurt Beverage ,,3.57,,,,,,,BDKY007,BDKY007.JPG,,taxable,standard-rate
Iogo Nano Fresh Cheese Strawberry/Strawberry-Banana/Blueberry 6Pk,,,Groceries->Dairy & Dairy Products->Kids Yogurt & Yogurt Beverage ,,3.29,,,,,,,BDKY008,BDKY008.JPG,,taxable,standard-rate
Iogo Nano Fresh Cheese Strawberry/Raspberry/Vanilla 6Pk,,,Groceries->Dairy & Dairy Products->Kids Yogurt & Yogurt Beverage ,,3.29,,,,,,,BDKY009,BDKY009.JPG,,taxable,standard-rate
Iogo Nano Fresh Cheese Blueberry-Banana/Strawberry-Blueberry/Strawberry-Banana 6Pk,,,Groceries->Dairy & Dairy Products->Kids Yogurt & Yogurt Beverage ,,3.29,,,,,,,BDKY010,BDKY010.JPG,,taxable,standard-rate
Iogo Zip Tube 2.5% Duo Passion Fruit & Orange 8Pk,,,Groceries->Dairy & Dairy Products->Kids Yogurt & Yogurt Beverage ,,3.29,,,,,,,BDKY011,BDKY011.JPG,,taxable,standard-rate
Iogo Zip Tube 2.5% Duo Strawberry & Pineapple-Cherry 8Pk,,,Groceries->Dairy & Dairy Products->Kids Yogurt & Yogurt Beverage ,,3.29,,,,,,,BDKY012,BDKY012.JPG,,taxable,standard-rate
Iogo Zip Tube 2.5% Duo Raspberry/Strawberry-Banana 8Pk,,,Groceries->Dairy & Dairy Products->Kids Yogurt & Yogurt Beverage ,,3.29,,,,,,,BDKY013,BDKY013.JPG,,taxable,standard-rate
Iogo Yogurt Nomad Drink Tropical 300ml ,,,Groceries->Dairy & Dairy Products->Kids Yogurt & Yogurt Beverage ,,1.79,,,,,,,BDKY014,BDKY014.JPG,,taxable,standard-rate
Iogo Yogurt Nomad Drink Strawberry 300ml ,,,Groceries->Dairy & Dairy Products->Kids Yogurt & Yogurt Beverage ,,1.79,,,,,,,BDKY015,BDKY015.JPG,,taxable,standard-rate
Iogo Nano Drinkable 1.5% Raspberry 93ml 6Pk ,,,Groceries->Dairy & Dairy Products->Kids Yogurt & Yogurt Beverage ,,3.99,,,,,,,BDKY016,BDKY016.JPG,,taxable,standard-rate
Iogo Nano Drinkable 1.5% Strawberry 93ml 6Pk,,,Groceries->Dairy & Dairy Products->Kids Yogurt & Yogurt Beverage ,,3.99,,,,,,,BDKY017,BDKY017.JPG,,taxable,standard-rate
Iogo Nano Nomad Drink Blueberry & Blackberry 200ml,,,Groceries->Dairy & Dairy Products->Kids Yogurt & Yogurt Beverage ,,1.42,,,,,,,BDKY018,BDKY018.JPG,,taxable,standard-rate
Iogo Nano Nomad Drink Vanilla 200ml,,,Groceries->Dairy & Dairy Products->Kids Yogurt & Yogurt Beverage ,,1.42,,,,,,,BDKY019,BDKY019.JPG,,taxable,standard-rate
Danone Coolision Dual Tube Strawberry & Blueberry Pk6,,,Groceries->Dairy & Dairy Products->Kids Yogurt & Yogurt Beverage ,,3.58,,,,,,,BDKY020,BDKY020.JPG,,taxable,standard-rate
Danone Coolision Dual Tube Cherry & Berry Splash 6Pk ,,,Groceries->Dairy & Dairy Products->Kids Yogurt & Yogurt Beverage ,,3.58,,,,,,,BDKY021,BDKY021.JPG,,taxable,standard-rate
Yoplait Tubes Raspberry Grape 8Pk,,,Groceries->Dairy & Dairy Products->Kids Yogurt & Yogurt Beverage ,,3.78,,,,,,,BDKY022,BDKY022.JPG,,taxable,standard-rate
Yoplait Tubes Peach & Blueberry 8Pk,,,Groceries->Dairy & Dairy Products->Kids Yogurt & Yogurt Beverage ,,3.78,,,,,,,BDKY023,BDKY023.JPG,,taxable,standard-rate
Yoplait Tubes Fruit Punch & Strawberry-Banana 8Pk,,,Groceries->Dairy & Dairy Products->Kids Yogurt & Yogurt Beverage ,,3.78,,,,,,,BDKY024,BDKY024.JPG,,taxable,standard-rate
Yoplait Tubes Cherry & Strawberry 8Pk,,,Groceries->Dairy & Dairy Products->Kids Yogurt & Yogurt Beverage ,,3.78,,,,,,,BDKY025,BDKY025.JPG,,taxable,standard-rate
Astro Kik Strawberry Explosion 200ml ,,,Groceries->Dairy & Dairy Products->Kids Yogurt & Yogurt Beverage ,,1.32,,,,,,,BDKY026,BDKY026.JPG,,taxable,standard-rate
Astro Kik Blueberry Blast 200ml ,,,Groceries->Dairy & Dairy Products->Kids Yogurt & Yogurt Beverage ,,1.32,,,,,,,BDKY027,BDKY027.JPG,,taxable,standard-rate
Astro Kik Raspberry Banana 200ml ,,,Groceries->Dairy & Dairy Products->Kids Yogurt & Yogurt Beverage ,,1.32,,,,,,,BDKY028,BDKY028.JPG,,taxable,standard-rate
Astro Kik Strawberry Explosion 4Pk ,,,Groceries->Dairy & Dairy Products->Kids Yogurt & Yogurt Beverage ,,4.39,,,,,,,BDKY029,BDKY029.JPG,,taxable,standard-rate
Astro Kik Blueberry Blast 4Pk ,,,Groceries->Dairy & Dairy Products->Kids Yogurt & Yogurt Beverage ,,4.39,,,,,,,BDKY030,BDKY030.JPG,,taxable,standard-rate
Astro Kik Raspberry Banana 4Pk ,,,Groceries->Dairy & Dairy Products->Kids Yogurt & Yogurt Beverage ,,4.39,,,,,,,BDKY031,BDKY031.JPG,,taxable,standard-rate
Astro Original 0% Greek Drink Yogurt HoneyBerry 200ml ,,,Groceries->Dairy & Dairy Products->Kids Yogurt & Yogurt Beverage ,,1.99,,,,,,,BDKY032,BDKY032.JPG,,taxable,standard-rate
Astro Original 0% Greek Drink Yogurt Raspberry & Vanilla 200ml,,,Groceries->Dairy & Dairy Products->Kids Yogurt & Yogurt Beverage ,,1.99,,,,,,,BDKY033,BDKY033.JPG,,taxable,standard-rate
Astro Original 0% Greek Drink Yogurt Strawberry 200ml,,,Groceries->Dairy & Dairy Products->Kids Yogurt & Yogurt Beverage ,,1.99,,,,,,,BDKY034,BDKY034.JPG,,taxable,standard-rate
Danone Danino Go Drinkable Apple Grape 93ml 8Pk ,,,Groceries->Dairy & Dairy Products->Kids Yogurt & Yogurt Beverage ,,5.99,,,,,,,BDKY035,BDKY035.JPG,,taxable,standard-rate
Danone Danino Go Drinkable Raspberry 93ml 8Pk ,,,Groceries->Dairy & Dairy Products->Kids Yogurt & Yogurt Beverage ,,5.99,,,,,,,BDKY036,BDKY036.JPG,,taxable,standard-rate
Danone Danino Go Drinkable Banana 93ml 8Pk ,,,Groceries->Dairy & Dairy Products->Kids Yogurt & Yogurt Beverage ,,5.99,,,,,,,BDKY037,BDKY037.JPG,,taxable,standard-rate
Danone Danino Go Drinkable Strawberry 93ml 8Pk ,,,Groceries->Dairy & Dairy Products->Kids Yogurt & Yogurt Beverage ,,5.99,,,,,,,BDKY038,BDKY038.JPG,,taxable,standard-rate
Yoplait Yop Yogurt Drink Strawberry/Raspberry/Strawberry-Banana 200ml 6Pk,,,Groceries->Dairy & Dairy Products->Kids Yogurt & Yogurt Beverage ,,5.99,,,,,,,BDKY039,BDKY039.JPG,,taxable,standard-rate
Yoplait Yop Vanilla 200ml,,,Groceries->Dairy & Dairy Products->Kids Yogurt & Yogurt Beverage ,,1.32,,,,,,,BDKY040,BDKY040.JPG,,taxable,standard-rate
Yoplait Yop Strawberry&Banana 200ml,,,Groceries->Dairy & Dairy Products->Kids Yogurt & Yogurt Beverage ,,1.32,,,,,,,BDKY041,BDKY041.JPG,,taxable,standard-rate
Yoplait Yop Raspberry 200ml,,,Groceries->Dairy & Dairy Products->Kids Yogurt & Yogurt Beverage ,,1.32,,,,,,,BDKY042,BDKY042.JPG,,taxable,standard-rate
Yoplait Yop Strawberry 200ml,,,Groceries->Dairy & Dairy Products->Kids Yogurt & Yogurt Beverage ,,1.32,,,,,,,BDKY043,BDKY043.JPG,,taxable,standard-rate
Yoplait Yop Banana 200ml,,,Groceries->Dairy & Dairy Products->Kids Yogurt & Yogurt Beverage ,,1.32,,,,,,,BDKY044,BDKY044.JPG,,taxable,standard-rate
Yoplait Yop Blueberry 200ml,,,Groceries->Dairy & Dairy Products->Kids Yogurt & Yogurt Beverage ,,1.32,,,,,,,BDKY045,BDKY045.JPG,,taxable,standard-rate
Yoplait Yop Peaches 200ml,,,Groceries->Dairy & Dairy Products->Kids Yogurt & Yogurt Beverage ,,1.32,,,,,,,BDKY046,BDKY046.JPG,,taxable,standard-rate
