title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Lays Sour Cream & Onion 270g,,,Snacks & Candies->Chips & Popcorn->Lays ,,3.49,,,,,,,SCL001,SCL001.JPG,,taxable ,standard-rate 
Lays Cheddar & Sour Cream 270g ,,,Snacks & Candies->Chips & Popcorn->Lays ,,3.49,,,,,,,SCL002,SCL002.JPG,,taxable ,standard-rate 
Lays Smokey Bacon 270g ,,,Snacks & Candies->Chips & Popcorn->Lays ,,3.49,,,,,,,SCL003,SCL003.JPG,,taxable ,standard-rate 
Lays Sea Salt & Pepper 270g ,,,Snacks & Candies->Chips & Popcorn->Lays ,,3.49,,,,,,,SCL004,SCL004.JPG,,taxable ,standard-rate 
Lays Wavy Regualr 270g ,,,Snacks & Candies->Chips & Popcorn->Lays ,,3.49,,,,,,,SCL005,SCL005.JPG,,taxable ,standard-rate 
Lays Classic 270g ,,,Snacks & Candies->Chips & Popcorn->Lays ,,3.49,,,,,,,SCL006,SCL006.JPG,,taxable ,standard-rate 
Lays Potato Chips Ketchup 270g ,,,Snacks & Candies->Chips & Popcorn->Lays ,,3.49,,,,,,,SCL007,SCL007.JPG,,taxable ,standard-rate 
Lays BBQ 270g ,,,Snacks & Candies->Chips & Popcorn->Lays ,,3.49,,,,,,,SCL008,SCL008.JPG,,taxable ,standard-rate 
Lays Lightly Salted 270g,,,Snacks & Candies->Chips & Popcorn->Lays ,,3.49,,,,,,,SCL009,SCL009.JPG,,taxable ,standard-rate 
Lays Salt & Vinegar 270g ,,,Snacks & Candies->Chips & Popcorn->Lays ,,3.49,,,,,,,SCL010,SCL010.JPG,,taxable ,standard-rate 
Lays Dill Pickles 270g ,,,Snacks & Candies->Chips & Popcorn->Lays ,,3.49,,,,,,,SCL011,SCL011.JPG,,taxable ,standard-rate 
Lays Salt & Vinegar 220g ,,,Snacks & Candies->Chips & Popcorn->Lays ,,2.99,,,,,,,SCL012,SCL012.JPG,,taxable ,standard-rate 
Lays Ketchup 180g ,,,Snacks & Candies->Chips & Popcorn->Lays ,,2.99,,,,,,,SCL013,SCL013.JPG,,taxable ,standard-rate 
Lays Dill Pickles 220g ,,,Snacks & Candies->Chips & Popcorn->Lays ,,2.99,,,,,,,SCL014,SCL014.JPG,,taxable ,standard-rate 
Lays BBQ 180g ,,,Snacks & Candies->Chips & Popcorn->Lays ,,2.99,,,,,,,SCL015,SCL015.JPG,,taxable ,standard-rate 
Lays Classic 180g ,,,Snacks & Candies->Chips & Popcorn->Lays ,,2.99,,,,,,,SCL016,SCL016.JPG,,taxable ,standard-rate 
Lays Chips Kettle Cooked Sour Cream & Onlion 180g ,,,Snacks & Candies->Chips & Popcorn->Lays ,,2.99,,,,,,,SCL017,SCL017.JPG,,taxable ,standard-rate 
Lays Kettle Cooked Jalapeno Cheddar 180g ,,,Snacks & Candies->Chips & Popcorn->Lays ,,2.99,,,,,,,SCL018,SCL018.JPG,,taxable ,standard-rate 
Lays Kettle Cooked BBQ 180g ,,,Snacks & Candies->Chips & Popcorn->Lays ,,2.99,,,,,,,SCL019,SCL019.JPG,,taxable ,standard-rate 
Lays Kettle Cooked Ketchup 180g ,,,Snacks & Candies->Chips & Popcorn->Lays ,,2.99,,,,,,,SCL020,SCL020.JPG,,taxable ,standard-rate 
Lays Kettle Dill Pickles 180g ,,,Snacks & Candies->Chips & Popcorn->Lays ,,2.99,,,,,,,SCL021,SCL021.JPG,,taxable ,standard-rate 
Lays Baked Classic 180g ,,,Snacks & Candies->Chips & Popcorn->Lays ,,4.49,,,,,,,SCL022,SCL022.JPG,,taxable ,standard-rate 
Lays Baked Ketchup 180g ,,,Snacks & Candies->Chips & Popcorn->Lays ,,4.49,,,,,,,SCL023,SCL023.JPG,,taxable ,standard-rate 
Lays Baked Creamy Dill 180g ,,,Snacks & Candies->Chips & Popcorn->Lays ,,4.49,,,,,,,SCL024,SCL024.JPG,,taxable ,standard-rate 
Lays Baked BBQ 180g ,,,Snacks & Candies->Chips & Popcorn->Lays ,,4.49,,,,,,,SCL025,SCL025.JPG,,taxable ,standard-rate 
