title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Sealtest Milk 3.25% M.E. 2L,,,Groceries->Dairy & Dairy Products->Milk,,3.99,,,,,,,BDM001,BDM001.JPG,,taxable,standard-rate
Sealtest Milk 3.25% M.E. 1L,,,Groceries->Dairy & Dairy Products->Milk,,2.99,,,,,,,BDM002,BDM002.JPG,,taxable,standard-rate
Sealtest Milk 3.25% M.E. 4L,,,Groceries->Dairy & Dairy Products->Milk,,4.97,,,,,,,BDM003,BDM003.JPG,,taxable,standard-rate
Sealtest Chocolate Milk 1% M.E. 473ml,,,Groceries->Dairy & Dairy Products->Milk,,2.09,,,,,,,BDM004,BDM004.JPG,,taxable,standard-rate
Sealtest Chocolate Milk 1% M.E. 2L,,,Groceries->Dairy & Dairy Products->Milk,,5.19,,,,,,,BDM005,BDM005.JPG,,taxable,standard-rate
Sealtest Chocolate Milk 1% M.E. 1L,,,Groceries->Dairy & Dairy Products->Milk,,2.99,,,,,,,BDM006,BDM006.JPG,,taxable,standard-rate
Sealtest Chocolate Milk 1% M.E. 4L,,,Groceries->Dairy & Dairy Products->Milk,,7.69,,,,,,,BDM007,BDM007.JPG,,taxable,standard-rate
Sealtest Fat-Free Skim Milk 2L,,,Groceries->Dairy & Dairy Products->Milk,,4.19,,,,,,,BDM008,BDM008.JPG,,taxable,standard-rate
Sealtest Fat-Free Skim Milk 1L,,,Groceries->Dairy & Dairy Products->Milk,,2.99,,,,,,,BDM009,BDM009.JPG,,taxable,standard-rate
Sealtest Fat-Free Skim Milk 4L,,,Groceries->Dairy & Dairy Products->Milk,,4.49,,,,,,,BDM010,BDM010.JPG,,taxable,standard-rate
Sealtest Milk 1% M.E. 2L,,,Groceries->Dairy & Dairy Products->Milk,,4.19,,,,,,,BDM011,BDM011.JPG,,taxable,standard-rate
Sealtest Milk 1% M.E. 1L,,,Groceries->Dairy & Dairy Products->Milk,,2.99,,,,,,,BDM012,BDM012.JPG,,taxable,standard-rate
Sealtest Milk 1% M.E. 4L,,,Groceries->Dairy & Dairy Products->Milk,,4.49,,,,,,,BDM013,BDM013.JPG,,taxable,standard-rate
Sealtest Milk 2% M.E. 473ml,,,Groceries->Dairy & Dairy Products->Milk,,2.09,,,,,,,BDM014,BDM014.JPG,,taxable,standard-rate
Sealtest Milk 2% M.E. 2L,,,Groceries->Dairy & Dairy Products->Milk,,4.19,,,,,,,BDM015,BDM015.JPG,,taxable,standard-rate
Sealtest Milk 2% M.E. 1L,,,Groceries->Dairy & Dairy Products->Milk,,2.99,,,,,,,BDM016,BDM016.JPG,,taxable,standard-rate
Sealtest Milk 2% M.E. 4L,,,Groceries->Dairy & Dairy Products->Milk,,4.49,,,,,,,BDM017,BDM017.JPG,,taxable,standard-rate
Organic Meadow Chocolate Milk 2% M.E. 946ml,,,Groceries->Dairy & Dairy Products->Milk,,4.79,,,,,,,BDM018,BDM018.JPG,,taxable,standard-rate
Organic Meadow Milk 2% M.E. 946ml,,,Groceries->Dairy & Dairy Products->Milk,,3.49,,,,,,,BDM019,BDM019.JPG,,taxable,standard-rate
Organic Meadow Milk 1% M.E. 946ml,,,Groceries->Dairy & Dairy Products->Milk,,3.49,,,,,,,BDM020,BDM020.JPG,,taxable,standard-rate
Organic Meadow Milk 3.8% M.E. 946ml,,,Groceries->Dairy & Dairy Products->Milk,,3.49,,,,,,,BDM021,BDM021.JPG,,taxable,standard-rate
Golden Guernsey Milk 1L,,,Groceries->Dairy & Dairy Products->Milk,,3.49,,,,,,,BDM022,BDM022.JPG,,taxable,standard-rate
Natrel Organic Milk 2% M.E. 1L,,,Groceries->Dairy & Dairy Products->Milk,,3.69,,,,,,,BDM023,BDM023.JPG,,taxable,standard-rate
Natrel Organic Milk 1% M.E. 1L,,,Groceries->Dairy & Dairy Products->Milk,,3.69,,,,,,,BDM024,BDM024.JPG,,taxable,standard-rate
Natrel Organic Milk 3.8% M.E. 1L,,,Groceries->Dairy & Dairy Products->Milk,,3.69,,,,,,,BDM025,BDM025.JPG,,taxable,standard-rate
Natrel Organic Milk 1% M.E. 2L,,,Groceries->Dairy & Dairy Products->Milk,,7.39,,,,,,,BDM026,BDM026.JPG,,taxable,standard-rate
Natrel Organic Milk 2% M.E. 2L,,,Groceries->Dairy & Dairy Products->Milk,,7.39,,,,,,,BDM027,BDM027.JPG,,taxable,standard-rate
Natrel Organic Milk 3.8% M.E. 2L,,,Groceries->Dairy & Dairy Products->Milk,,7.39,,,,,,,BDM028,BDM028.JPG,,taxable,standard-rate
Natrel Organic Milk 1% M.E. 4L,,,Groceries->Dairy & Dairy Products->Milk,,9.49,,,,,,,BDM029,BDM029.JPG,,taxable,standard-rate
Natrel Organic Milk 2% M.E. 4L,,,Groceries->Dairy & Dairy Products->Milk,,9.49,,,,,,,BDM030,BDM030.JPG,,taxable,standard-rate
Natrel Organic Milk 3.8% M.E. 2L,,,Groceries->Dairy & Dairy Products->Milk,,9.49,,,,,,,BDM031,BDM031.JPG,,taxable,standard-rate
Natrel Fine-filterd Milk 3.25% M.E. 2L,,,Groceries->Dairy & Dairy Products->Milk,,5.49,,,,,,,BDM032,BDM032.JPG,,taxable,standard-rate
Natrel Fine-filterd Milk 3.25% M.E. 1L,,,Groceries->Dairy & Dairy Products->Milk,,3.39,,,,,,,BDM033,BDM033.JPG,,taxable,standard-rate
Natrel Fine-filterd Milk 3.25% M.E. 4L,,,Groceries->Dairy & Dairy Products->Milk,,6.69,,,,,,,BDM034,BDM034.JPG,,taxable,standard-rate
Natrel Fine-filterd Milk Fat Free 1L,,,Groceries->Dairy & Dairy Products->Milk,,3.19,,,,,,,BDM035,BDM035.JPG,,taxable,standard-rate
Natrel Fine-filterd Milk Fat Free 2L,,,Groceries->Dairy & Dairy Products->Milk,,4.49,,,,,,,BDM036,BDM036.JPG,,taxable,standard-rate
Natrel Fine-filterd Milk Fat Free 4L,,,Groceries->Dairy & Dairy Products->Milk,,5.69,,,,,,,BDM037,BDM037.JPG,,taxable,standard-rate
Natrel Fine-filterd Milk 1% M.E. 2L,,,Groceries->Dairy & Dairy Products->Milk,,4.49,,,,,,,BDM038,BDM038.JPG,,taxable,standard-rate
Natrel Fine-filterd Milk 1% M.E. 1L,,,Groceries->Dairy & Dairy Products->Milk,,3.19,,,,,,,BDM039,BDM039.JPG,,taxable,standard-rate
Natrel Fine-filterd Milk 1% M.E. 4L,,,Groceries->Dairy & Dairy Products->Milk,,5.69,,,,,,,BDM040,BDM040.JPG,,taxable,standard-rate
Natrel Fine-filterd Milk 2% M.E. 2L,,,Groceries->Dairy & Dairy Products->Milk,,4.49,,,,,,,BDM041,BDM041.JPG,,taxable,standard-rate
Natrel Fine-filterd Milk 2% M.E. 1L,,,Groceries->Dairy & Dairy Products->Milk,,3.19,,,,,,,BDM042,BDM042.JPG,,taxable,standard-rate
Natrel Fine-filterd Milk 2% M.E. 4L,,,Groceries->Dairy & Dairy Products->Milk,,5.69,,,,,,,BDM043,BDM043.JPG,,taxable,standard-rate
Natrel Lactose Free Chocolate 1% M.E. 2L,,,Groceries->Dairy & Dairy Products->Milk,,5.99,,,,,,,BDM044,BDM044.JPG,,taxable,standard-rate
Natrel Lactose Free Milk Fat Free 1L,,,Groceries->Dairy & Dairy Products->Milk,,3.79,,,,,,,BDM045,BDM045.JPG,,taxable,standard-rate
Natrel Lactose Free Milk Fat Free 2L,,,Groceries->Dairy & Dairy Products->Milk,,5.99,,,,,,,BDM046,BDM046.JPG,,taxable,standard-rate
Natrel Lactose Free Milk Fat Free 4L,,,Groceries->Dairy & Dairy Products->Milk,,7.67,,,,,,,BDM047,BDM047.JPG,,taxable,standard-rate
Natrel Lactose Free Milk 1% M.E. 2L,,,Groceries->Dairy & Dairy Products->Milk,,5.99,,,,,,,BDM048,BDM048.JPG,,taxable,standard-rate
Natrel Lactose Free Milk 1% M.E. 1L,,,Groceries->Dairy & Dairy Products->Milk,,3.79,,,,,,,BDM049,BDM049.JPG,,taxable,standard-rate
Natrel Lactose Free Milk 1% M.E. 4L,,,Groceries->Dairy & Dairy Products->Milk,,7.67,,,,,,,BDM050,BDM050.JPG,,taxable,standard-rate
Natrel Lactose Free Milk 2% M.E. 2L,,,Groceries->Dairy & Dairy Products->Milk,,5.99,,,,,,,BDM051,BDM051.JPG,,taxable,standard-rate
Natrel Lactose Free Milk 2% M.E. 1L,,,Groceries->Dairy & Dairy Products->Milk,,3.79,,,,,,,BDM052,BDM052.JPG,,taxable,standard-rate
Natrel Lactose Free Milk 2% M.E. 4L,,,Groceries->Dairy & Dairy Products->Milk,,7.67,,,,,,,BDM053,BDM053.JPG,,taxable,standard-rate
Nesquik Chocolate Milk Shake 473ml,,,Groceries->Dairy & Dairy Products->Milk,,2.49,,,,,,,BDM054,BDM054.JPG,,taxable,standard-rate
Nesquik Vanilla Milk Shake 473ml,,,Groceries->Dairy & Dairy Products->Milk,,2.49,,,,,,,BDM055,BDM055.JPG,,taxable,standard-rate
Nesquik Rolo Milk Shake 473ml,,,Groceries->Dairy & Dairy Products->Milk,,2.49,,,,,,,BDM056,BDM056.JPG,,taxable,standard-rate
Nesquik Coffee Crisp Milk Shake 473ml,,,Groceries->Dairy & Dairy Products->Milk,,2.49,,,,,,,BDM057,BDM057.JPG,,taxable,standard-rate
Natrel Baboo Milk Beverage 1L,,,Groceries->Dairy & Dairy Products->Milk,,3.29,,,,,,,BDM058,BDM058.JPG,,taxable,standard-rate
Natrel Baboo Milk Beverage 250ml 6pk,,,Groceries->Dairy & Dairy Products->Milk,,6.99,,,,,,,BDM059,BDM059.JPG,,taxable,standard-rate
Hershey's Cookies 'N' Cream Milk Shake 350ml,,,Groceries->Dairy & Dairy Products->Milk,,2.09,,,,,,,BDM060,BDM060.JPG,,taxable,standard-rate
Hershey's Chocolate Milk Shake 350ml,,,Groceries->Dairy & Dairy Products->Milk,,2.09,,,,,,,BDM061,BDM061.JPG,,taxable,standard-rate
OhHenry! Milk Shake 350ml,,,Groceries->Dairy & Dairy Products->Milk,,2.09,,,,,,,BDM062,BDM062.JPG,,taxable,standard-rate
Natrel Chocolate Milk 350ml,,,Groceries->Dairy & Dairy Products->Milk,,2.09,,,,,,,BDM063,BDM063.JPG,,taxable,standard-rate
Natrel Vanilla Milk 350ml,,,Groceries->Dairy & Dairy Products->Milk,,2.09,,,,,,,BDM064,BDM064.JPG,,taxable,standard-rate
Natrel 2% Milk 350ml,,,Groceries->Dairy & Dairy Products->Milk,,2.09,,,,,,,BDM065,BDM065.JPG,,taxable,standard-rate
Milk2go Strawberry 325ml,,,Groceries->Dairy & Dairy Products->Milk,,2.35,,,,,,,BDM066,BDM066.JPG,,taxable,standard-rate
Milk2go Vanilla 325ml,,,Groceries->Dairy & Dairy Products->Milk,,2.35,,,,,,,BDM067,BDM067.JPG,,taxable,standard-rate
Milk2go Cocolate 325ml,,,Groceries->Dairy & Dairy Products->Milk,,2.35,,,,,,,BDM068,BDM068.JPG,,taxable,standard-rate
