title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Oasis Juice Fruit Yellow 200ml 8Pk ,,,Beverages->Juice->Oasis ,,3.99,,,,,,,BJO001,BJO001.JPG,,taxable ,standard-rate
Oasis Juice Tropical Passion 200ml 8Pk ,,,Beverages->Juice->Oasis ,,3.99,,,,,,,BJO002,BJO002.JPG,,taxable ,standard-rate
Oasis Juice Fruit Strawberry Banana 200ml 8Pk ,,,Beverages->Juice->Oasis ,,3.99,,,,,,,BJO003,BJO003.JPG,,taxable ,standard-rate
Oasis Juice Exotic Mango 200ml 8Pk ,,,Beverages->Juice->Oasis ,,3.99,,,,,,,BJO004,BJO004.JPG,,taxable ,standard-rate
Oasis Juice Fruit Purple 200ml 8Pk ,,,Beverages->Juice->Oasis ,,3.99,,,,,,,BJO005,BJO005.JPG,,taxable ,standard-rate
Oasis Juice Fruit Grape Berry 200ml 8Pk ,,,Beverages->Juice->Oasis ,,3.99,,,,,,,BJO006,BJO006.JPG,,taxable ,standard-rate
Oasis Juice Pure Breakfast 200ml 8Pk ,,,Beverages->Juice->Oasis ,,3.99,,,,,,,BJO007,BJO007.JPG,,taxable ,standard-rate
Oasis FruitsEtc Juice Deliciouly Red 200ml 8Pk ,,,Beverages->Juice->Oasis ,,3.99,,,,,,,BJO008,BJO008.JPG,,taxable ,standard-rate
Oasis Fruit Juice Apple Calcium 200ml 8Pk ,,,Beverages->Juice->Oasis ,,3.99,,,,,,,BJO009,BJO009.JPG,,taxable ,standard-rate
Oasis Juice Apple Not from Concentrate 200ml 8Pk ,,,Beverages->Juice->Oasis ,,3.99,,,,,,,BJO010,BJO010.JPG,,taxable ,standard-rate
Oasis Juice Wild Berry Pomegranate 300ml ,,,Beverages->Juice->Oasis ,,3.99,,,,,,,BJO011,BJO011.JPG,,taxable ,standard-rate
Oasis Juice Apple Calcium 300ml ,,,Beverages->Juice->Oasis ,,3.79,,,,,,,BJO012,BJO012.JPG,,taxable ,standard-rate
Oasis FruitsEtc Juice Deliciouly Yellow 960ml,,,Beverages->Juice->Oasis ,,1.99,,,,,,,BJO013,BJO013.JPG,,taxable ,standard-rate
Oasis FruitsEtc Juice Deliciouly Orange 960ml ,,,Beverages->Juice->Oasis ,,1.99,,,,,,,BJO014,BJO014.JPG,,taxable ,standard-rate
Oasis Juice Tropical Passion 960ml ,,,Beverages->Juice->Oasis ,,1.99,,,,,,,BJO015,BJO015.JPG,,taxable ,standard-rate
Oasis FruitsEtc Juice Deliciouly Purple 960ml ,,,Beverages->Juice->Oasis ,,1.99,,,,,,,BJO016,BJO016.JPG,,taxable ,standard-rate
Oasis FruitsEtc Juice Deliciouly Red 960ml ,,,Beverages->Juice->Oasis ,,1.99,,,,,,,BJO017,BJO017.JPG,,taxable ,standard-rate
Oasis Juice Pineapple 960ml,,,Beverages->Juice->Oasis ,,1.99,,,,,,,BJO018,BJO018.JPG,,taxable ,standard-rate
Oasis Juice Orange Pure Breakfast 960ml,,,Beverages->Juice->Oasis ,,1.99,,,,,,,BJO019,BJO019.JPG,,taxable ,standard-rate
Oasis Mango Juice Exotic 960ml ,,,Beverages->Juice->Oasis ,,1.99,,,,,,,BJO020,BJO020.JPG,,taxable ,standard-rate
Oasis Juice Apple Not from Concentrate 960ml ,,,Beverages->Juice->Oasis ,,1.99,,,,,,,BJO021,BJO021.JPG,,taxable ,standard-rate
Oasis Juice Wild Berry Pomegranate Antiox 1.36L,,,Beverages->Juice->Oasis ,,3.99,,,,,,,BJO022,BJO022.JPG,,taxable ,standard-rate
Oasis Cocktail Wild Berry Pomegranate Low Calories 1.36L,,,Beverages->Juice->Oasis ,,3.99,,,,,,,BJO023,BJO023.JPG,,taxable ,standard-rate
Oasis Juice Cranbry Cocktail 1.36L,,,Beverages->Juice->Oasis ,,3.99,,,,,,,BJO024,BJO024.JPG,,taxable ,standard-rate
Oasis Cranberry Cocktail Low Calories 1.36L,,,Beverages->Juice->Oasis ,,3.99,,,,,,,BJO025,BJO025.JPG,,taxable ,standard-rate
