title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Quaker Oatmeal High Fibre Raisin Spice 10pk 425g ,,,Groceries->Cereal & Breakfast->Oatmeal,,3.79,,,,,,,GCO001,GCO001.JPG,,taxable,standard-rate
Quaker Oatmeal Hearty Medleys Fruit Nut Omega-3 216g,,,Groceries->Cereal & Breakfast->Oatmeal,,3.79,,,,,,,GCO002,GCO002.JPG,,taxable,standard-rate
Quaker Oatmeal Hearty Medleys Apple Cranberry Almond 216g,,,Groceries->Cereal & Breakfast->Oatmeal,,3.79,,,,,,,GCO003,GCO003.JPG,,taxable,standard-rate
Quaker Oatmeal Hearty Medleys Banana Nut 216g,,,Groceries->Cereal & Breakfast->Oatmeal,,3.79,,,,,,,GCO004,GCO004.JPG,,taxable,standard-rate
Quaker Instant Oatmeal Brown Sugar Cinnamon 310g,,,Groceries->Cereal & Breakfast->Oatmeal,,3.79,,,,,,,GCO005,GCO005.JPG,,taxable,standard-rate
Quaker Instant Oatmeal Lightly Sweetened Apples Cinnamon 288g,,,Groceries->Cereal & Breakfast->Oatmeal,,3.79,,,,,,,GCO006,GCO006.JPG,,taxable,standard-rate
Quaker Instant Oatmeal Apple Cinnamon 10Pk 325g,,,Groceries->Cereal & Breakfast->Oatmeal,,3.79,,,,,,,GCO007,GCO007.JPG,,taxable,standard-rate
Quaker Quick Oat Packets 360g,,,Groceries->Cereal & Breakfast->Oatmeal,,3.79,,,,,,,GCO008,GCO008.JPG,,taxable,standard-rate
Quaker Cereal Oat Bran 625g,,,Groceries->Cereal & Breakfast->Oatmeal,,3.79,,,,,,,GCO009,GCO009.JPG,,taxable,standard-rate
Quaker Instant Oatmeal Maple & Brown Sugar 430g,,,Groceries->Cereal & Breakfast->Oatmeal,,3.79,,,,,,,GCO010,GCO010.JPG,,taxable,standard-rate
Quaker Instant Oatmeal Maple & Brown Sugar Family Size 774g,,,Groceries->Cereal & Breakfast->Oatmeal,,3.79,,,,,,,GCO011,GCO011.JPG,,taxable,standard-rate
Quaker Instant Oatmeal Apple & Cinnamon Family Size 18Pak 594g,,,Groceries->Cereal & Breakfast->Oatmeal,,3.79,,,,,,,GCO012,GCO012.JPG,,taxable,standard-rate
Quaker Instant Oatmeal Regular 336g ,,,Groceries->Cereal & Breakfast->Oatmeal,,3.79,,,,,,,GCO013,GCO013.JPG,,taxable,standard-rate
Quaker Instant Oatmeal Cookies & Creme 304g,,,Groceries->Cereal & Breakfast->Oatmeal,,3.79,,,,,,,GCO014,GCO014.JPG,,taxable,standard-rate
Quaker Instant Oatmeal 3 Flavour Variety 10Pk 380g,,,Groceries->Cereal & Breakfast->Oatmeal,,3.79,,,,,,,GCO015,GCO015.JPG,,taxable,standard-rate
Quaker Instant Oatmeal Peach & Cream 10Pk 325g,,,Groceries->Cereal & Breakfast->Oatmeal,,3.79,,,,,,,GCO016,GCO016.JPG,,taxable,standard-rate
Quaker Instant Oatmeal Dino Eggs 304g,,,Groceries->Cereal & Breakfast->Oatmeal,,3.79,,,,,,,GCO017,GCO017.JPG,,taxable,standard-rate
Quaker Quick Oats Bag 12Pk 1kg,,,Groceries->Cereal & Breakfast->Oatmeal,,3.79,,,,,,,GCO018,GCO018.JPG,,taxable,standard-rate
Quaker One Minute Oats 12Pk 1kg,,,Groceries->Cereal & Breakfast->Oatmeal,,3.79,,,,,,,GCO019,GCO019.JPG,,taxable,standard-rate
Quaker Old Fashion Large Oats 12Pk 1kg,,,Groceries->Cereal & Breakfast->Oatmeal,,3.79,,,,,,,GCO020,GCO020.JPG,,taxable,standard-rate
Compliments Balance Instant Oatmeal Strawberry Vanilla 304g,,,Groceries->Cereal & Breakfast->Oatmeal,,2.49,,,,,,,GCO021,GCO021.JPG,,taxable,standard-rate
Compliments Balance Instant Oatmeal Maple Brown Sugar 430g,,,Groceries->Cereal & Breakfast->Oatmeal,,2.49,,,,,,,GCO022,GCO022.JPG,,taxable,standard-rate
Compliments Balance Instant Oatmeal Regular 336g,,,Groceries->Cereal & Breakfast->Oatmeal,,2.49,,,,,,,GCO023,GCO023.JPG,,taxable,standard-rate
Compliments Balance Instant Oatmeal Peachs & Cream 325g,,,Groceries->Cereal & Breakfast->Oatmeal,,2.49,,,,,,,GCO024,GCO024.JPG,,taxable,standard-rate
Compliments Balance Instant Oatmeal Variety Pack 348g,,,Groceries->Cereal & Breakfast->Oatmeal,,2.49,,,,,,,GCO025,GCO025.JPG,,taxable,standard-rate
Unico Yellow Corn Meal 750g ,,,Groceries->Cereal & Breakfast->Oatmeal,,1.99,,,,,,,GCO026,GCO026.JPG,,taxable,standard-rate
Compliments Quick Oats 1kg,,,Groceries->Cereal & Breakfast->Oatmeal,,2.99,,,,,,,GCO030,GCO030.JPG,,taxable,standard-rate
Rogers 100% Natural Wheat Bran 454g,,,Groceries->Cereal & Breakfast->Oatmeal,,1.99,,,,,,,GCO032,GCO032.JPG,,taxable,standard-rate
Rogers Natural Wheat Germ 454g,,,Groceries->Cereal & Breakfast->Oatmeal,,2.49,,,,,,,GCO033,GCO033.JPG,,taxable,standard-rate
Kretschmer Wheat Germ 340g,,,Groceries->Cereal & Breakfast->Oatmeal,,4.99,,,,,,,GCO034,GCO034.JPG,,taxable,standard-rate
Rogers 5 Grain Granola Raisin 750g,,,Groceries->Cereal & Breakfast->Oatmeal,,4.29,,,,,,,GCO035,GCO035.JPG,,taxable,standard-rate
Rogers 5 Grain Granola Hazelnut Honey 750g,,,Groceries->Cereal & Breakfast->Oatmeal,,4.29,,,,,,,GCO036,GCO036.JPG,,taxable,standard-rate
