title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Garlic and Cheese Buns 6pk 350g,,,Produce->Bakery->Other Bakery Products ,,6.99,,,,,,,PBOBP001,PBOBP001.JPG,,taxable,standard-rate
Pizza Buns 6pk 350g,,,Produce->Bakery->Other Bakery Products ,,6.99,,,,,,,PBOBP002,PBOBP002.JPG,,taxable,standard-rate
Hermit Cookies 12pk 350g,,,Produce->Bakery->Other Bakery Products ,,4.29,,,,,,,PBOBP003,PBOBP003.JPG,,taxable,standard-rate
Triple Chocolate Chunk Cookies 12pk 350g,,,Produce->Bakery->Other Bakery Products ,,3.99,,,,,,,PBOBP004,PBOBP004.JPG,,taxable,standard-rate
Short Bread Cookies 12pk 350g,,,Produce->Bakery->Other Bakery Products ,,3.99,,,,,,,PBOBP005,PBOBP005.JPG,,taxable,standard-rate
White Chocolate Macadamia Nut Cookies 12pk 350g,,,Produce->Bakery->Other Bakery Products ,,4.29,,,,,,,PBOBP006,PBOBP006.JPG,,taxable,standard-rate
Date Turnover Cookies 6pk 380g,,,Produce->Bakery->Other Bakery Products ,,4.49,,,,,,,PBOBP007,PBOBP007.JPG,,taxable,standard-rate
Oatmeal Raisin Cookies 12pk 350g,,,Produce->Bakery->Other Bakery Products ,,3.99,,,,,,,PBOBP008,PBOBP008.JPG,,taxable,standard-rate
Peanut Butter Cookies 12pk 350g,,,Produce->Bakery->Other Bakery Products ,,3.99,,,,,,,PBOBP009,PBOBP009.JPG,,taxable,standard-rate
Oatmeal Cookies 12pk 350g,,,Produce->Bakery->Other Bakery Products ,,3.99,,,,,,,PBOBP010,PBOBP010.JPG,,taxable,standard-rate
Oatmeal Chocolate Chip Cookies 12pk 350g,,,Produce->Bakery->Other Bakery Products ,,3.99,,,,,,,PBOBP011,PBOBP011.JPG,,taxable,standard-rate
Chocolate Chip Cookies 12pk 350g,,,Produce->Bakery->Other Bakery Products ,,3.99,,,,,,,PBOBP012,PBOBP012.JPG,,taxable,standard-rate
Mini White Chocolate Cookies 60pk 700g,,,Produce->Bakery->Other Bakery Products ,,5.99,,,,,,,PBOBP013,PBOBP013.JPG,,taxable,standard-rate
Mini Toffee Cookies 60pk 700g,,,Produce->Bakery->Other Bakery Products ,,5.99,,,,,,,PBOBP014,PBOBP014.JPG,,taxable,standard-rate
Mini Oatmeal Raisin Cookies 60pk 700g,,,Produce->Bakery->Other Bakery Products ,,5.99,,,,,,,PBOBP015,PBOBP015.JPG,,taxable,standard-rate
Mini Chocolate Chip Cookies 60pk 700g,,,Produce->Bakery->Other Bakery Products ,,5.99,,,,,,,PBOBP016,PBOBP016.JPG,,taxable,standard-rate
Peanut Butter Cookies Value Pack 24pk 700g,,,Produce->Bakery->Other Bakery Products ,,6.99,,,,,,,PBOBP017,PBOBP017.JPG,,taxable,standard-rate
White Chocolate Macadamia Nut Cookies Value Pack 24pk 700g,,,Produce->Bakery->Other Bakery Products ,,7.99,,,,,,,PBOBP018,PBOBP018.JPG,,taxable,standard-rate
Hermit Cookies Value Pack 24pk 700g,,,Produce->Bakery->Other Bakery Products ,,7.99,,,,,,,PBOBP019,PBOBP019.JPG,,taxable,standard-rate
Oatmeal Raisin Cookies Value Pack 24pk 700g,,,Produce->Bakery->Other Bakery Products ,,6.99,,,,,,,PBOBP020,PBOBP020.JPG,,taxable,standard-rate
Short Bread Cookies Value Pack 24pk 600g,,,Produce->Bakery->Other Bakery Products ,,6.99,,,,,,,PBOBP021,PBOBP021.JPG,,taxable,standard-rate
Oatmeal Cookies Value Pack 24pk 700g,,,Produce->Bakery->Other Bakery Products ,,6.99,,,,,,,PBOBP022,PBOBP022.JPG,,taxable,standard-rate
