title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Terra Beata Cranberry Juice Pure 473ml ,,,Beverages->Juice->Other Juice,,4.99,,,,,,,BJOJ004,BJOJ004.JPG,,taxable,standard-rate
Terra Beata Cranberry Raspberry Juice Pure 473ml ,,,Beverages->Juice->Other Juice,,4.99,,,,,,,BJOJ005,BJOJ005.JPG,,taxable,standard-rate
Terra Beata Juice Blueberry Pure 473ml,,,Beverages->Juice->Other Juice,,4.99,,,,,,,BJOJ006,BJOJ006.JPG,,taxable,standard-rate
Terra Beata Juice Tart Cherry Pure 473ml ,,,Beverages->Juice->Other Juice,,4.99,,,,,,,BJOJ007,BJOJ007.JPG,,taxable,standard-rate
SunRype Juice Summer Berry 1.36L,,,Beverages->Juice->Other Juice,,4.49,,,,,,,BJOJ008,BJOJ008.JPG,,taxable,standard-rate
SunRype Slim Tropical Mango 1.36L ,,,Beverages->Juice->Other Juice,,4.49,,,,,,,BJOJ009,BJOJ009.JPG,,taxable,standard-rate
SunRype Coastal Cranberry 1.36L ,,,Beverages->Juice->Other Juice,,4.49,,,,,,,BJOJ010,BJOJ010.JPG,,taxable,standard-rate
SunRype Juice Mango Pineapple 1.36L ,,,Beverages->Juice->Other Juice,,4.49,,,,,,,BJOJ011,BJOJ011.JPG,,taxable,standard-rate
SunRype Juice Mango Tangerine 100% 1.36L ,,,Beverages->Juice->Other Juice,,4.49,,,,,,,BJOJ012,BJOJ012.JPG,,taxable,standard-rate
SunRype Juice Strawberry Banana 100% 1.36L,,,Beverages->Juice->Other Juice,,4.49,,,,,,,BJOJ013,BJOJ013.JPG,,taxable,standard-rate
SunRype Juice Raspberry Orange 100% 1.36L,,,Beverages->Juice->Other Juice,,4.49,,,,,,,BJOJ014,BJOJ014.JPG,,taxable,standard-rate
SunRype Slim Cranberry Twist 1.36L,,,Beverages->Juice->Other Juice,,4.49,,,,,,,BJOJ015,BJOJ015.JPG,,taxable,standard-rate
SunRype Slim Blueberry Burst 1.36L,,,Beverages->Juice->Other Juice,,4.49,,,,,,,BJOJ016,BJOJ016.JPG,,taxable,standard-rate
