title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Bounty Paper Towel Select a Size 2 Roll White,,,Home & Lifestyle->Home Supplies->Paper Towel,,3.79,,,,,,,HHP001,HHP001.JPG,,taxable,standard-rate
Bounty Duratowel 2 King Roll White ,,,Home & Lifestyle->Home Supplies->Paper Towel,,4.99,,,,,,,HHP002,HHP002.JPG,,taxable,standard-rate
Bounty Paper Towel Regular White 6 Roll ,,,Home & Lifestyle->Home Supplies->Paper Towel,,9.99,,,,,,,HHP003,HHP003.JPG,,taxable,standard-rate
Royale Paper Towel 2ply 6 Roll,,,Home & Lifestyle->Home Supplies->Paper Towel,,8.79,,,,,,,HHP004,HHP004.JPG,,taxable,standard-rate
Compliments Paper Towel 2ply 2 Roll,,,Home & Lifestyle->Home Supplies->Paper Towel,,3.37,,,,,,,HHP005,HHP005.JPG,,taxable,standard-rate
Compliments Paper Towel 2ply 6 Roll ,,,Home & Lifestyle->Home Supplies->Paper Towel,,7.49,,,,,,,HHP006,HHP006.JPG,,taxable,standard-rate
Compliments Green Care Paper Towel Regular 6 Roll,,,Home & Lifestyle->Home Supplies->Paper Towel,,8.19,,,,,,,HHP007,HHP007.JPG,,taxable,standard-rate
Signal Paper Towel Regular 2 Roll,,,Home & Lifestyle->Home Supplies->Paper Towel,,1.29,,,,,,,HHP008,HHP008.JPG,,taxable,standard-rate
Signal Paper Towel Regular 12 Roll ,,,Home & Lifestyle->Home Supplies->Paper Towel,,7.16,,,,,,,HHP009,HHP009.JPG,,taxable,standard-rate
Spontowl Ultra Paper Towel 2 Roll ,,,Home & Lifestyle->Home Supplies->Paper Towel,,3.99,,,,,,,HHP010,HHP010.JPG,,taxable,standard-rate
Spontowl EnviroCare 2pyl 2 Roll ,,,Home & Lifestyle->Home Supplies->Paper Towel,,5.49,,,,,,,HHP011,HHP011.JPG,,taxable,standard-rate
Spontowl Ultra Paper Towel 8 Roll ,,,Home & Lifestyle->Home Supplies->Paper Towel,,8.49,,,,,,,HHP012,HHP012.JPG,,taxable,standard-rate
Spontowl 6 Big Rolls ,,,Home & Lifestyle->Home Supplies->Paper Towel,,7.99,,,,,,,HHP013,HHP013.JPG,,taxable,standard-rate
Spontowl Paper Towel Ultra 12 Giant Rolls ,,,Home & Lifestyle->Home Supplies->Paper Towel,,21.49,,,,,,,HHP014,HHP014.JPG,,taxable,standard-rate
