title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Pogo Minis 32 sticks,,,Goceries->Frozen Foods->Pizza Pops and Others ,,14.99,,,,,,,GFFPPO001,GFFPPO001.JPG,,taxable,standard-rate
Pogo Original 20 sticks,,,Goceries->Frozen Foods->Pizza Pops and Others ,,14.99,,,,,,,GFFPPO002,GFFPPO002.JPG,,taxable,standard-rate
Pogo Original 4 sticks,,,Goceries->Frozen Foods->Pizza Pops and Others ,,3.99,,,,,,,GFFPPO003,GFFPPO003.JPG,,taxable,standard-rate
Pogo All Beef 8 sticks,,,Goceries->Frozen Foods->Pizza Pops and Others ,,8.49,,,,,,,GFFPPO004,GFFPPO004.JPG,,taxable,standard-rate
McCain Pizza Pockets Deli Lovers 4pk 400g,,,Goceries->Frozen Foods->Pizza Pops and Others ,,4.29,,,,,,,GFFPPO005,GFFPPO005.JPG,,taxable,standard-rate
McCain Pizza Pockets Dexule 4pk 400g,,,Goceries->Frozen Foods->Pizza Pops and Others ,,4.29,,,,,,,GFFPPO006,GFFPPO006.JPG,,taxable,standard-rate
McCain Pizza Pockets Three Cheese 4pk 400g,,,Goceries->Frozen Foods->Pizza Pops and Others ,,4.29,,,,,,,GFFPPO007,GFFPPO007.JPG,,taxable,standard-rate
McCain Pizza Pockets Pepperoni 4pk 400g,,,Goceries->Frozen Foods->Pizza Pops and Others ,,4.29,,,,,,,GFFPPO008,GFFPPO008.JPG,,taxable,standard-rate
McCain Deep 'n Delicious Mini Pizza Pepperoni 4pk 348g,,,Goceries->Frozen Foods->Pizza Pops and Others ,,4.29,,,,,,,GFFPPO009,GFFPPO009.JPG,,taxable,standard-rate
McCain Deep 'n Delicious Mini Pizza Dexule 4pk 369g,,,Goceries->Frozen Foods->Pizza Pops and Others ,,4.29,,,,,,,GFFPPO010,GFFPPO010.JPG,,taxable,standard-rate
McCain Deep 'n Delicious Mini Pizza 3 Cheese 8pk 696g,,,Goceries->Frozen Foods->Pizza Pops and Others ,,7.99,,,,,,,GFFPPO011,GFFPPO011.JPG,,taxable,standard-rate
McCain Deep 'n Delicious Mini Pizza Dexule 8pk 736g,,,Goceries->Frozen Foods->Pizza Pops and Others ,,7.99,,,,,,,GFFPPO012,GFFPPO012.JPG,,taxable,standard-rate
Heinz Bagel Bites Three Cheese 9pk 198g,,,Goceries->Frozen Foods->Pizza Pops and Others ,,4.09,,,,,,,GFFPPO013,GFFPPO013.JPG,,taxable,standard-rate
Heinz Bagel Bites Cheese & Pepperoni 9pk 198g,,,Goceries->Frozen Foods->Pizza Pops and Others ,,4.09,,,,,,,GFFPPO014,GFFPPO014.JPG,,taxable,standard-rate
Pizza Pops Three Cheese 4pk 400g,,,Goceries->Frozen Foods->Pizza Pops and Others ,,4.39,,,,,,,GFFPPO015,GFFPPO015.JPG,,taxable,standard-rate
Pizza Pops Three Cheese 8pk 800g,,,Goceries->Frozen Foods->Pizza Pops and Others ,,7.16,,,,,,,GFFPPO016,GFFPPO016.JPG,,taxable,standard-rate
Pizza Pops Pepperoni + Bacon 8pk 800g,,,Goceries->Frozen Foods->Pizza Pops and Others ,,7.16,,,,,,,GFFPPO017,GFFPPO017.JPG,,taxable,standard-rate
Pizza Pops Canadian 4pk 400g,,,Goceries->Frozen Foods->Pizza Pops and Others ,,4.39,,,,,,,GFFPPO018,GFFPPO018.JPG,,taxable,standard-rate
Pizza Pops Pepperoni 4pk 400g,,,Goceries->Frozen Foods->Pizza Pops and Others ,,4.39,,,,,,,GFFPPO019,GFFPPO019.JPG,,taxable,standard-rate
Pizza Pops Deluxe 4pk 400g,,,Goceries->Frozen Foods->Pizza Pops and Others ,,4.39,,,,,,,GFFPPO020,GFFPPO020.JPG,,taxable,standard-rate
Pizza Pops Deluxe 8pk 800g,,,Goceries->Frozen Foods->Pizza Pops and Others ,,7.16,,,,,,,GFFPPO021,GFFPPO021.JPG,,taxable,standard-rate
Pizza Pops Pepperoni 8pk 800g,,,Goceries->Frozen Foods->Pizza Pops and Others ,,7.16,,,,,,,GFFPPO022,GFFPPO022.JPG,,taxable,standard-rate
Pizza Minis Three Cheese 4pk 380g,,,Goceries->Frozen Foods->Pizza Pops and Others ,,4.39,,,,,,,GFFPPO023,GFFPPO023.JPG,,taxable,standard-rate
Pizza Minis Pepperoni + Bacon 4pk 370g,,,Goceries->Frozen Foods->Pizza Pops and Others ,,4.39,,,,,,,GFFPPO024,GFFPPO024.JPG,,taxable,standard-rate
Pizza Minis Deluxe 4pk 375g,,,Goceries->Frozen Foods->Pizza Pops and Others ,,4.39,,,,,,,GFFPPO025,GFFPPO025.JPG,,taxable,standard-rate
Pizza Minis Pepperoni + Bacon 8pk 740g,,,Goceries->Frozen Foods->Pizza Pops and Others ,,7.16,,,,,,,GFFPPO026,GFFPPO026.JPG,,taxable,standard-rate
Pizza Minis Deluxe 8pk 770g,,,Goceries->Frozen Foods->Pizza Pops and Others ,,7.16,,,,,,,GFFPPO027,GFFPPO027.JPG,,taxable,standard-rate
Bistro Sliders Cheeseburger 4pk 255g,,,Goceries->Frozen Foods->Pizza Pops and Others ,,4.09,,,,,,,GFFPPO028,GFFPPO028.JPG,,taxable,standard-rate
Bistro Melts Baja Grilled Chicken 4pk 170g,,,Goceries->Frozen Foods->Pizza Pops and Others ,,3.79,,,,,,,GFFPPO029,GFFPPO029.JPG,,taxable,standard-rate
Bistro Pizzeria Stuffed Crust Pepperoni 210g,,,Goceries->Frozen Foods->Pizza Pops and Others ,,4.09,,,,,,,GFFPPO030,GFFPPO030.JPG,,taxable,standard-rate
Bistro Pizzeria Stuffed Crust 3 Cheese 210g,,,Goceries->Frozen Foods->Pizza Pops and Others ,,4.09,,,,,,,GFFPPO031,GFFPPO031.JPG,,taxable,standard-rate
Bistro Crustini Chicken Alfredo 255g,,,Goceries->Frozen Foods->Pizza Pops and Others ,,4.09,,,,,,,GFFPPO032,GFFPPO032.JPG,,taxable,standard-rate
Bistro Crustini Turkey Bacon Club 255g,,,Goceries->Frozen Foods->Pizza Pops and Others ,,4.09,,,,,,,GFFPPO033,GFFPPO033.JPG,,taxable,standard-rate
Bistro Crustini Chicken Parmesan 255g,,,Goceries->Frozen Foods->Pizza Pops and Others ,,4.09,,,,,,,GFFPPO034,GFFPPO034.JPG,,taxable,standard-rate
Bistro Crustini Meatballs & Mozzarella 256g,,,Goceries->Frozen Foods->Pizza Pops and Others ,,4.09,,,,,,,GFFPPO035,GFFPPO035.JPG,,taxable,standard-rate
Bistro Crustini Italian Five Cheese 255g,,,Goceries->Frozen Foods->Pizza Pops and Others ,,4.09,,,,,,,GFFPPO036,GFFPPO036.JPG,,taxable,standard-rate
Bistro Crustini Barbecue Chicken 255g,,,Goceries->Frozen Foods->Pizza Pops and Others ,,4.09,,,,,,,GFFPPO037,GFFPPO037.JPG,,taxable,standard-rate
Bistro Crustini Pepperoni 255g,,,Goceries->Frozen Foods->Pizza Pops and Others ,,4.29,,,,,,,GFFPPO038,GFFPPO038.JPG,,taxable,standard-rate
Bistro Panini Smoked Turkey 170g,,,Goceries->Frozen Foods->Pizza Pops and Others ,,4.29,,,,,,,GFFPPO039,GFFPPO039.JPG,,taxable,standard-rate
Bistro Crustini Cheddar Club Meat 255g,,,Goceries->Frozen Foods->Pizza Pops and Others ,,4.29,,,,,,,GFFPPO040,GFFPPO040.JPG,,taxable,standard-rate
