title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Delissio Buffalo Chicken 737g,,,Groceries->Frozen Foods->Pizza ,,6.99,,,,,,,GFFP001,GFFP001.JPG,,taxable,standard-rate
Delissio Bacon Cheeseburger 811g,,,Groceries->Frozen Foods->Pizza ,,6.99,,,,,,,GFFP002,GFFP002.JPG,,taxable,standard-rate
Delissio Canadian 901g,,,Groceries->Frozen Foods->Pizza ,,6.99,,,,,,,GFFP003,GFFP003.JPG,,taxable,standard-rate
Delissio Garlic Bread Pizza Bruschetta 880g,,,Groceries->Frozen Foods->Pizza ,,6.99,,,,,,,GFFP004,GFFP004.JPG,,taxable,standard-rate
Delissio Garlic Bread Pizza All Dressed 931g,,,Groceries->Frozen Foods->Pizza ,,6.99,,,,,,,GFFP005,GFFP005.JPG,,taxable,standard-rate
Delissio Spicy Chicken Dexule 897g,,,Groceries->Frozen Foods->Pizza ,,6.99,,,,,,,GFFP006,GFFP006.JPG,,taxable,standard-rate
Delissio Deluxe Pepperoni 893g,,,Groceries->Frozen Foods->Pizza ,,6.99,,,,,,,GFFP007,GFFP007.JPG,,taxable,standard-rate
Delissio Pepperoni 840g,,,Groceries->Frozen Foods->Pizza ,,6.99,,,,,,,GFFP008,GFFP008.JPG,,taxable,standard-rate
Delissio Hawaiian 921g,,,Groceries->Frozen Foods->Pizza ,,6.99,,,,,,,GFFP009,GFFP009.JPG,,taxable,standard-rate
Delissio 3 Meat 865g,,,Groceries->Frozen Foods->Pizza ,,6.99,,,,,,,GFFP010,GFFP010.JPG,,taxable,standard-rate
"Delissio Grilled Chicken, Tomato & Spinach 665g",,,Groceries->Frozen Foods->Pizza ,,6.99,,,,,,,GFFP011,GFFP011.JPG,,taxable,standard-rate
Compliments 4 Meat 820g,,,Groceries->Frozen Foods->Pizza ,,5.99,,,,,,,GFFP012,GFFP012.JPG,,taxable,standard-rate
Compliments 4 Cheese 770g,,,Groceries->Frozen Foods->Pizza ,,5.99,,,,,,,GFFP013,GFFP013.JPG,,taxable,standard-rate
Compliments Deluxe Rising 900g,,,Groceries->Frozen Foods->Pizza ,,5.99,,,,,,,GFFP014,GFFP014.JPG,,taxable,standard-rate
Compliments Pepperoni 810g,,,Groceries->Frozen Foods->Pizza ,,5.99,,,,,,,GFFP015,GFFP015.JPG,,taxable,standard-rate
Compliments Hawaiian 920g,,,Groceries->Frozen Foods->Pizza ,,5.99,,,,,,,GFFP016,GFFP016.JPG,,taxable,standard-rate
McCain 4 Cheese 770g,,,Groceries->Frozen Foods->Pizza ,,7.16,,,,,,,GFFP017,GFFP017.JPG,,taxable,standard-rate
McCain Deluxe 900g,,,Groceries->Frozen Foods->Pizza ,,7.16,,,,,,,GFFP018,GFFP018.JPG,,taxable,standard-rate
McCain Pepperoni 830g,,,Groceries->Frozen Foods->Pizza ,,7.16,,,,,,,GFFP019,GFFP019.JPG,,taxable,standard-rate
McCain Hawaiian 840g,,,Groceries->Frozen Foods->Pizza ,,7.16,,,,,,,GFFP020,GFFP020.JPG,,taxable,standard-rate
McCain Roasted Chicken Deluxe 825g,,,Groceries->Frozen Foods->Pizza ,,7.16,,,,,,,GFFP021,GFFP021.JPG,,taxable,standard-rate
McCain Traditional Crust Cheese 433g,,,Groceries->Frozen Foods->Pizza ,,4.29,,,,,,,GFFP022,GFFP022.JPG,,taxable,standard-rate
McCain Traditional Crust Pepperoni 416g,,,Groceries->Frozen Foods->Pizza ,,4.29,,,,,,,GFFP023,GFFP023.JPG,,taxable,standard-rate
McCain Traditional Crust Deluxe 424g,,,Groceries->Frozen Foods->Pizza ,,4.29,,,,,,,GFFP024,GFFP024.JPG,,taxable,standard-rate
Dr.Oetker Panebello Country Pepperoni 420g,,,Groceries->Frozen Foods->Pizza ,,6.49,,,,,,,GFFP025,GFFP025.JPG,,taxable,standard-rate
Dr.Oetker Panebello Vegetable & Great Cheese 450g,,,Groceries->Frozen Foods->Pizza ,,6.49,,,,,,,GFFP026,GFFP026.JPG,,taxable,standard-rate
Dr.Oetker Panebello Classic Canadian 440g,,,Groceries->Frozen Foods->Pizza ,,6.49,,,,,,,GFFP027,GFFP027.JPG,,taxable,standard-rate
Dr.Oetker Panebello Chicken Fiesta 435g,,,Groceries->Frozen Foods->Pizza ,,6.49,,,,,,,GFFP028,GFFP028.JPG,,taxable,standard-rate
Dr.Oetker Panebello Mediterranean 425g,,,Groceries->Frozen Foods->Pizza ,,6.49,,,,,,,GFFP029,GFFP029.JPG,,taxable,standard-rate
Dr.Oetker Casa di Mama Deluxe 410g,,,Groceries->Frozen Foods->Pizza ,,6.49,,,,,,,GFFP030,GFFP030.JPG,,taxable,standard-rate
Dr.Oetker Casa di Mama Pepperoni 395g,,,Groceries->Frozen Foods->Pizza ,,6.49,,,,,,,GFFP031,GFFP031.JPG,,taxable,standard-rate
Dr.Oetker Casa di Mama Peppers & 3 Cheese 395g,,,Groceries->Frozen Foods->Pizza ,,6.49,,,,,,,GFFP032,GFFP032.JPG,,taxable,standard-rate
Dr.Oetker Casa di Mama Hawaiian 400g,,,Groceries->Frozen Foods->Pizza ,,6.49,,,,,,,GFFP033,GFFP033.JPG,,taxable,standard-rate
Dr.Oetker Casa di Mama 3 Meat 395g,,,Groceries->Frozen Foods->Pizza ,,6.49,,,,,,,GFFP034,GFFP034.JPG,,taxable,standard-rate
Sensations Italy Prosciutto & Genoa Salami 325g,,,Groceries->Frozen Foods->Pizza ,,5.49,,,,,,,GFFP035,GFFP035.JPG,,taxable,standard-rate
Sensations Pepperoni & Ham 360g,,,Groceries->Frozen Foods->Pizza ,,5.49,,,,,,,GFFP036,GFFP036.JPG,,taxable,standard-rate
Sensations Spain Spicy Chorizo 338g,,,Groceries->Frozen Foods->Pizza ,,5.49,,,,,,,GFFP037,GFFP037.JPG,,taxable,standard-rate
Sensations Spinach 390g,,,Groceries->Frozen Foods->Pizza ,,5.49,,,,,,,GFFP038,GFFP038.JPG,,taxable,standard-rate
Sensations Indian Butter Chicken 380g,,,Groceries->Frozen Foods->Pizza ,,5.49,,,,,,,GFFP039,GFFP039.JPG,,taxable,standard-rate
Sensations Italy Pesto Chicken & Bocconcini 360g,,,Groceries->Frozen Foods->Pizza ,,5.49,,,,,,,GFFP040,GFFP040.JPG,,taxable,standard-rate
Sensations Mushroom 366g,,,Groceries->Frozen Foods->Pizza ,,5.49,,,,,,,GFFP041,GFFP041.JPG,,taxable,standard-rate
Sensations Mozzarella Pesto 336g,,,Groceries->Frozen Foods->Pizza ,,5.49,,,,,,,GFFP042,GFFP042.JPG,,taxable,standard-rate
Dr.Oetker Ristorante Pizza Mozzarella 325g,,,Groceries->Frozen Foods->Pizza ,,6.49,,,,,,,GFFP043,GFFP043.JPG,,taxable,standard-rate
Dr.Oetker Ristorante Pizza Pepperoni Pesto 360g,,,Groceries->Frozen Foods->Pizza ,,6.49,,,,,,,GFFP044,GFFP044.JPG,,taxable,standard-rate
Dr.Oetker Ristorante Pizza Spinaci 390g,,,Groceries->Frozen Foods->Pizza ,,6.49,,,,,,,GFFP045,GFFP045.JPG,,taxable,standard-rate
Dr.Oetker Ristorante Pizza Vegetale 385g,,,Groceries->Frozen Foods->Pizza ,,6.49,,,,,,,GFFP046,GFFP046.JPG,,taxable,standard-rate
Dr.Oetker Ristorante Pizza Funghi 365g,,,Groceries->Frozen Foods->Pizza ,,6.49,,,,,,,GFFP047,GFFP047.JPG,,taxable,standard-rate
Dr.Oetker Ristorante Pizza Speciale 330g,,,Groceries->Frozen Foods->Pizza ,,6.49,,,,,,,GFFP048,GFFP048.JPG,,taxable,standard-rate
Dr.Oetker Ristorante Pizza Formaggi & Pomodori 355g,,,Groceries->Frozen Foods->Pizza ,,6.49,,,,,,,GFFP049,GFFP049.JPG,,taxable,standard-rate
Buitoni Pollo Toscano 350g,,,Groceries->Frozen Foods->Pizza ,,6.96,,,,,,,GFFP050,GFFP050.JPG,,taxable,standard-rate
Buitoni Pepperoni Diavolo 340g,,,Groceries->Frozen Foods->Pizza ,,6.96,,,,,,,GFFP051,GFFP051.JPG,,taxable,standard-rate
Buitoni Spinaco Fresca 360g,,,Groceries->Frozen Foods->Pizza ,,6.96,,,,,,,GFFP052,GFFP052.JPG,,taxable,standard-rate
Buitoni Funghi Rustico 365g,,,Groceries->Frozen Foods->Pizza ,,6.96,,,,,,,GFFP053,GFFP053.JPG,,taxable,standard-rate
Buitoni Vegetale Grilled 385g,,,Groceries->Frozen Foods->Pizza ,,6.96,,,,,,,GFFP054,GFFP054.JPG,,taxable,standard-rate
McCain Ultra Thin Capicollo 334g,,,Groceries->Frozen Foods->Pizza ,,5.99,,,,,,,GFFP055,GFFP055.JPG,,taxable,standard-rate
McCain Ultra Thin Roasted Vegetable & Goat Cheese 348g,,,Groceries->Frozen Foods->Pizza ,,5.99,,,,,,,GFFP056,GFFP056.JPG,,taxable,standard-rate
McCain Ultra Thin Spinach & Provolone 357g,,,Groceries->Frozen Foods->Pizza ,,5.99,,,,,,,GFFP057,GFFP057.JPG,,taxable,standard-rate
McCain Ultra Thin Roasted Mushroom & Garlic 347g,,,Groceries->Frozen Foods->Pizza ,,5.99,,,,,,,GFFP058,GFFP058.JPG,,taxable,standard-rate
McCain Garlic Bread Fingers with Cheese 2pk,,,Groceries->Frozen Foods->Pizza ,,4.99,,,,,,,GFFP059,GFFP059.JPG,,taxable,standard-rate
McCain Ultra Thin Pollo 360g,,,Groceries->Frozen Foods->Pizza ,,5.99,,,,,,,GFFP060,GFFP060.JPG,,taxable,standard-rate
