title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
PopChips Tortilla Chips Salsa 85g,,,Snacks & Candies->Chips & Popcorn->Popchips & Rickworks,,2.99,,,,,,,SCPR001,SCPR001.JPG,,taxable ,standard-rate
PopChips Salt & Pepper Chips 85g,,,Snacks & Candies->Chips & Popcorn->Popchips & Rickworks,,2.99,,,,,,,SCPR002,SCPR002.JPG,,taxable ,standard-rate
PopChips Sour Cream & Onion Chips 85g,,,Snacks & Candies->Chips & Popcorn->Popchips & Rickworks,,2.99,,,,,,,SCPR003,SCPR003.JPG,,taxable ,standard-rate
PopChips BBQ 85g,,,Snacks & Candies->Chips & Popcorn->Popchips & Rickworks,,2.99,,,,,,,SCPR004,SCPR004.JPG,,taxable ,standard-rate
PopChips Cheddar Chips 85g,,,Snacks & Candies->Chips & Popcorn->Popchips & Rickworks,,2.99,,,,,,,SCPR005,SCPR005.JPG,,taxable ,standard-rate
popChips Tortilla Chips Ranch 85g,,,Snacks & Candies->Chips & Popcorn->Popchips & Rickworks,,2.99,,,,,,,SCPR006,SCPR006.JPG,,taxable ,standard-rate
PopChips Sea Salt & Vinegar Chips 85g,,,Snacks & Candies->Chips & Popcorn->Popchips & Rickworks,,2.99,,,,,,,SCPR007,SCPR007.JPG,,taxable ,standard-rate
PopChips Nacho Cheese Tortilla 85g ,,,Snacks & Candies->Chips & Popcorn->Popchips & Rickworks,,2.99,,,,,,,SCPR008,SCPR008.JPG,,taxable ,standard-rate
PopChips Original Chips 85g,,,Snacks & Candies->Chips & Popcorn->Popchips & Rickworks,,2.99,,,,,,,SCPR009,SCPR009.JPG,,taxable ,standard-rate
PopChips Ketchup 85g ,,,Snacks & Candies->Chips & Popcorn->Popchips & Rickworks,,2.99,,,,,,,SCPR010,SCPR010.JPG,,taxable ,standard-rate
Ricework Sweet Chili Rice Crisp 156g ,,,Snacks & Candies->Chips & Popcorn->Popchips & Rickworks,,3.37,,,,,,,SCPR011,SCPR011.JPG,,taxable ,standard-rate
Ricework Brown Rice Crisp 156g,,,Snacks & Candies->Chips & Popcorn->Popchips & Rickworks,,3.37,,,,,,,SCPR012,SCPR012.JPG,,taxable ,standard-rate
Ricework Rice Crisp Parmesan & Sundried Tomato 156g ,,,Snacks & Candies->Chips & Popcorn->Popchips & Rickworks,,3.37,,,,,,,SCPR013,SCPR013.JPG,,taxable ,standard-rate
Ricework Tangy BBQ 156g,,,Snacks & Candies->Chips & Popcorn->Popchips & Rickworks,,3.37,,,,,,,SCPR014,SCPR014.JPG,,taxable ,standard-rate
Ricework Sea Salt Rice Crisp 156g ,,,Snacks & Candies->Chips & Popcorn->Popchips & Rickworks,,3.37,,,,,,,SCPR015,SCPR015.JPG,,taxable ,standard-rate
Ricework Wild Riceworks 156g ,,,Snacks & Candies->Chips & Popcorn->Popchips & Rickworks,,3.37,,,,,,,SCPR016,SCPR016.JPG,,taxable ,standard-rate
