title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Sensations Kettle Corn Sweet & Salty 297g ,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,3.49,,,,,,,SCCPP001,SCCPP001.JPG,,taxable,standard-rate
Sensations kettle Corn White Cheddar 255g ,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,3.49,,,,,,,SCCPP002,SCCPP002.JPG,,taxable,standard-rate
Popcorn Indiana Kettlecorn Bacon Ranch 185g ,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,4.79,,,,,,,SCCPP003,SCCPP003.JPG,,taxable,standard-rate
Popcorn Indiana Kettlecorn Agd White Cheddar 255g ,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,4.79,,,,,,,SCCPP004,SCCPP004.JPG,,taxable,standard-rate
Popcorn Indiana Kettlecorn Original 297g ,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,4.79,,,,,,,SCCPP005,SCCPP005.JPG,,taxable,standard-rate
Popcorn Indiana Moive Theater Butter 212g,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,4.79,,,,,,,SCCPP006,SCCPP006.JPG,,taxable,standard-rate
Popcorn Indiana Kettlecorn Sea Salt 154 g ,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,4.79,,,,,,,SCCPP007,SCCPP007.JPG,,taxable,standard-rate
Orville Redenbachers Kettlecorn 220g ,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,3.99,,,,,,,SCCPP008,SCCPP008.JPG,,taxable,standard-rate
Orville Redenbachers White Cheddar 190g ,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,3.99,,,,,,,SCCPP009,SCCPP009.JPG,,taxable,standard-rate
Orville Redenbachers Chipotle White Cheddar 165g ,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,3.99,,,,,,,SCCPP010,SCCPP010.JPG,,taxable,standard-rate
Orville Redenbachers Dill Pickle 165g ,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,3.99,,,,,,,SCCPP011,SCCPP011.JPG,,taxable,standard-rate
Smartfood Movie Night Butter 170g ,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,4.29,,,,,,,SCCPP012,SCCPP012.JPG,,taxable,standard-rate
Smartfood Popcorn White Cheddar 220g ,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,4.29,,,,,,,SCCPP013,SCCPP013.JPG,,taxable,standard-rate
Smartfood Kettle Corn Sweet & Salty 220g ,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,4.29,,,,,,,SCCPP014,SCCPP014.JPG,,taxable,standard-rate
Chesters Popcorn Cheese 265g ,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,3.79,,,,,,,SCCPP015,SCCPP015.JPG,,taxable,standard-rate
JollyTime Healthy Pop 3pk 255g,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,3.29,,,,,,,SCCPP016,SCCPP016.JPG,,taxable,standard-rate
JollyTime Healthy Pop Kettle 136g,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,3.29,,,,,,,SCCPP017,SCCPP017.JPG,,taxable,standard-rate
Orville Redenbachers Smart Pop Mini 124g,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,3.49,,,,,,,SCCPP018,SCCPP018.JPG,,taxable,standard-rate
Orville Redenbachers Smart Pop 210g,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,3.49,,,,,,,SCCPP019,SCCPP019.JPG,,taxable,standard-rate
Orville Redenbachers Popcorn Buttery 246g,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,3.49,,,,,,,SCCPP020,SCCPP020.JPG,,taxable,standard-rate
Orville Redenbachers Mini Butter 170g,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,2.99,,,,,,,SCCPP021,SCCPP021.JPG,,taxable,standard-rate
Orville Redenbachers Smart Pop 100Cal 248g,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,5.49,,,,,,,SCCPP022,SCCPP022.JPG,,taxable,standard-rate
Orville Redenbachers Smart Pop 6pk 420g,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,5.49,,,,,,,SCCPP023,SCCPP023.JPG,,taxable,standard-rate
Orville Redenbachers Popcorn Butter 492g,,,Snacks & Candies->Chips & Popcorn->Popcorn ,,5.49,,,,,,,SCCPP024,SCCPP024.JPG,,taxable,standard-rate
