title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Pringles Pizza 168g ,,,Snacks & Candies->Chips & Popcorn->Pringles ,,2.49,,,,,,,SCP001,SCP001.JPG,,taxable ,standard-rate
Pringles Sour Cream & Onion Reduced Fat 159g,,,Snacks & Candies->Chips & Popcorn->Pringles ,,2.49,,,,,,,SCP002,SCP002.JPG,,taxable ,standard-rate
Pringles Original Reduced Fat 150g ,,,Snacks & Candies->Chips & Popcorn->Pringles ,,2.49,,,,,,,SCP003,SCP003.JPG,,taxable ,standard-rate
Pringles Multigrain Cheesy Cheddar Multigrain 187g ,,,Snacks & Candies->Chips & Popcorn->Pringles ,,2.49,,,,,,,SCP004,SCP004.JPG,,taxable ,standard-rate
Pringles Original Multigrain 177g ,,,Snacks & Candies->Chips & Popcorn->Pringles ,,2.49,,,,,,,SCP005,SCP005.JPG,,taxable ,standard-rate
Pringles Original 160g ,,,Snacks & Candies->Chips & Popcorn->Pringles ,,2.49,,,,,,,SCP006,SCP006.JPG,,taxable ,standard-rate
Pringles BBQ 168g ,,,Snacks & Candies->Chips & Popcorn->Pringles ,,2.49,,,,,,,SCP007,SCP007.JPG,,taxable ,standard-rate
Pringles Sour Cream & Onion 168g ,,,Snacks & Candies->Chips & Popcorn->Pringles ,,2.49,,,,,,,SCP008,SCP008.JPG,,taxable ,standard-rate
Pringles Salt & Vinegar 168g ,,,Snacks & Candies->Chips & Popcorn->Pringles ,,2.49,,,,,,,SCP009,SCP009.JPG,,taxable ,standard-rate
Pringles Stix Honey Butter 121g ,,,Snacks & Candies->Chips & Popcorn->Pringles ,,2.99,,,,,,,SCP010,SCP010.JPG,,taxable ,standard-rate
Pringles Stix Pizza 121g ,,,Snacks & Candies->Chips & Popcorn->Pringles ,,2.99,,,,,,,SCP011,SCP011.JPG,,taxable ,standard-rate
Pringles Stix Chesse 121g,,,Snacks & Candies->Chips & Popcorn->Pringles ,,2.99,,,,,,,SCP012,SCP012.JPG,,taxable ,standard-rate
Pringles Snack Stack Sour Cream & Onion 8Pk 152g ,,,Snacks & Candies->Chips & Popcorn->Pringles ,,4.29,,,,,,,SCP014,SCP014.JPG,,taxable ,standard-rate
