title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Ruffles Regular 340g ,,,Snacks & Candies->Chips & Popcorn->Ruffles ,,4.99,,,,,,,SCR001,SCR001.JPG,,taxable ,standard-rate
Ruffles Chips All Dressed 340g ,,,Snacks & Candies->Chips & Popcorn->Ruffles ,,4.99,,,,,,,SCR002,SCR002.JPG,,taxable ,standard-rate
Ruffles Chips Regular 235g ,,,Snacks & Candies->Chips & Popcorn->Ruffles ,,3.88,,,,,,,SCR003,SCR003.JPG,,taxable ,standard-rate
Ruffles Chips All Dressed 235g ,,,Snacks & Candies->Chips & Popcorn->Ruffles ,,3.88,,,,,,,SCR004,SCR004.JPG,,taxable ,standard-rate
Ruffles Sour Cream & Onion 235g ,,,Snacks & Candies->Chips & Popcorn->Ruffles ,,3.88,,,,,,,SCR005,SCR005.JPG,,taxable ,standard-rate
Ruffles Patato Skins Loaded 235g ,,,Snacks & Candies->Chips & Popcorn->Ruffles ,,3.88,,,,,,,SCR006,SCR006.JPG,,taxable ,standard-rate
Ruffles Lightly Salted 235g ,,,Snacks & Candies->Chips & Popcorn->Ruffles ,,3.88,,,,,,,SCR007,SCR007.JPG,,taxable ,standard-rate
Ruffles Hot Wings 235g ,,,Snacks & Candies->Chips & Popcorn->Ruffles ,,3.88,,,,,,,SCR008,SCR008.JPG,,taxable ,standard-rate
Ruffles BBQ 235g ,,,Snacks & Candies->Chips & Popcorn->Ruffles ,,3.88,,,,,,,SCR009,SCR009.JPG,,taxable ,standard-rate
Ruffles Sour Cream & BBQ 235g ,,,Snacks & Candies->Chips & Popcorn->Ruffles ,,3.88,,,,,,,SCR010,SCR010.JPG,,taxable ,standard-rate
Ruffles Au Gratin 235g ,,,Snacks & Candies->Chips & Popcorn->Ruffles ,,3.88,,,,,,,SCR011,SCR011.JPG,,taxable ,standard-rate
Ruffles Naturel Sea Salted Reduced Fat 227g ,,,Snacks & Candies->Chips & Popcorn->Ruffles ,,3.99,,,,,,,SCR012,SCR012.JPG,,taxable ,standard-rate
