title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Windsor Salt Household 2kg,,,Groceries->Condiments & Sauces->Salt & Sugar,,2.49,,,,,,,GCSS001,GCSS001.JPG,,taxable,standard-rate
Windsor Salt Coarse Kosher 1.36kg,,,Groceries->Condiments & Sauces->Salt & Sugar,,5.59,,,,,,,GCSS002,GCSS002.JPG,,taxable,standard-rate
Windsor Salt Coarse Pickling 2kg,,,Groceries->Condiments & Sauces->Salt & Sugar,,3.29,,,,,,,GCSS003,GCSS003.JPG,,taxable,standard-rate
Windsor Salt Table Salt 1kg,,,Groceries->Condiments & Sauces->Salt & Sugar,,1.49,,,,,,,GCSS004,GCSS004.JPG,,taxable,standard-rate
Windsor Half Salt 350g,,,Groceries->Condiments & Sauces->Salt & Sugar,,2.99,,,,,,,GCSS005,GCSS005.JPG,,taxable,standard-rate
Windsor Dial Shakers Table Salt 350g,,,Groceries->Condiments & Sauces->Salt & Sugar,,1.89,,,,,,,GCSS006,GCSS006.JPG,,taxable,standard-rate
Windsor Sea Salt Coarse 500g,,,Groceries->Condiments & Sauces->Salt & Sugar,,3.49,,,,,,,GCSS007,GCSS007.JPG,,taxable,standard-rate
RedPath Sugar Special Fine 2kg,,,Groceries->Condiments & Sauces->Salt & Sugar,,2.99,,,,,,,GCSS010,GCSS010.JPG,,taxable,standard-rate
RedPath Sugar Fine Grannulated 1kg ,,,Groceries->Condiments & Sauces->Salt & Sugar,,2.49,,,,,,,GCSS011,GCSS011.JPG,,taxable,standard-rate
RedPath Sugar Icing 1kg ,,,Groceries->Condiments & Sauces->Salt & Sugar,,2.99,,,,,,,GCSS012,GCSS012.JPG,,taxable,standard-rate
RedPath Sugar Golden Yellow 1kg,,,Groceries->Condiments & Sauces->Salt & Sugar,,2.99,,,,,,,GCSS013,GCSS013.JPG,,taxable,standard-rate
RedPath Quickset For Jam 1kg ,,,Groceries->Condiments & Sauces->Salt & Sugar,,3.49,,,,,,,GCSS014,GCSS014.JPG,,taxable,standard-rate
RedPath Sugar Fine Grannulated 4kg ,,,Groceries->Condiments & Sauces->Salt & Sugar,,4.99,,,,,,,GCSS015,GCSS015.JPG,,taxable,standard-rate
RedPath Brown Sugar Dark 1kg ,,,Groceries->Condiments & Sauces->Salt & Sugar,,3.99,,,,,,,GCSS016,GCSS016.JPG,,taxable,standard-rate
RedPath Brown Sugar Demerara 1kg,,,Groceries->Condiments & Sauces->Salt & Sugar,,2.99,,,,,,,GCSS017,GCSS017.JPG,,taxable,standard-rate
RedPath Sugar Tea Cube 500g,,,Groceries->Condiments & Sauces->Salt & Sugar,,2.99,,,,,,,GCSS018,GCSS018.JPG,,taxable,standard-rate
RedPath Dissolving Sugar 500g ,,,Groceries->Condiments & Sauces->Salt & Sugar,,2.99,,,,,,,GCSS019,GCSS019.JPG,,taxable,standard-rate
Compliments Organic Cane Sugar White 500g ,,,Groceries->Condiments & Sauces->Salt & Sugar,,2.99,,,,,,,GCSS020,GCSS020.JPG,,taxable,standard-rate
Compliments Organic Cane Sugar Brown 500g,,,Groceries->Condiments & Sauces->Salt & Sugar,,3.99,,,,,,,GCSS021,GCSS021.JPG,,taxable,standard-rate
Nabisco Sugar In The Raw 500g ,,,Groceries->Condiments & Sauces->Salt & Sugar,,2.99,,,,,,,GCSS022,GCSS022.JPG,,taxable,standard-rate
Compliments Sweetener Calorie Free 100Pk ,,,Groceries->Condiments & Sauces->Salt & Sugar,,2.49,,,,,,,GCSS023,GCSS023.JPG,,taxable,standard-rate
Compliments Sweetener with Sucralose 100Pk ,,,Groceries->Condiments & Sauces->Salt & Sugar,,4.49,,,,,,,GCSS024,GCSS024.JPG,,taxable,standard-rate
Compliments Stevia Sweetener 100Pk ,,,Groceries->Condiments & Sauces->Salt & Sugar,,6.49,,,,,,,GCSS025,GCSS025.JPG,,taxable,standard-rate
Splenda Sweetener No Calorie Sweetener Packet 100Pk,,,Groceries->Condiments & Sauces->Salt & Sugar,,6.99,,,,,,,GCSS026,GCSS026.JPG,,taxable,standard-rate
Splenda Flavour for Coffee French Vanilla 30Pk ,,,Groceries->Condiments & Sauces->Salt & Sugar,,5.49,,,,,,,GCSS027,GCSS027.JPG,,taxable,standard-rate
Splenda Flavour for Coffeee Hazelnut  30Pk ,,,Groceries->Condiments & Sauces->Salt & Sugar,,5.49,,,,,,,GCSS028,GCSS028.JPG,,taxable,standard-rate
SugarTwin Sugar Packets 100Pk ,,,Groceries->Condiments & Sauces->Salt & Sugar,,3.89,,,,,,,GCSS030,GCSS030.JPG,,taxable,standard-rate
Splenda Sweetener No Calorie Sweentener 110g,,,Groceries->Condiments & Sauces->Salt & Sugar,,5.99,,,,,,,GCSS031,GCSS031.JPG,,taxable,standard-rate
