title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Compliments 2 in 1 Classic Clean 420ml,,,Home & Lifestyle->Personal Care->Shampoo & Conditioner ,,4.69,,,,,,,HLPCSC001,HLPCSC001.JPG,,taxable,standard-rate
Head&Shoulders 2 in 1 Classic Clean 420ml,,,Home & Lifestyle->Personal Care->Shampoo & Conditioner ,,6.96,,,,,,,HLPCSC002,HLPCSC002.JPG,,taxable,standard-rate
Head&Shoulders Classic Clean Conditioner 400ml,,,Home & Lifestyle->Personal Care->Shampoo & Conditioner ,,6.96,,,,,,,HLPCSC003,HLPCSC003.JPG,,taxable,standard-rate
Compliments Normal Hair Shampooing 420ml,,,Home & Lifestyle->Personal Care->Shampoo & Conditioner ,,4.69,,,,,,,HLPCSC004,HLPCSC004.JPG,,taxable,standard-rate
Head&Shoulders Classic Clean Shampoo 420ml,,,Home & Lifestyle->Personal Care->Shampoo & Conditioner ,,6.96,,,,,,,HLPCSC005,HLPCSC005.JPG,,taxable,standard-rate
Compliments 2 in 1 Sensitive Scalp 420ml,,,Home & Lifestyle->Personal Care->Shampoo & Conditioner ,,4.69,,,,,,,HLPCSC006,HLPCSC006.JPG,,taxable,standard-rate
Head&Shoulders 2 in 1 Dry Scalp Care 420ml,,,Home & Lifestyle->Personal Care->Shampoo & Conditioner ,,6.96,,,,,,,HLPCSC007,HLPCSC007.JPG,,taxable,standard-rate
Compliments Dry Scalp Shampoo 420ml,,,Home & Lifestyle->Personal Care->Shampoo & Conditioner ,,4.69,,,,,,,HLPCSC008,HLPCSC008.JPG,,taxable,standard-rate
Head&Shoulders Dry Scalp Care Shampoo 420ml,,,Home & Lifestyle->Personal Care->Shampoo & Conditioner ,,6.96,,,,,,,HLPCSC009,HLPCSC009.JPG,,taxable,standard-rate
Head&Shoulders Men 2 in 1 Deep Clean 420ml,,,Home & Lifestyle->Personal Care->Shampoo & Conditioner ,,6.96,,,,,,,HLPCSC010,HLPCSC010.JPG,,taxable,standard-rate
Head&Shoulders 2 in 1 Itchy Scalp Care 420ml,,,Home & Lifestyle->Personal Care->Shampoo & Conditioner ,,6.96,,,,,,,HLPCSC011,HLPCSC011.JPG,,taxable,standard-rate
Head&Shoulders Itchy Scalp Care Conditoner 420ml,,,Home & Lifestyle->Personal Care->Shampoo & Conditioner ,,6.96,,,,,,,HLPCSC012,HLPCSC012.JPG,,taxable,standard-rate
Head&Shoulders Itchy Scalp Care Shampoo 420ml,,,Home & Lifestyle->Personal Care->Shampoo & Conditioner ,,6.96,,,,,,,HLPCSC013,HLPCSC013.JPG,,taxable,standard-rate
Head&Shoulders Men Old Spice 2 in 1 420ml,,,Home & Lifestyle->Personal Care->Shampoo & Conditioner ,,6.96,,,,,,,HLPCSC014,HLPCSC014.JPG,,taxable,standard-rate
Head&Shoulders Men Active Sport Shampoo 420ml,,,Home & Lifestyle->Personal Care->Shampoo & Conditioner ,,6.96,,,,,,,HLPCSC015,HLPCSC015.JPG,,taxable,standard-rate
Head&Shoulders Men Active Sport 2 in 1 420ml,,,Home & Lifestyle->Personal Care->Shampoo & Conditioner ,,6.96,,,,,,,HLPCSC016,HLPCSC016.JPG,,taxable,standard-rate
Head&Shoulders Damage Rescue 2 in 1 420ml,,,Home & Lifestyle->Personal Care->Shampoo & Conditioner ,,6.96,,,,,,,HLPCSC017,HLPCSC017.JPG,,taxable,standard-rate
Head&Shoulders Damage Rescue Conditioner 420ml,,,Home & Lifestyle->Personal Care->Shampoo & Conditioner ,,6.96,,,,,,,HLPCSC018,HLPCSC018.JPG,,taxable,standard-rate
Head&Shoulders Damage Rescue Shampoo 420ml,,,Home & Lifestyle->Personal Care->Shampoo & Conditioner ,,6.96,,,,,,,HLPCSC019,HLPCSC019.JPG,,taxable,standard-rate
Head&Shoulders Extra Volumn Shampoo 420ml,,,Home & Lifestyle->Personal Care->Shampoo & Conditioner ,,6.96,,,,,,,HLPCSC020,HLPCSC020.JPG,,taxable,standard-rate
Head&Shoulders Smooth&Silky Conditioner 420ml,,,Home & Lifestyle->Personal Care->Shampoo & Conditioner ,,6.96,,,,,,,HLPCSC021,HLPCSC021.JPG,,taxable,standard-rate
Head&Shoulders Men Refresh 2 in 1 420ml,,,Home & Lifestyle->Personal Care->Shampoo & Conditioner ,,6.96,,,,,,,HLPCSC022,HLPCSC022.JPG,,taxable,standard-rate
Head&Shoulders Green Apple Conditioner 420ml,,,Home & Lifestyle->Personal Care->Shampoo & Conditioner ,,6.96,,,,,,,HLPCSC023,HLPCSC023.JPG,,taxable,standard-rate
Head&Shoulders Green Apple Shampoo 420ml,,,Home & Lifestyle->Personal Care->Shampoo & Conditioner ,,6.96,,,,,,,HLPCSC024,HLPCSC024.JPG,,taxable,standard-rate
Head&Shoulders Green Apple 2 in 1 420ml,,,Home & Lifestyle->Personal Care->Shampoo & Conditioner ,,6.96,,,,,,,HLPCSC025,HLPCSC025.JPG,,taxable,standard-rate
Head&Shoulders Smooth&Silky Shampoo 420ml,,,Home & Lifestyle->Personal Care->Shampoo & Conditioner ,,6.96,,,,,,,HLPCSC026,HLPCSC026.JPG,,taxable,standard-rate
Head&Shoulders Smooth&Silky 2 in 1 420ml,,,Home & Lifestyle->Personal Care->Shampoo & Conditioner ,,6.96,,,,,,,HLPCSC027,HLPCSC027.JPG,,taxable,standard-rate
Head&Shoulders Ocean Lift Shampoo 420ml,,,Home & Lifestyle->Personal Care->Shampoo & Conditioner ,,6.96,,,,,,,HLPCSC028,HLPCSC028.JPG,,taxable,standard-rate
Clear Men 2 in 1 Clean and Refresh 381ml,,,Home & Lifestyle->Personal Care->Shampoo & Conditioner ,,7.99,,,,,,,HLPCSC029,HLPCSC029.JPG,,taxable,standard-rate
Clear Men 2 in 1 Dry Scalp Hydration 381ml,,,Home & Lifestyle->Personal Care->Shampoo & Conditioner ,,7.99,,,,,,,HLPCSC030,HLPCSC030.JPG,,taxable,standard-rate
