title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
SunChips Harvest Chedder 225g ,,,Snacks & Candies->Chips & Popcorn->SunChips & Cheetos & Fritos ,,3.99,,,,,,,SCSCF001,SCSCF001.JPG,,taxable ,standard-rate
SunChips French Onion 225g ,,,Snacks & Candies->Chips & Popcorn->SunChips & Cheetos & Fritos ,,3.99,,,,,,,SCSCF002,SCSCF002.JPG,,taxable ,standard-rate
SunChips Original 225g ,,,Snacks & Candies->Chips & Popcorn->SunChips & Cheetos & Fritos ,,3.99,,,,,,,SCSCF003,SCSCF003.JPG,,taxable ,standard-rate
SunChips Gargen Salsa 225g ,,,Snacks & Candies->Chips & Popcorn->SunChips & Cheetos & Fritos ,,3.99,,,,,,,SCSCF004,SCSCF004.JPG,,taxable ,standard-rate
Cheetos Crunchy Jalapeno Chedd 310g ,,,Snacks & Candies->Chips & Popcorn->SunChips & Cheetos & Fritos ,,3.88,,,,,,,SCSCF006,SCSCF006.JPG,,taxable ,standard-rate
Cheetos Crunchy 310g ,,,Snacks & Candies->Chips & Popcorn->SunChips & Cheetos & Fritos ,,3.88,,,,,,,SCSCF007,SCSCF007.JPG,,taxable ,standard-rate
Cheetos Puffs 285g ,,,Snacks & Candies->Chips & Popcorn->SunChips & Cheetos & Fritos ,,3.88,,,,,,,SCSCF008,SCSCF008.JPG,,taxable ,standard-rate
Fritos Corn Chips Org 370g ,,,Snacks & Candies->Chips & Popcorn->SunChips & Cheetos & Fritos ,,3.79,,,,,,,SCSCF009,SCSCF009.JPG,,taxable ,standard-rate
Fritos Corn Chips BBQ 370g ,,,Snacks & Candies->Chips & Popcorn->SunChips & Cheetos & Fritos ,,3.79,,,,,,,SCSCF010,SCSCF010.JPG,,taxable ,standard-rate
Fritos BBQ Hoops 370g ,,,Snacks & Candies->Chips & Popcorn->SunChips & Cheetos & Fritos ,,3.79,,,,,,,SCSCF011,SCSCF011.JPG,,taxable ,standard-rate
Fritos Snack Mix Original 370g ,,,Snacks & Candies->Chips & Popcorn->SunChips & Cheetos & Fritos ,,3.79,,,,,,,SCSCF012,SCSCF012.JPG,,taxable ,standard-rate
