title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Lipton Tea Spiced Cinnamon Chai 20pk,,,Groceries->Coffee & Tea->Tea,,4.49,,,,,,,GCTT001,GCTT001.JPG,,taxable,standard-rate
Lipton Tea Pyramid Earl Grey 20pk,,,Groceries->Coffee & Tea->Tea,,4.49,,,,,,,GCTT002,GCTT002.JPG,,taxable,standard-rate
Lipton Pyramid Summer Fruit Herbal Tea 20pk,,,Groceries->Coffee & Tea->Tea,,4.49,,,,,,,GCTT003,GCTT003.JPG,,taxable,standard-rate
Lipton Pyramid Lemon Ginger Infusion 20pk,,,Groceries->Coffee & Tea->Tea,,4.49,,,,,,,GCTT004,GCTT004.JPG,,taxable,standard-rate
Lipton Pyramid Tea Peppermint Infusion 20pk,,,Groceries->Coffee & Tea->Tea,,4.49,,,,,,,GCTT005,GCTT005.JPG,,taxable,standard-rate
Lipton Pyramid Camomile Infusion 20pk,,,Groceries->Coffee & Tea->Tea,,4.49,,,,,,,GCTT006,GCTT006.JPG,,taxable,standard-rate
Lipton Tea Green Cranberry Pomegranate 20pk,,,Groceries->Coffee & Tea->Tea,,4.49,,,,,,,GCTT007,GCTT007.JPG,,taxable,standard-rate
Lipton Tea Pyramid Green 20pk,,,Groceries->Coffee & Tea->Tea,,4.49,,,,,,,GCTT008,GCTT008.JPG,,taxable,standard-rate
Lipton Green Tea Mandarin Orange 20pk,,,Groceries->Coffee & Tea->Tea,,4.49,,,,,,,GCTT009,GCTT009.JPG,,taxable,standard-rate
Lipton Tea Green Decaf 72pk,,,Groceries->Coffee & Tea->Tea,,7.99,,,,,,,GCTT010,GCTT010.JPG,,taxable,standard-rate
Lipton Tea Green 100pk,,,Groceries->Coffee & Tea->Tea,,6.49,,,,,,,GCTT011,GCTT011.JPG,,taxable,standard-rate
Lipton Yellow Label 100pk,,,Groceries->Coffee & Tea->Tea,,6.49,,,,,,,GCTT012,GCTT012.JPG,,taxable,standard-rate
Twinings Tea Bags Peppermint 20pk,,,Groceries->Coffee & Tea->Tea,,4.99,,,,,,,GCTT013,GCTT013.JPG,,taxable,standard-rate
Twinings Tea Bags Camomile 20pk,,,Groceries->Coffee & Tea->Tea,,4.99,,,,,,,GCTT014,GCTT014.JPG,,taxable,standard-rate
Twinings Tea French Vanilla Chai 20pk,,,Groceries->Coffee & Tea->Tea,,4.99,,,,,,,GCTT015,GCTT015.JPG,,taxable,standard-rate
Twinings Tea Chai Tea Ultra Spice 20pk,,,Groceries->Coffee & Tea->Tea,,4.99,,,,,,,GCTT016,GCTT016.JPG,,taxable,standard-rate
Twinings Chai Tea Decaf 20pk,,,Groceries->Coffee & Tea->Tea,,4.99,,,,,,,GCTT017,GCTT017.JPG,,taxable,standard-rate
Twinings Tea Green Lemon 20pk,,,Groceries->Coffee & Tea->Tea,,4.99,,,,,,,GCTT018,GCTT018.JPG,,taxable,standard-rate
Twinings Tea Green 20pk,,,Groceries->Coffee & Tea->Tea,,4.99,,,,,,,GCTT019,GCTT019.JPG,,taxable,standard-rate
Twinings Tea Bags Lady Grey 20pk,,,Groceries->Coffee & Tea->Tea,,4.99,,,,,,,GCTT020,GCTT020.JPG,,taxable,standard-rate
Twinings Tea Bags Earl Grey Decaf 20pk,,,Groceries->Coffee & Tea->Tea,,4.99,,,,,,,GCTT021,GCTT021.JPG,,taxable,standard-rate
Twinings Tea Bags Earl Grey 20pk,,,Groceries->Coffee & Tea->Tea,,4.99,,,,,,,GCTT022,GCTT022.JPG,,taxable,standard-rate
Twinings Tea Bags Honeybush Mandari & Orange 20pk,,,Groceries->Coffee & Tea->Tea,,4.99,,,,,,,GCTT023,GCTT023.JPG,,taxable,standard-rate
Twinings Tea Bags Lemon Ginger 20pk,,,Groceries->Coffee & Tea->Tea,,4.99,,,,,,,GCTT024,GCTT024.JPG,,taxable,standard-rate
Twinings Tea Bags Variety Pack 20pk,,,Groceries->Coffee & Tea->Tea,,4.99,,,,,,,GCTT025,GCTT025.JPG,,taxable,standard-rate
Twinings Tea Breakfast Decaf 20pk,,,Groceries->Coffee & Tea->Tea,,4.99,,,,,,,GCTT026,GCTT026.JPG,,taxable,standard-rate
Twinings Tea English Breakfast 20pk,,,Groceries->Coffee & Tea->Tea,,4.99,,,,,,,GCTT027,GCTT027.JPG,,taxable,standard-rate
Twinings Tea Herbal Variety 20pk,,,Groceries->Coffee & Tea->Tea,,4.99,,,,,,,GCTT028,GCTT028.JPG,,taxable,standard-rate
Twinings Tea Herbal Pomegranate & Raspberry 20pk,,,Groceries->Coffee & Tea->Tea,,4.99,,,,,,,GCTT029,GCTT029.JPG,,taxable,standard-rate
Twinings Tea Goodnight Blend 20pk,,,Groceries->Coffee & Tea->Tea,,4.99,,,,,,,GCTT030,GCTT030.JPG,,taxable,standard-rate
Twinings Tea Bags Earl Grey 50pk,,,Groceries->Coffee & Tea->Tea,,8.99,,,,,,,GCTT031,GCTT031.JPG,,taxable,standard-rate
Twinings Tea Bags Breakfast 50pk,,,Groceries->Coffee & Tea->Tea,,8.99,,,,,,,GCTT032,GCTT032.JPG,,taxable,standard-rate
Tetley Tea Chai 20pk,,,Groceries->Coffee & Tea->Tea,,3.29,,,,,,,GCTT033,GCTT033.JPG,,taxable,standard-rate
Tetley Tea Rooibos Vanilla 20pk,,,Groceries->Coffee & Tea->Tea,,3.29,,,,,,,GCTT034,GCTT034.JPG,,taxable,standard-rate
Tetley Tea Earl Grey Decaf 24pk,,,Groceries->Coffee & Tea->Tea,,3.29,,,,,,,GCTT035,GCTT035.JPG,,taxable,standard-rate
Tetley Tea Earl Grey 24pk,,,Groceries->Coffee & Tea->Tea,,3.29,,,,,,,GCTT036,GCTT036.JPG,,taxable,standard-rate
Tetley Tea Bags Decaf 24pk,,,Groceries->Coffee & Tea->Tea,,3.29,,,,,,,GCTT037,GCTT037.JPG,,taxable,standard-rate
Tetley Spec Grn Tea Plus Aware 20pk,,,Groceries->Coffee & Tea->Tea,,3.29,,,,,,,GCTT038,GCTT038.JPG,,taxable,standard-rate
Tetley Spec Green Tea Plus Glow 20pk,,,Groceries->Coffee & Tea->Tea,,3.29,,,,,,,GCTT039,GCTT039.JPG,,taxable,standard-rate
Tetley Green Tea Plus Figure 20pk,,,Groceries->Coffee & Tea->Tea,,3.29,,,,,,,GCTT040,GCTT040.JPG,,taxable,standard-rate
Tetley Green Earl Grey 24pk,,,Groceries->Coffee & Tea->Tea,,3.29,,,,,,,GCTT041,GCTT041.JPG,,taxable,standard-rate
Tetley Tea Green Decaf 24pk,,,Groceries->Coffee & Tea->Tea,,3.29,,,,,,,GCTT042,GCTT042.JPG,,taxable,standard-rate
Tetley Tea Green Mint 24pk,,,Groceries->Coffee & Tea->Tea,,3.29,,,,,,,GCTT043,GCTT043.JPG,,taxable,standard-rate
Tetley Tea Green Mango 24pk,,,Groceries->Coffee & Tea->Tea,,3.29,,,,,,,GCTT044,GCTT044.JPG,,taxable,standard-rate
Tetley Tea Mojito 20pk,,,Groceries->Coffee & Tea->Tea,,3.29,,,,,,,GCTT045,GCTT045.JPG,,taxable,standard-rate
Tetley Tea Summer Berry 20pk,,,Groceries->Coffee & Tea->Tea,,3.29,,,,,,,GCTT046,GCTT046.JPG,,taxable,standard-rate
Tetley Tea Herbal Ginseng 20pk,,,Groceries->Coffee & Tea->Tea,,3.29,,,,,,,GCTT047,GCTT047.JPG,,taxable,standard-rate
Tetley Tea Herbal Cinnamon 20pk,,,Groceries->Coffee & Tea->Tea,,3.29,,,,,,,GCTT048,GCTT048.JPG,,taxable,standard-rate
Tetley Tea Green Honey 24pk,,,Groceries->Coffee & Tea->Tea,,3.29,,,,,,,GCTT049,GCTT049.JPG,,taxable,standard-rate
Tetley Tea Green Blueberry 24pk,,,Groceries->Coffee & Tea->Tea,,3.29,,,,,,,GCTT050,GCTT050.JPG,,taxable,standard-rate
Tetley Tea Green Jasmine 24pk,,,Groceries->Coffee & Tea->Tea,,3.29,,,,,,,GCTT051,GCTT051.JPG,,taxable,standard-rate
Tetley Tea Green Pomegranate 24pk,,,Groceries->Coffee & Tea->Tea,,3.29,,,,,,,GCTT052,GCTT052.JPG,,taxable,standard-rate
Tetley Tea Camomile Lemon 20pk,,,Groceries->Coffee & Tea->Tea,,3.29,,,,,,,GCTT053,GCTT053.JPG,,taxable,standard-rate
Tetley Tea Herbal Lemon & Honey 20pk,,,Groceries->Coffee & Tea->Tea,,3.29,,,,,,,GCTT054,GCTT054.JPG,,taxable,standard-rate
Tetley Tea Herbal Peppermint 20pk,,,Groceries->Coffee & Tea->Tea,,3.29,,,,,,,GCTT055,GCTT055.JPG,,taxable,standard-rate
Tetley Tea Classic Green 48pk,,,Groceries->Coffee & Tea->Tea,,5.99,,,,,,,GCTT056,GCTT056.JPG,,taxable,standard-rate
Tetley Tea Green Naturally Decaf 48pk,,,Groceries->Coffee & Tea->Tea,,5.99,,,,,,,GCTT057,GCTT057.JPG,,taxable,standard-rate
Tetley Tea Green Lemon 48pk,,,Groceries->Coffee & Tea->Tea,,5.99,,,,,,,GCTT058,GCTT058.JPG,,taxable,standard-rate
Tetley Tea Green Decaf 80pk,,,Groceries->Coffee & Tea->Tea,,7.99,,,,,,,GCTT059,GCTT059.JPG,,taxable,standard-rate
Tetley Tea Green 80pk,,,Groceries->Coffee & Tea->Tea,,7.99,,,,,,,GCTT060,GCTT060.JPG,,taxable,standard-rate
Tetley Tea Orange Decaf 48pk,,,Groceries->Coffee & Tea->Tea,,5.99,,,,,,,GCTT061,GCTT061.JPG,,taxable,standard-rate
Tetley Tea Orange Bold 72pk,,,Groceries->Coffee & Tea->Tea,,4.99,,,,,,,GCTT062,GCTT062.JPG,,taxable,standard-rate
Tetley Tea Decaf Orange Pekoe 80pk,,,Groceries->Coffee & Tea->Tea,,7.99,,,,,,,GCTT063,GCTT063.JPG,,taxable,standard-rate
Tetley Tea Orange Pekoe 72pk,,,Groceries->Coffee & Tea->Tea,,4.99,,,,,,,GCTT064,GCTT064.JPG,,taxable,standard-rate
Tetley Tea Bags Orange Pekoe 216pk,,,Groceries->Coffee & Tea->Tea,,9.99,,,,,,,GCTT065,GCTT065.JPG,,taxable,standard-rate
Tetley Herb Tea Camomile Mint 40pk,,,Groceries->Coffee & Tea->Tea,,5.99,,,,,,,GCTT066,GCTT066.JPG,,taxable,standard-rate
Tetley Herb Tea Pure Peppermint 40pk,,,Groceries->Coffee & Tea->Tea,,5.99,,,,,,,GCTT067,GCTT067.JPG,,taxable,standard-rate
Stash Tea Green Moroccan Mint 20pk,,,Groceries->Coffee & Tea->Tea,,4.49,,,,,,,GCTT068,GCTT068.JPG,,taxable,standard-rate
Stash Tea Licorice Spice 20pk,,,Groceries->Coffee & Tea->Tea,,4.49,,,,,,,GCTT069,GCTT069.JPG,,taxable,standard-rate
Stash Tea Herbal Camomile 20ok,,,Groceries->Coffee & Tea->Tea,,4.49,,,,,,,GCTT070,GCTT070.JPG,,taxable,standard-rate
Stash Tea Green Chai 20pk,,,Groceries->Coffee & Tea->Tea,,4.49,,,,,,,GCTT071,GCTT071.JPG,,taxable,standard-rate
Stash Tea Chai Spice Premium 20pk,,,Groceries->Coffee & Tea->Tea,,4.49,,,,,,,GCTT072,GCTT072.JPG,,taxable,standard-rate
Stash Tea Green Premium 20pk,,,Groceries->Coffee & Tea->Tea,,4.49,,,,,,,GCTT073,GCTT073.JPG,,taxable,standard-rate
Stash Tea Peppermint Foil 20pk,,,Groceries->Coffee & Tea->Tea,,4.49,,,,,,,GCTT074,GCTT074.JPG,,taxable,standard-rate
Stash Tea Herbal Sampler 18pk,,,Groceries->Coffee & Tea->Tea,,4.49,,,,,,,GCTT075,GCTT075.JPG,,taxable,standard-rate
Stash Earl Grey Double Bergamot 18pk,,,Groceries->Coffee & Tea->Tea,,4.49,,,,,,,GCTT076,GCTT076.JPG,,taxable,standard-rate
Stash Tea Lemon Ginger 20pk,,,Groceries->Coffee & Tea->Tea,,4.49,,,,,,,GCTT077,GCTT077.JPG,,taxable,standard-rate
Tazo Tea Awake 24pk,,,Groceries->Coffee & Tea->Tea,,5.49,,,,,,,GCTT078,GCTT078.JPG,,taxable,standard-rate
Tazo Tea Green Ginger 24pk,,,Groceries->Coffee & Tea->Tea,,5.49,,,,,,,GCTT079,GCTT079.JPG,,taxable,standard-rate
Tazo Tea Orangic Chai 24pk,,,Groceries->Coffee & Tea->Tea,,5.49,,,,,,,GCTT080,GCTT080.JPG,,taxable,standard-rate
Tazo Tea Zen Green 24pk,,,Groceries->Coffee & Tea->Tea,,5.49,,,,,,,GCTT081,GCTT081.JPG,,taxable,standard-rate
Tazo Tea Calm Herbal Caffeine Free 24pk,,,Groceries->Coffee & Tea->Tea,,5.49,,,,,,,GCTT082,GCTT082.JPG,,taxable,standard-rate
Compliments Tea Bags Green 48pk,,,Groceries->Coffee & Tea->Tea,,2.99,,,,,,,GCTT083,GCTT083.JPG,,taxable,standard-rate
Compliments Tea Bags Earl Grey 48pk,,,Groceries->Coffee & Tea->Tea,,5.49,,,,,,,GCTT084,GCTT084.JPG,,taxable,standard-rate
Compliments Tea Bags Eng Breakfast 72pk,,,Groceries->Coffee & Tea->Tea,,3.99,,,,,,,GCTT085,GCTT085.JPG,,taxable,standard-rate
Compliments Tea Bags Orange Pekoe 72pk,,,Groceries->Coffee & Tea->Tea,,4.49,,,,,,,GCTT086,GCTT086.JPG,,taxable,standard-rate
RedRose Tea Decaffeinated 48pk,,,Groceries->Coffee & Tea->Tea,,5.49,,,,,,,GCTT087,GCTT087.JPG,,taxable,standard-rate
RedRose Tea Canadian Breakfast 48pk,,,Groceries->Coffee & Tea->Tea,,5.29,,,,,,,GCTT088,GCTT088.JPG,,taxable,standard-rate
RedRose Tea Orange Pekoe 72pk,,,Groceries->Coffee & Tea->Tea,,5.29,,,,,,,GCTT089,GCTT089.JPG,,taxable,standard-rate
RedRose Tea Orange Pekoe 144pk,,,Groceries->Coffee & Tea->Tea,,7.69,,,,,,,GCTT090,GCTT090.JPG,,taxable,standard-rate
