title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Tray Corn 5Pk ,,,Produce->Fruit & Vegetable->Vegetable,,4.99,,,,,,,PFVV001,PFVV001.JPG,,non-taxable,zero-rate
Roma Tomatoes 0.3lb/Each ,,,Produce->Fruit & Vegetable->Vegetable,,0.6,,,,,,,PFVV003,PFVV003.JPG,,non-taxable,zero-rate
Tomatoes 0.5lb/Each,,,Produce->Fruit & Vegetable->Vegetable,,1,,,,,,,PFVV004,PFVV004.JPG,,non-taxable,zero-rate
Seedless Cucumbers 0.9lb/Each,,,Produce->Fruit & Vegetable->Vegetable,,1.79,,,,,,,PFVV005,PFVV005.JPG,,non-taxable,zero-rate
White Potatoes 0.4lb/Each,,,Produce->Fruit & Vegetable->Vegetable,,0.8,,,,,,,PFVV006,PFVV006.JPG,,non-taxable,zero-rate
Red Potatoes 0.4lb/Each,,,Produce->Fruit & Vegetable->Vegetable,,0.8,,,,,,,PFVV007,PFVV007.JPG,,non-taxable,zero-rate
Resset Potatoes 0.8lb/Each,,,Produce->Fruit & Vegetable->Vegetable,,1.2,,,,,,,PFVV008,PFVV008.JPG,,non-taxable,zero-rate
Mini Patatoes Bags 5lb/Pack,,,Produce->Fruit & Vegetable->Vegetable,,4.99,,,,,,,PFVV009,PFVV009.JPG,,non-taxable,zero-rate
Sweet Potatoes 0.4lb/Each,,,Produce->Fruit & Vegetable->Vegetable,,0.75,,,,,,,PFVV010,PFVV010.JPG,,non-taxable,zero-rate
Vidalia Onions 1.2lb/Each,,,Produce->Fruit & Vegetable->Vegetable,,2,,,,,,,PFVV011,PFVV011.JPG,,non-taxable,zero-rate
White Onions 0.7lb/Each,,,Produce->Fruit & Vegetable->Vegetable,,1.4,,,,,,,PFVV012,PFVV012.JPG,,non-taxable,zero-rate
Red Onions 0.5lb/Each ,,,Produce->Fruit & Vegetable->Vegetable,,1.25,,,,,,,PFVV013,PFVV013.JPG,,non-taxable,zero-rate
Spanish Onions 1.3lb/Each,,,Produce->Fruit & Vegetable->Vegetable,,1.7,,,,,,,PFVV014,PFVV014.JPG,,non-taxable,zero-rate
Garlic 5Pk ,,,Produce->Fruit & Vegetable->Vegetable,,0.99,,,,,,,PFVV015,PFVV015.JPG,,non-taxable,zero-rate
Ginger Root 0.6lb/Each,,,Produce->Fruit & Vegetable->Vegetable,,0.9,,,,,,,PFVV016,PFVV016.JPG,,non-taxable,zero-rate
Spaghetti Squash 2.5lb/Each,,,Produce->Fruit & Vegetable->Vegetable,,4.25,,,,,,,PFVV017,PFVV017.JPG,,non-taxable,zero-rate
Buttercup Squash 3lb/Each,,,Produce->Fruit & Vegetable->Vegetable,,5.99,,,,,,,PFVV018,PFVV018.JPG,,non-taxable,zero-rate
Butternut Squash 3lb/Each,,,Produce->Fruit & Vegetable->Vegetable,,5.99,,,,,,,PFVV019,PFVV019.JPG,,non-taxable,zero-rate
Acorn Squash 2lb/Each,,,Produce->Fruit & Vegetable->Vegetable,,3.99,,,,,,,PFVV020,PFVV020.JPG,,non-taxable,zero-rate
New White Potatoes Bags 10lb/Pack,,,Produce->Fruit & Vegetable->Vegetable,,6.99,,,,,,,PFVV021,PFVV021.JPG,,non-taxable,zero-rate
White Potatoes Bags 10lb/Pack ,,,Produce->Fruit & Vegetable->Vegetable,,3.99,,,,,,,PFVV022,PFVV022.JPG,,non-taxable,zero-rate
Green Leaf Lettuce 0.7lb/Each,,,Produce->Fruit & Vegetable->Vegetable,,1.49,,,,,,,PFVV023,PFVV023.JPG,,non-taxable,zero-rate
Red Leaf Lettuce 0.7lb/Each ,,,Produce->Fruit & Vegetable->Vegetable,,1.49,,,,,,,PFVV024,PFVV024.JPG,,non-taxable,zero-rate
Romaine Lettuce 1lb/Each,,,Produce->Fruit & Vegetable->Vegetable,,1.49,,,,,,,PFVV025,PFVV025.JPG,,non-taxable,zero-rate
Celery 1.8lb/Each,,,Produce->Fruit & Vegetable->Vegetable,,2.99,,,,,,,PFVV026,PFVV026.JPG,,non-taxable,zero-rate
Green Onions 0.2lb/Each,,,Produce->Fruit & Vegetable->Vegetable,,0.99,,,,,,,PFVV027,PFVV027.JPG,,non-taxable,zero-rate
Green Asparagus 1lb/Each,,,Produce->Fruit & Vegetable->Vegetable,,4.99,,,,,,,PFVV028,PFVV028.JPG,,non-taxable,zero-rate
Jalepeno Peppers 0.05lb/Each,,,Produce->Fruit & Vegetable->Vegetable,,0.15,,,,,,,PFVV030,PFVV030.JPG,,non-taxable,zero-rate
Broccoli 1.5lb/Each,,,Produce->Fruit & Vegetable->Vegetable,,1.99,,,,,,,PFVV031,PFVV031.JPG,,non-taxable,zero-rate
Cauliflower 2lb/Each,,,Produce->Fruit & Vegetable->Vegetable,,2.99,,,,,,,PFVV032,PFVV032.JPG,,non-taxable,zero-rate
