title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Astro Original Yogurt Plain 2% 750g,,,Groceries->Dairy & Dairy Products->Yogurt,,3.49,,,,,,,BDY001,BDY001.JPG,,taxable,standard-rate
Astro original Yogurt Skim 1% 750g,,,Groceries->Dairy & Dairy Products->Yogurt,,3.49,,,,,,,BDY002,BDY002.JPG,,taxable,standard-rate
Astro Original Yogurt Plain 0% 750g,,,Groceries->Dairy & Dairy Products->Yogurt,,3.49,,,,,,,BDY003,BDY003.JPG,,taxable,standard-rate
Astro Original Yogurt Vanilla 650g,,,Groceries->Dairy & Dairy Products->Yogurt,,3.49,,,,,,,BDY004,BDY004.JPG,,taxable,standard-rate
Astro Original Yogurt French Vanilla 750g,,,Groceries->Dairy & Dairy Products->Yogurt,,3.49,,,,,,,BDY005,BDY005.JPG,,taxable,standard-rate
Astro Yogurt Smooth'n Fruity Peach 650g,,,Groceries->Dairy & Dairy Products->Yogurt,,3.49,,,,,,,BDY006,BDY006.JPG,,taxable,standard-rate
Astro Yogurt Smooth'n Fruity Cherry 650g,,,Groceries->Dairy & Dairy Products->Yogurt,,3.49,,,,,,,BDY007,BDY007.JPG,,taxable,standard-rate
Astro Original Yogurt Balkan Style 750g,,,Groceries->Dairy & Dairy Products->Yogurt,,3.49,,,,,,,BDY008,BDY008.JPG,,taxable,standard-rate
Astro Original Yogurt Plain 3% 750g,,,Groceries->Dairy & Dairy Products->Yogurt,,3.49,,,,,,,BDY009,BDY009.JPG,,taxable,standard-rate
Astro Original Yogurt Caramel 6% 650g,,,Groceries->Dairy & Dairy Products->Yogurt,,3.49,,,,,,,BDY010,BDY010.JPG,,taxable,standard-rate
Astro Yogurt Smooth'n Fruity Blueberry 650g,,,Groceries->Dairy & Dairy Products->Yogurt,,3.49,,,,,,,BDY011,BDY011.JPG,,taxable,standard-rate
Astro Yogurt Smooth'n Fruity Vanilla 650g,,,Groceries->Dairy & Dairy Products->Yogurt,,3.49,,,,,,,BDY012,BDY012.JPG,,taxable,standard-rate
Astro Yogurt Smooth'n Fruity Strawberry 650g,,,Groceries->Dairy & Dairy Products->Yogurt,,3.49,,,,,,,BDY013,BDY013.JPG,,taxable,standard-rate
Astro Original Greek Yogurt Fat Free Fieldberry 500g,,,Groceries->Dairy & Dairy Products->Yogurt,,4.49,,,,,,,BDY014,BDY014.JPG,,taxable,standard-rate
Astro Original Greek Yogurt Fat Free Sweet Cream 500g,,,Groceries->Dairy & Dairy Products->Yogurt,,4.49,,,,,,,BDY015,BDY015.JPG,,taxable,standard-rate
