title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
GayLea Salted Butter 250g,,,Groceries->Dairy & Dairy Products->Butter & Margarine,,4.19,,,,,,,GDBM001,GDBM001.JPG,,taxable,standard-rate
Compliments Salted Butter 250g,,,Groceries->Dairy & Dairy Products->Butter & Margarine,,3.49,,,,,,,GDBM002,GDBM002.JPG,,taxable,standard-rate
Compliments Organic Salted Butter 250g,,,Groceries->Dairy & Dairy Products->Butter & Margarine,,4.79,,,,,,,GDBM003,GDBM003.JPG,,taxable,standard-rate
Cow Creamery Unsalted Creamy Butter 250g,,,Groceries->Dairy & Dairy Products->Butter & Margarine,,6.49,,,,,,,GDBM004,GDBM004.JPG,,taxable,standard-rate
Cow Creamery Sea Salted Creamy Butter 250g,,,Groceries->Dairy & Dairy Products->Butter & Margarine,,6.49,,,,,,,GDBM005,GDBM005.JPG,,taxable,standard-rate
Compliments Churned Unsalted Butter Sticks 454g,,,Groceries->Dairy & Dairy Products->Butter & Margarine,,5.49,,,,,,,GDBM006,GDBM006.JPG,,taxable,standard-rate
Gay Lea Unsalted Butter Sticks 454g,,,Groceries->Dairy & Dairy Products->Butter & Margarine,,6.19,,,,,,,GDBM007,GDBM007.JPG,,taxable,standard-rate
Gay Lea Light Butter with Canola Oil 227g,,,Groceries->Dairy & Dairy Products->Butter & Margarine,,3.99,,,,,,,GDBM008,GDBM008.JPG,,taxable,standard-rate
I Can't Believe It's Not Light Butter 454g,,,Groceries->Dairy & Dairy Products->Butter & Margarine,,4.09,,,,,,,GDBM009,GDBM009.JPG,,taxable,standard-rate
Becel Vagan Margarine 454g,,,Groceries->Dairy & Dairy Products->Butter & Margarine,,4.09,,,,,,,GDBM010,GDBM010.JPG,,taxable,standard-rate
Becel Salt-Free Margarine 454g,,,Groceries->Dairy & Dairy Products->Butter & Margarine,,4.09,,,,,,,GDBM011,GDBM011.JPG,,taxable,standard-rate
Compliments Churned Salted Butter Sticks 454g,,,Groceries->Dairy & Dairy Products->Butter & Margarine,,5.49,,,,,,,GDBM012,GDBM012.JPG,,taxable,standard-rate
Gay Lea Salted Butter 454g,,,Groceries->Dairy & Dairy Products->Butter & Margarine,,6.19,,,,,,,GDBM013,GDBM013.JPG,,taxable,standard-rate
Gay Lea Butter with Canola Oil 227g,,,Groceries->Dairy & Dairy Products->Butter & Margarine,,3.99,,,,,,,GDBM014,GDBM014.JPG,,taxable,standard-rate
