title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Lindt Excel Origins Madagascar,,,Snacks & Candies->Candies & Chocolates->Chocolate Bars,,3.88,,,,,,,SCCCCB001,SCCCCB001.JPG,,taxable,standard-rate
Lindt Excellence Ecuador,,,Snacks & Candies->Candies & Chocolates->Chocolate Bars,,3.88,,,,,,,SCCCCB002,SCCCCB002.JPG,,taxable,standard-rate
Lindt Excellence Chili,,,Snacks & Candies->Candies & Chocolates->Chocolate Bars,,3.88,,,,,,,SCCCCB003,SCCCCB003.JPG,,taxable,standard-rate
Lindt Excellence Sea Salt,,,Snacks & Candies->Candies & Chocolates->Chocolate Bars,,3.88,,,,,,,SCCCCB004,SCCCCB004.JPG,,taxable,standard-rate
Lindt Excellence Intense Orange,,,Snacks & Candies->Candies & Chocolates->Chocolate Bars,,3.88,,,,,,,SCCCCB005,SCCCCB005.JPG,,taxable,standard-rate
Lindt Excellence Extra Creamy,,,Snacks & Candies->Candies & Chocolates->Chocolate Bars,,3.88,,,,,,,SCCCCB006,SCCCCB006.JPG,,taxable,standard-rate
Lindt Excellence 50% Cacao,,,Snacks & Candies->Candies & Chocolates->Chocolate Bars,,3.88,,,,,,,SCCCCB007,SCCCCB007.JPG,,taxable,standard-rate
Lindt Excellence 70% Cacao,,,Snacks & Candies->Candies & Chocolates->Chocolate Bars,,3.88,,,,,,,SCCCCB008,SCCCCB008.JPG,,taxable,standard-rate
Lindt Excellence 85% Cacao,,,Snacks & Candies->Candies & Chocolates->Chocolate Bars,,3.88,,,,,,,SCCCCB009,SCCCCB009.JPG,,taxable,standard-rate
Lindt Swiss Dark Chocolate Bar,,,Snacks & Candies->Candies & Chocolates->Chocolate Bars,,2.99,,,,,,,SCCCCB010,SCCCCB010.JPG,,taxable,standard-rate
Lindt Hazelnut Milk Chocolatn,,,Snacks & Candies->Candies & Chocolates->Chocolate Bars,,2.99,,,,,,,SCCCCB011,SCCCCB011.JPG,,taxable,standard-rate
Lindt Swiss Classic White Chocolate,,,Snacks & Candies->Candies & Chocolates->Chocolate Bars,,2.99,,,,,,,SCCCCB012,SCCCCB012.JPG,,taxable,standard-rate
Lindt Swiss Classic Milk Chocolate,,,Snacks & Candies->Candies & Chocolates->Chocolate Bars,,2.99,,,,,,,SCCCCB013,SCCCCB013.JPG,,taxable,standard-rate
Lindt Petits Mousse Bar Dark,,,Snacks & Candies->Candies & Chocolates->Chocolate Bars,,4.99,,,,,,,SCCCCB014,SCCCCB014.JPG,,taxable,standard-rate
Lindt Grand Hazelnut Dark,,,Snacks & Candies->Candies & Chocolates->Chocolate Bars,,4.99,,,,,,,SCCCCB015,SCCCCB015.JPG,,taxable,standard-rate
Lindt Grand Hazelnut Milk,,,Snacks & Candies->Candies & Chocolates->Chocolate Bars,,4.99,,,,,,,SCCCCB016,SCCCCB016.JPG,,taxable,standard-rate
Cadbury Dark Chocolate Family,,,Snacks & Candies->Candies & Chocolates->Chocolate Bars,,2.59,,,,,,,SCCCCB017,SCCCCB017.JPG,,taxable,standard-rate
Cadbury Burnt Almond Fmily Bar,,,Snacks & Candies->Candies & Chocolates->Chocolate Bars,,2.59,,,,,,,SCCCCB018,SCCCCB018.JPG,,taxable,standard-rate
Cadbury Fruit & Nut Family,,,Snacks & Candies->Candies & Chocolates->Chocolate Bars,,2.59,,,,,,,SCCCCB019,SCCCCB019.JPG,,taxable,standard-rate
Cadbury Dairy Milk Bubbly,,,Snacks & Candies->Candies & Chocolates->Chocolate Bars,,2.59,,,,,,,SCCCCB020,SCCCCB020.JPG,,taxable,standard-rate
Cadbuty Dairy Milk Family,,,Snacks & Candies->Candies & Chocolates->Chocolate Bars,,2.59,,,,,,,SCCCCB021,SCCCCB021.JPG,,taxable,standard-rate
Cadbury Hazelnut Family,,,Snacks & Candies->Candies & Chocolates->Chocolate Bars,,2.59,,,,,,,SCCCCB022,SCCCCB022.JPG,,taxable,standard-rate
Cadbury Caramilk Family,,,Snacks & Candies->Candies & Chocolates->Chocolate Bars,,2.59,,,,,,,SCCCCB023,SCCCCB023.JPG,,taxable,standard-rate
