title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Mr. Clean Magic Eraser bath Crubnner 2Pk,,,Home & Lifestyle->Home Supplies->Cleaning Supplies ,,5.29,,,,,,,HLHSCH001,HLHSCH001.JPG,,taxable ,standard-rate
Mr. Clean Magic Eraser Extra Power 2Pk,,,Home & Lifestyle->Home Supplies->Cleaning Supplies ,,4.29,,,,,,,HLHSCH002,HLHSCH002.JPG,,taxable ,standard-rate
Mr. Clean magic Eraser Original 2Pk,,,Home & Lifestyle->Home Supplies->Cleaning Supplies ,,3.99,,,,,,,HLHSCH003,HLHSCH003.JPG,,taxable ,standard-rate
SOS Scrubber Sponge ,,,Home & Lifestyle->Home Supplies->Cleaning Supplies ,,2.99,,,,,,,HLHSCH004,HLHSCH004.JPG,,taxable ,standard-rate
SOS Steel Wool Soap Pads 10Pk,,,Home & Lifestyle->Home Supplies->Cleaning Supplies ,,2.59,,,,,,,HLHSCH005,HLHSCH005.JPG,,taxable ,standard-rate
Compliments All-Purpose Reusable Cloths 12Pk,,,Home & Lifestyle->Home Supplies->Cleaning Supplies ,,2.99,,,,,,,HLHSCH006,HLHSCH006.JPG,,taxable ,standard-rate
J Cloth Reusable Cleaning Cloths 8Pk,,,Home & Lifestyle->Home Supplies->Cleaning Supplies ,,3.49,,,,,,,HLHSCH007,HLHSCH007.JPG,,taxable ,standard-rate
Swiffer Sweeper Dry Sweeping Refills Lavender Vanilla 32Pk,,,Home & Lifestyle->Home Supplies->Cleaning Supplies ,,11.49,,,,,,,HLHSCH008,HLHSCH008.JPG,,taxable ,standard-rate
Swiffer Sweeper Dry Sweeping Refills 16Pk,,,Home & Lifestyle->Home Supplies->Cleaning Supplies ,,5.99,,,,,,,HLHSCH009,HLHSCH009.JPG,,taxable ,standard-rate
Swiffer Sweeper Dry Sweeping Refills Lavender Vanilla 16Pk,,,Home & Lifestyle->Home Supplies->Cleaning Supplies ,,5.99,,,,,,,HLHSCH010,HLHSCH010.JPG,,taxable ,standard-rate
Swiffer Duster Kit with 1 Handle and 5 Unscented Disposable Dusters Refills ,,,Home & Lifestyle->Home Supplies->Cleaning Supplies ,,11.49,,,,,,,HLHSCH011,HLHSCH011.JPG,,taxable ,standard-rate
Swiffer Sweeper Wet Mopping Refills Open Window Fresh Scent 12Pk,,,Home & Lifestyle->Home Supplies->Cleaning Supplies ,,5.99,,,,,,,HLHSCH012,HLHSCH012.JPG,,taxable ,standard-rate
Swiffer Sweeper Wet Mopping Refills Sweet Citrus & Zest Scented 12Pk,,,Home & Lifestyle->Home Supplies->Cleaning Supplies ,,5.99,,,,,,,HLHSCH013,HLHSCH013.JPG,,taxable ,standard-rate
Swiffer Wet Jet Original Pad Refills 12Pk,,,Home & Lifestyle->Home Supplies->Cleaning Supplies ,,9.49,,,,,,,HLHSCH014,HLHSCH014.JPG,,taxable ,standard-rate
Compliments Dish Mop ,,,Home & Lifestyle->Home Supplies->Cleaning Supplies ,,1.99,,,,,,,HLHSCH015,HLHSCH015.JPG,,taxable ,standard-rate
Compliments Terry Towels Green 71cm x 40cm 2Pk,,,Home & Lifestyle->Home Supplies->Cleaning Supplies ,,6.99,,,,,,,HLHSCH016,HLHSCH016.JPG,,taxable ,standard-rate
Compliments Terry Towels Black 71cm x 40cm 2Pk,,,Home & Lifestyle->Home Supplies->Cleaning Supplies ,,6.99,,,,,,,HLHSCH017,HLHSCH017.JPG,,taxable ,standard-rate
Compliments Terry Towels Brown 71cm x 40cm 2Pk,,,Home & Lifestyle->Home Supplies->Cleaning Supplies ,,6.99,,,,,,,HLHSCH018,HLHSCH018.JPG,,taxable ,standard-rate
Compliments Oven Mitts Green ,,,Home & Lifestyle->Home Supplies->Cleaning Supplies ,,6.99,,,,,,,HLHSCH019,HLHSCH019.JPG,,taxable ,standard-rate
Compliments Oven Mitts Black ,,,Home & Lifestyle->Home Supplies->Cleaning Supplies ,,6.99,,,,,,,HLHSCH020,HLHSCH020.JPG,,taxable ,standard-rate
Compliments Oven Mitts Brown ,,,Home & Lifestyle->Home Supplies->Cleaning Supplies ,,6.99,,,,,,,HLHSCH021,HLHSCH021.JPG,,taxable ,standard-rate
Compliments Heavy Duty Latex Rubber Gloves L/XL 1Pk,,,Home & Lifestyle->Home Supplies->Cleaning Supplies ,,3.79,,,,,,,HLHSCH022,HLHSCH022.JPG,,taxable ,standard-rate
Compliments Heavy Duty Latex Rubber Gloves S/M 1Pk,,,Home & Lifestyle->Home Supplies->Cleaning Supplies ,,3.79,,,,,,,HLHSCH023,HLHSCH023.JPG,,taxable ,standard-rate
Compliments Lined Latex Gloves M 1Pk,,,Home & Lifestyle->Home Supplies->Cleaning Supplies ,,2.29,,,,,,,HLHSCH024,HLHSCH024.JPG,,taxable ,standard-rate
Compliments Lined Latex Gloves S 1Pk,,,Home & Lifestyle->Home Supplies->Cleaning Supplies ,,2.29,,,,,,,HLHSCH025,HLHSCH025.JPG,,taxable ,standard-rate
Compliments Non-Latex Vinyl Gloves L/XL 1Pk,,,Home & Lifestyle->Home Supplies->Cleaning Supplies ,,3.79,,,,,,,HLHSCH026,HLHSCH026.JPG,,taxable ,standard-rate
Compliments Non-Latex Vinyl Gloves S/M 1Pk,,,Home & Lifestyle->Home Supplies->Cleaning Supplies ,,3.79,,,,,,,HLHSCH027,HLHSCH027.JPG,,taxable ,standard-rate
Compliments Lined Latex Gloves XL 1Pk,,,Home & Lifestyle->Home Supplies->Cleaning Supplies ,,2.29,,,,,,,HLHSCH028,HLHSCH028.JPG,,taxable ,standard-rate
Compliments Lines Latex Gloves L 1Pk,,,Home & Lifestyle->Home Supplies->Cleaning Supplies ,,2.29,,,,,,,HLHSCH029,HLHSCH029.JPG,,taxable ,standard-rate
Compliments Terry Kitchen Towels 48cm x 40cm 4Pk,,,Home & Lifestyle->Home Supplies->Cleaning Supplies ,,3.99,,,,,,,HLHSCH030,HLHSCH030.JPG,,taxable ,standard-rate
Compliments Heavy Duty Scour Foam Sponge ,,,Home & Lifestyle->Home Supplies->Cleaning Supplies ,,1.99,,,,,,,HLHSCH031,HLHSCH031.JPG,,taxable ,standard-rate
Compliments Heavy Duty Scour Pads 4Pk,,,Home & Lifestyle->Home Supplies->Cleaning Supplies ,,1.99,,,,,,,HLHSCH032,HLHSCH032.JPG,,taxable ,standard-rate
Compliments Light Duty Scour Pads 4Pk,,,Home & Lifestyle->Home Supplies->Cleaning Supplies ,,1.79,,,,,,,HLHSCH033,HLHSCH033.JPG,,taxable ,standard-rate
Compliments Heavy Duty Scour Foam Sponges 4Pk,,,Home & Lifestyle->Home Supplies->Cleaning Supplies ,,1.99,,,,,,,HLHSCH034,HLHSCH034.JPG,,taxable ,standard-rate
Compliments Stainless Steel Spiral Scours 3Pk,,,Home & Lifestyle->Home Supplies->Cleaning Supplies ,,3.79,,,,,,,HLHSCH035,HLHSCH035.JPG,,taxable ,standard-rate
Compliments Brass Spiral Scours 2Pk,,,Home & Lifestyle->Home Supplies->Cleaning Supplies ,,3.29,,,,,,,HLHSCH036,HLHSCH036.JPG,,taxable ,standard-rate
Compliments Delicate Scour Pad 3Pk,,,Home & Lifestyle->Home Supplies->Cleaning Supplies ,,2.99,,,,,,,HLHSCH037,HLHSCH037.JPG,,taxable ,standard-rate
Compliments Light Duty Cellulose Scour Sponges 2Pk,,,Home & Lifestyle->Home Supplies->Cleaning Supplies ,,2.29,,,,,,,HLHSCH038,HLHSCH038.JPG,,taxable ,standard-rate
Compliments Heavy Duty Cellulose Scour Sponges 2Pk,,,Home & Lifestyle->Home Supplies->Cleaning Supplies ,,2.29,,,,,,,HLHSCH039,HLHSCH039.JPG,,taxable ,standard-rate
Compliments Copper Scours 3Pk,,,Home & Lifestyle->Home Supplies->Cleaning Supplies ,,4.79,,,,,,,HLHSCH040,HLHSCH040.JPG,,taxable ,standard-rate
Compliments Large Cellulose Sponges 2Pk,,,Home & Lifestyle->Home Supplies->Cleaning Supplies ,,3.29,,,,,,,HLHSCH041,HLHSCH041.JPG,,taxable ,standard-rate
Compliments Cellulose Sponges 4Pk,,,Home & Lifestyle->Home Supplies->Cleaning Supplies ,,2.29,,,,,,,HLHSCH042,HLHSCH042.JPG,,taxable ,standard-rate
