title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Starbucks Kcup Veranda Blend Blonde 12g 10Pk ,,,Groceries->Coffee & Tea->Coffee ,,10.99,,,,,,,GCTC001,GCTC001.JPG,,taxable,standard-rate
Starbucks House Blend Medium 12g 10Pk ,,,Groceries->Coffee & Tea->Coffee ,,10.99,,,,,,,GCTC002,GCTC002.JPG,,taxable,standard-rate
Starbucks Kcup Decaf House Blend Medium 12g 10Pk ,,,Groceries->Coffee & Tea->Coffee ,,10.99,,,,,,,GCTC003,GCTC003.JPG,,taxable,standard-rate
Starbucks Kcup Pike Place Roast Medium 12g 10Pk ,,,Groceries->Coffee & Tea->Coffee ,,10.99,,,,,,,GCTC004,GCTC004.JPG,,taxable,standard-rate
Starbucks Kcup French Roast Dark 12g 10Pk ,,,Groceries->Coffee & Tea->Coffee ,,10.99,,,,,,,GCTC005,GCTC005.JPG,,taxable,standard-rate
Starbucks Sumatra Dark 10Pk ,,,Groceries->Coffee & Tea->Coffee ,,10.99,,,,,,,GCTC006,GCTC006.JPG,,taxable,standard-rate
Starbucks Caffe Verona Dark 10Pk ,,,Groceries->Coffee & Tea->Coffee ,,10.99,,,,,,,GCTC007,GCTC007.JPG,,taxable,standard-rate
Van Houtt Kcup French Vanilla Brew over Ice 12Pk ,,,Groceries->Coffee & Tea->Coffee ,,9.49,,,,,,,GCTC008,GCTC008.JPG,,taxable,standard-rate
Van Houtt Kcup House Blend 3/4Light 1/4Dark 12Pk ,,,Groceries->Coffee & Tea->Coffee ,,9.49,,,,,,,GCTC009,GCTC009.JPG,,taxable,standard-rate
Van Houtt Kcup Colombian Medium Roast  12Pk ,,,Groceries->Coffee & Tea->Coffee ,,9.49,,,,,,,GCTC010,GCTC010.JPG,,taxable,standard-rate
Van Houtt Kcup Decaf House Blend 12Pk ,,,Groceries->Coffee & Tea->Coffee ,,9.49,,,,,,,GCTC011,GCTC011.JPG,,taxable,standard-rate
Van Houtt Kcup Colombian Dark 12Pk ,,,Groceries->Coffee & Tea->Coffee ,,9.49,,,,,,,GCTC012,GCTC012.JPG,,taxable,standard-rate
Van Houtt Kcup Raspberry Chocolate Truffle 12Pk ,,,Groceries->Coffee & Tea->Coffee ,,9.49,,,,,,,GCTC013,GCTC013.JPG,,taxable,standard-rate
Van Houtt Kcup Vanilla Hazelnut Light 12Pk ,,,Groceries->Coffee & Tea->Coffee ,,9.49,,,,,,,GCTC014,GCTC014.JPG,,taxable,standard-rate
Van Houtt Kcup Butterscotch 12Pk ,,,Groceries->Coffee & Tea->Coffee ,,9.49,,,,,,,GCTC015,GCTC015.JPG,,taxable,standard-rate
