title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Dad's Oatmeal Chocolate Chip Portion Packs 350g,,,Snacks & Candies->Cookies & Biscuits->Cookies,,4.39,,,,,,,SCC001,SCC001.JPG,,taxable,standard-rate
Dad's Chewy Oatmeal Chocolate Chip 325g,,,Snacks & Candies->Cookies & Biscuits->Cookies,,4.39,,,,,,,SCC002,SCC002.JPG,,taxable,standard-rate
Dad's Classic Oatmeal Portion Packs 350g,,,Snacks & Candies->Cookies & Biscuits->Cookies,,4.39,,,,,,,SCC003,SCC003.JPG,,taxable,standard-rate
Dad's Oatmeal Chocolate Chip 350g,,,Snacks & Candies->Cookies & Biscuits->Cookies,,4.39,,,,,,,SCC004,SCC004.JPG,,taxable,standard-rate
Dad's Oatmeal 350g,,,Snacks & Candies->Cookies & Biscuits->Cookies,,4.39,,,,,,,SCC005,SCC005.JPG,,taxable,standard-rate
PeekFrean LifeStyle Vanilla Yogurt 256g,,,Snacks & Candies->Cookies & Biscuits->Cookies,,4.09,,,,,,,SCC006,SCC006.JPG,,taxable,standard-rate
PeekFrean LifeStyle Shortcake 275g,,,Snacks & Candies->Cookies & Biscuits->Cookies,,4.09,,,,,,,SCC007,SCC007.JPG,,taxable,standard-rate
PeekFrean LifeStyle Cookies Vanilla Been Latte 350g,,,Snacks & Candies->Cookies & Biscuits->Cookies,,4.09,,,,,,,SCC008,SCC008.JPG,,taxable,standard-rate
PeekFrean LifeStyle Chocolate Creme  256g,,,Snacks & Candies->Cookies & Biscuits->Cookies,,4.09,,,,,,,SCC009,SCC009.JPG,,taxable,standard-rate
PeekFrean LifeStyle Fruit Creme 275g,,,Snacks & Candies->Cookies & Biscuits->Cookies,,4.09,,,,,,,SCC010,SCC010.JPG,,taxable,standard-rate
PeekFrean LifeStyle Cranberry Citrus Oat Crunch 350g,,,Snacks & Candies->Cookies & Biscuits->Cookies,,4.09,,,,,,,SCC011,SCC011.JPG,,taxable,standard-rate
PeekFrean LifeStyle Bran Crunch 275g,,,Snacks & Candies->Cookies & Biscuits->Cookies,,4.09,,,,,,,SCC012,SCC012.JPG,,taxable,standard-rate
PeekFrean LifeStyle Dark Chocolate Cherry 290g,,,Snacks & Candies->Cookies & Biscuits->Cookies,,4.09,,,,,,,SCC013,SCC013.JPG,,taxable,standard-rate
PeekFrean LifeStyle Banana Chocolate 290g ,,,Snacks & Candies->Cookies & Biscuits->Cookies,,4.09,,,,,,,SCC014,SCC014.JPG,,taxable,standard-rate
PeekFrean LifeStyle Peach Yogurt 290g,,,Snacks & Candies->Cookies & Biscuits->Cookies,,4.09,,,,,,,SCC015,SCC015.JPG,,taxable,standard-rate
