title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Betty Croker Scalloped Potatoes Au Gratin 141g,,,Groceries->Dried Side Dishes ,,2.29,,,,,,,GDSD001,GDSD001.JPG,,taxable,standard-rate
Betty Croker Scalloped Potatoes Creamy Scalloped 141g,,,Groceries->Dried Side Dishes ,,2.29,,,,,,,GDSD002,GDSD002.JPG,,taxable,standard-rate
Betty Croker Scalloped Potatoes Country Cut Cheddar 142g,,,Groceries->Dried Side Dishes ,,2.29,,,,,,,GDSD003,GDSD003.JPG,,taxable,standard-rate
Betty Croker Scalloped Potatoes Cheddar & Bacon 148g,,,Groceries->Dried Side Dishes ,,2.29,,,,,,,GDSD004,GDSD004.JPG,,taxable,standard-rate
Betty Croker Scalloped Potatoes Sour Cream & Chives 141g,,,Groceries->Dried Side Dishes ,,2.29,,,,,,,GDSD005,GDSD005.JPG,,taxable,standard-rate
Betty Croker Mashed Potatoes Butter & Herb 215g,,,Groceries->Dried Side Dishes ,,2.29,,,,,,,GDSD006,GDSD006.JPG,,taxable,standard-rate
Betty Croker Mashed Potatoes Roasted Garlic 215g,,,Groceries->Dried Side Dishes ,,2.49,,,,,,,GDSD007,GDSD007.JPG,,taxable,standard-rate
Betty Croker Mashed Potatoes Homestyle 180g,,,Groceries->Dried Side Dishes ,,2.49,,,,,,,GDSD008,GDSD008.JPG,,taxable,standard-rate
Compliments Scalloped Potatoes Au Gratin 116g,,,Groceries->Dried Side Dishes ,,1.99,,,,,,,GDSD009,GDSD009.JPG,,taxable,standard-rate
Compliments Scalloped Potatoes Cheddar & Bacon 116g,,,Groceries->Dried Side Dishes ,,1.99,,,,,,,GDSD010,GDSD010.JPG,,taxable,standard-rate
Compliments Mashed Potatoes Butter & Herb 156g,,,Groceries->Dried Side Dishes ,,1.99,,,,,,,GDSD011,GDSD011.JPG,,taxable,standard-rate
Compliments Scalloped Potatoes Creamy 116g,,,Groceries->Dried Side Dishes ,,1.99,,,,,,,GDSD012,GDSD012.JPG,,taxable,standard-rate
Compliments Mashed Potatoes Homestyle 156g,,,Groceries->Dried Side Dishes ,,1.99,,,,,,,GDSD013,GDSD013.JPG,,taxable,standard-rate
Compliments Mashed Potatoes Roasted Garlic 156g,,,Groceries->Dried Side Dishes ,,1.99,,,,,,,GDSD014,GDSD014.JPG,,taxable,standard-rate
Compliments Three Cheese Manicotti Hamburger Meal 240g,,,Groceries->Dried Side Dishes ,,2.29,,,,,,,GDSD015,GDSD015.JPG,,taxable,standard-rate
Compliments Lasagna Hamburger Meal 220g,,,Groceries->Dried Side Dishes ,,2.29,,,,,,,GDSD016,GDSD016.JPG,,taxable,standard-rate
Compliments Beef Noodle Hamburger Meal 200g,,,Groceries->Dried Side Dishes ,,2.29,,,,,,,GDSD017,GDSD017.JPG,,taxable,standard-rate
Compliments Stroganoff Hamburger Meal 227g,,,Groceries->Dried Side Dishes ,,2.29,,,,,,,GDSD018,GDSD018.JPG,,taxable,standard-rate
Compliments Penne White Cheddar 200g,,,Groceries->Dried Side Dishes ,,0.99,,,,,,,GDSD019,GDSD019.JPG,,taxable,standard-rate
Compliments Deluxe White Cheddar 200g,,,Groceries->Dried Side Dishes ,,0.99,,,,,,,GDSD020,GDSD020.JPG,,taxable,standard-rate
Compliments Extra Creamy Cheddar 200g,,,Groceries->Dried Side Dishes ,,0.99,,,,,,,GDSD021,GDSD021.JPG,,taxable,standard-rate
Kraft Dinner Alfredo 175g,,,Groceries->Dried Side Dishes ,,1.99,,,,,,,GDSD022,GDSD022.JPG,,taxable,standard-rate
Kraft Dinner White Cheddar 200g,,,Groceries->Dried Side Dishes ,,1.99,,,,,,,GDSD023,GDSD023.JPG,,taxable,standard-rate
Kraft Dinner Three Cheese 200g,,,Groceries->Dried Side Dishes ,,1.99,,,,,,,GDSD024,GDSD024.JPG,,taxable,standard-rate
Kraft Dinner Spirals 200g,,,Groceries->Dried Side Dishes ,,1.99,,,,,,,GDSD025,GDSD025.JPG,,taxable,standard-rate
Kraft Dinner Original 225g 12pk,,,Groceries->Dried Side Dishes ,,14.99,,,,,,,GDSD026,GDSD026.JPG,,taxable,standard-rate
Kraft Dinner Original Family Size 411g,,,Groceries->Dried Side Dishes ,,3.29,,,,,,,GDSD027,GDSD027.JPG,,taxable,standard-rate
Kraft Dinner Sharp Cheddar 200g,,,Groceries->Dried Side Dishes ,,1.99,,,,,,,GDSD028,GDSD028.JPG,,taxable,standard-rate
Kraft Dinner Smart Flax Omega-3 200g,,,Groceries->Dried Side Dishes ,,1.99,,,,,,,GDSD029,GDSD029.JPG,,taxable,standard-rate
Kraft Dinner Whole Wheat White Cheddar 200g,,,Groceries->Dried Side Dishes ,,1.99,,,,,,,GDSD030,GDSD030.JPG,,taxable,standard-rate
Kraft Dinner Smart High Fibre 200g,,,Groceries->Dried Side Dishes ,,1.99,,,,,,,GDSD031,GDSD031.JPG,,taxable,standard-rate
Kraft Pasta Salad Macaroni 200g ,,,Groceries->Dried Side Dishes ,,1.99,,,,,,,GDSD032,GDSD032.JPG,,taxable,standard-rate
"Kraft Pizza Crust Mix with Cheese, Herbs & Tomato Sauce 850g",,,Groceries->Dried Side Dishes ,,5.99,,,,,,,GDSD033,GDSD033.JPG,,taxable,standard-rate
Kraft Dinner Extra Creamy 200g,,,Groceries->Dried Side Dishes ,,1.99,,,,,,,GDSD034,GDSD034.JPG,,taxable,standard-rate
Kraft Dinner Smart Vegetable 150g,,,Groceries->Dried Side Dishes ,,1.99,,,,,,,GDSD035,GDSD035.JPG,,taxable,standard-rate
