title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
L'Oreal Active Hydrafresh Refreshing Gel-Cream SPF-15 Normal to Oily Skin 70ml,,,Home & Lifestyle->Personal Care->Facial Care & Body Lotion,,14.49,,,,,,,HLPCFCBL001,HLPCFCBL001.JPG,,taxable,standard-rate
L'Oreal Wrinkle Defense Moisturizing Cream 50ml,,,Home & Lifestyle->Personal Care->Facial Care & Body Lotion,,18.99,,,,,,,HLPCFCBL002,HLPCFCBL002.JPG,,taxable,standard-rate
L'Oreal Eye Defense Gel Cream 15ml,,,Home & Lifestyle->Personal Care->Facial Care & Body Lotion,,18.99,,,,,,,HLPCFCBL003,HLPCFCBL003.JPG,,taxable,standard-rate
L'Oreal Active Futre-e Moisturizing Cream Dry & Sensitive Skin 50ml,,,Home & Lifestyle->Personal Care->Facial Care & Body Lotion,,13.99,,,,,,,HLPCFCBL004,HLPCFCBL004.JPG,,taxable,standard-rate
L'Oreal Futur-e Moisturizing Lotion SPE-15 Normal to Dry Skin 120ml,,,Home & Lifestyle->Personal Care->Facial Care & Body Lotion,,13.99,,,,,,,HLPCFCBL005,HLPCFCBL005.JPG,,taxable,standard-rate
L'Oreal Revitalift Wet Cleansing Towerlettes,,,Home & Lifestyle->Personal Care->Facial Care & Body Lotion,,10.99,,,,,,,HLPCFCBL006,HLPCFCBL006.JPG,,taxable,standard-rate
L'Oreal Age Perfect Anti-Fatigue Cleansing Lotion Mature Skin 200ml,,,Home & Lifestyle->Personal Care->Facial Care & Body Lotion,,11.99,,,,,,,HLPCFCBL007,HLPCFCBL007.JPG,,taxable,standard-rate
L'Oreal Age Perfect Anti-Fatigue Toner Mature Skin 200ml,,,Home & Lifestyle->Personal Care->Facial Care & Body Lotion,,11.99,,,,,,,HLPCFCBL008,HLPCFCBL008.JPG,,taxable,standard-rate
L'Oreal Go 360 Clean Deep Exfoliating Scrub All Skin 178ml,,,Home & Lifestyle->Personal Care->Facial Care & Body Lotion,,11.99,,,,,,,HLPCFCBL009,HLPCFCBL009.JPG,,taxable,standard-rate
L'Oreal Go 360 Clean Deep Cream Cleanser Normal to Dry Skin 178ml,,,Home & Lifestyle->Personal Care->Facial Care & Body Lotion,,11.99,,,,,,,HLPCFCBL010,HLPCFCBL010.JPG,,taxable,standard-rate
L'Oreal Go 360 Clean Deep Facial Cleanser Combination Skin 178ml,,,Home & Lifestyle->Personal Care->Facial Care & Body Lotion,,11.99,,,,,,,HLPCFCBL011,HLPCFCBL011.JPG,,taxable,standard-rate
L'Oreal Go 360 Clean Deep Facial Cleanser Sensitive Skin 178ml,,,Home & Lifestyle->Personal Care->Facial Care & Body Lotion,,11.99,,,,,,,HLPCFCBL012,HLPCFCBL012.JPG,,taxable,standard-rate
Pond's Dry Skin Cream 180ml,,,Home & Lifestyle->Personal Care->Facial Care & Body Lotion,,7.99,,,,,,,HLPCFCBL013,HLPCFCBL013.JPG,,taxable,standard-rate
Olay Complete All Day Moisture Cream Normal SPF-15 60ml,,,Home & Lifestyle->Personal Care->Facial Care & Body Lotion,,11.99,,,,,,,HLPCFCBL014,HLPCFCBL014.JPG,,taxable,standard-rate
Olay Moisturizing Cream Sensitive Skin 100ml,,,Home & Lifestyle->Personal Care->Facial Care & Body Lotion,,12.99,,,,,,,HLPCFCBL015,HLPCFCBL015.JPG,,taxable,standard-rate
Olay Moisturizing Lotion Sensitive Skin 120ml,,,Home & Lifestyle->Personal Care->Facial Care & Body Lotion,,10.99,,,,,,,HLPCFCBL016,HLPCFCBL016.JPG,,taxable,standard-rate
Olay Age Defying Protective Renewal Lotion 120ml,,,Home & Lifestyle->Personal Care->Facial Care & Body Lotion,,14.99,,,,,,,HLPCFCBL017,HLPCFCBL017.JPG,,taxable,standard-rate
Olay Age Defying Anti-Wrinkle Daily SPF-15 Lotion 100ml,,,Home & Lifestyle->Personal Care->Facial Care & Body Lotion,,16.99,,,,,,,HLPCFCBL018,HLPCFCBL018.JPG,,taxable,standard-rate
Olay Age Defying Anti-Wrinkle Night Cream 60ml,,,Home & Lifestyle->Personal Care->Facial Care & Body Lotion,,16.99,,,,,,,HLPCFCBL019,HLPCFCBL019.JPG,,taxable,standard-rate
Olay Complete SPF-30 Defense All Day Moisturizer Sentive Skin 75ml,,,Home & Lifestyle->Personal Care->Facial Care & Body Lotion,,14.99,,,,,,,HLPCFCBL020,HLPCFCBL020.JPG,,taxable,standard-rate
Olay Complete SPF-15 All Day Moisturizer Combination/Oily 120ml,,,Home & Lifestyle->Personal Care->Facial Care & Body Lotion,,12.99,,,,,,,HLPCFCBL021,HLPCFCBL021.JPG,,taxable,standard-rate
Olay Complete SPF-15 All Day Moisturizer Sensitive Skin 120ml,,,Home & Lifestyle->Personal Care->Facial Care & Body Lotion,,12.99,,,,,,,HLPCFCBL022,HLPCFCBL022.JPG,,taxable,standard-rate
Olay Age Defying Series DailyRenewal Cleanser 200ml,,,Home & Lifestyle->Personal Care->Facial Care & Body Lotion,,8.99,,,,,,,HLPCFCBL023,HLPCFCBL023.JPG,,taxable,standard-rate
Olay Total Effects 7 in One Revitalizing Foaming Cleanser 192ml,,,Home & Lifestyle->Personal Care->Facial Care & Body Lotion,,11.99,,,,,,,HLPCFCBL024,HLPCFCBL024.JPG,,taxable,standard-rate
Olay Regenerist Advanced Anti-Aging Regenerating Cream Cleanser 150ml,,,Home & Lifestyle->Personal Care->Facial Care & Body Lotion,,11.99,,,,,,,HLPCFCBL025,HLPCFCBL025.JPG,,taxable,standard-rate
Jergens Natural Glow Face Visage SPF-20 Fair to Medium Skin 70ml,,,Home & Lifestyle->Personal Care->Facial Care & Body Lotion,,9.99,,,,,,,HLPCFCBL026,HLPCFCBL026.JPG,,taxable,standard-rate
Jergens Natural Glow Daily Facial Moisturizer SPF-20 Fair to Medium Skin 70ml,,,Home & Lifestyle->Personal Care->Facial Care & Body Lotion,,9.99,,,,,,,HLPCFCBL027,HLPCFCBL027.JPG,,taxable,standard-rate
Jergens Natural Glow Daily Moisturizer Revitalizing Fair to Medium 150ml,,,Home & Lifestyle->Personal Care->Facial Care & Body Lotion,,6.99,,,,,,,HLPCFCBL028,HLPCFCBL028.JPG,,taxable,standard-rate
